agent_id,old_id,agent_type,wikidata_id,fictionality,language,commentary,note,created,created_by,last_modified,last_modified_by
AG0001,P0001,P,Q23114,,en,,,2020-04-02,DP,2020-04-02,DP
AG0002,P0002,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0003,P0003,P,,,en,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军、弟弟张大伟、张寥寥、张沛沛。,,2020-04-02,DP,2020-04-02,DP
AG0004,P0004,P,Q701031,,en,,,2020-04-02,DP,2020-04-02,DP
AG0005,P0005,P,Q29033577,,en,,,2020-04-02,DP,2020-04-02,DP
AG0006,P0006,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0007,P0007,P,Q84414077,,en,,,2020-04-02,DP,2020-04-02,DP
AG0008,P0008,P,Q10910006,,en,,,2020-04-02,DP,2020-04-02,DP
AG0009,P0009,P,Q558744,,en,,,2020-04-02,DP,2020-04-02,DP
AG0010,P0010,P,Q966485,,en,,,2020-04-02,DP,2020-04-02,DP
AG0011,P0011,P,Q102307031,,en,,,2020-04-02,DP,2020-04-02,DP
AG0012,P0012,P,Q45418138,,en,,,2020-04-02,DP,2020-04-02,DP
AG0013,P0013,P,Q3273439,,en,,,2020-04-02,DP,2020-04-02,DP
AG0014,P0014,P,Q56550666,,en,,,2020-04-02,DP,2020-04-02,DP
AG0015,P0015,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0016,P0016,P,Q3575431,,en,,,2020-04-02,DP,2020-04-02,DP
AG0017,P0017,P,Q65889814,,en,,,2020-04-02,DP,2020-04-02,DP
AG0018,P0018,P,Q9801,,en,爷爷是上海名中医，叫严苍山,,2020-04-02,DP,2020-04-02,DP
AG0019,P0019,P,Q5619608,,en,author of the books Xiangxin weilai 相信未來 and Zhe shi sidian bafen Beijing 《這是四點零八分的北京》both written in 1968. Very influential among zhiqing.,,2020-04-02,DP,2020-04-02,DP
AG0020,P0020,P,Q12269960,,en,,,2020-04-02,DP,2020-04-02,DP
AG0021,P0021,P,Q16076035,,en,son of Guo Moruo and Yu Liqun,,2020-04-02,DP,2020-04-02,DP
AG0022,P0022,P,,,en,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,,2020-04-02,DP,2020-04-02,DP
AG0023,P0023,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0024,P0024,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0025,P0025,P,Q15916722,,en,,,2020-04-02,DP,2022-09-14,QG
AG0026,P0026,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0027,P0027,P,Q197307,,en,,,2020-04-02,DP,2020-04-02,DP
AG0028,P0028,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0029,P0029,P,Q45426496,,en,he grew up in Beijing. Friend of Zhang Langlang,,2020-04-02,DP,2020-04-02,DP
AG0030,P0030,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0031,P0031,P,,,en,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2020-04-02,DP,2020-04-02,DP
AG0032,P0032,P,Q45438930,,en,,,2020-04-02,DP,2020-04-02,DP
AG0033,P0033,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0034,P0034,P,Q65855431,,en,,,2020-04-02,DP,2020-04-02,DP
AG0035,P0035,P,Q95946586,,en,,,2020-04-02,DP,2020-04-02,DP
AG0036,P0036,P,Q45641349,,en,,,2020-04-02,DP,2020-04-02,DP
AG0037,P0037,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0038,P0038,P,Q90228106,,en,He was the group leader of Huang Xiaolong.,,2020-04-02,DP,2020-04-02,DP
AG0039,P0039,P,Q65824192,,en,,,2020-04-02,DP,2020-04-02,DP
AG0040,P0040,P,Q15914497,,en,,,2020-04-02,DP,2022-09-14,QG
AG0041,P0041,P,Q98476441,,en,,,2020-04-02,DP,2020-04-02,DP
AG0042,P0042,P,Q47483828,,en,,,2020-04-02,DP,2020-04-02,DP
AG0043,P0043,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0044,P0045,P,Q10889075,,en,,,2020-04-02,DP,2020-04-02,DP
AG0045,P0046,P,Q45605496,,en,,,2020-04-02,DP,2020-04-02,DP
AG0046,P0047,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0047,P0048,P,Q10296753,,en,,,2020-04-02,DP,2020-04-02,DP
AG0048,P0049,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0049,P0050,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0050,P0051,P,Q16904732,,en,,,2020-04-02,DP,2020-04-02,DP
AG0051,P0052,P,Q59690506,,en,,,2020-04-02,DP,2020-04-02,DP
AG0052,P0053,P,Q710154,,en,,,2020-04-02,DP,2020-04-02,DP
AG0053,P0054,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0054,P0055,P,Q4500454,,en,,,2020-04-02,DP,2020-04-02,DP
AG0055,P0056,P,Q709067,,en,,,2020-04-02,DP,2020-04-02,DP
AG0056,P0057,P,Q16260119,,en,,,2020-04-02,DP,2020-04-02,DP
AG0057,P0058,P,Q11099589,,en,,,2020-04-02,DP,2020-04-02,DP
AG0058,P0059,P,Q2879339,,en,,,2020-04-02,DP,2020-04-02,DP
AG0059,P0060,P,Q7195665,,en,,,2020-04-02,DP,2020-04-02,DP
AG0060,P0061,P,Q8044269,,en,,,2020-04-02,DP,2020-04-02,DP
AG0061,P0062,P,Q97933,,en,,,2020-04-02,DP,2020-04-02,DP
AG0062,P0063,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0063,P0064,P,Q45367920,,en,,,2020-04-02,DP,2020-04-02,DP
AG0064,P0065,P,Q8070436,,en,,,2020-04-02,DP,2020-04-02,DP
AG0065,P0066,P,,,en,His father was Gan Chongdou.,,2020-04-02,DP,2020-04-02,DP
AG0066,P0067,P,Q59935960,,en,,,2020-04-02,DP,2020-04-02,DP
AG0067,P0068,P,Q100436336,,en,,,2020-04-02,DP,2020-04-02,DP
AG0068,P0069,P,Q90709659,,en,,,2020-04-02,DP,2020-04-02,DP
AG0069,P0070,P,,,en,Grew up in Beijing. 抗日名将蒋光鼐之女,,2020-04-02,DP,2020-04-02,DP
AG0070,P0071,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0071,P0072,P,Q9090659,,en,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军和张郎郎、弟弟张寥寥、张沛沛。,,2020-04-02,DP,2020-04-02,DP
AG0072,P0073,P,Q30069730,,en,,,2020-04-02,DP,2020-04-02,DP
AG0073,P0074,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0074,P0075,P,Q106649405,,en,,,2020-04-02,DP,2020-04-02,DP
AG0075,P0076,P,Q484292,,en,,,2020-04-02,DP,2020-04-02,DP
AG0076,P0077,P,Q80440,,en,,,2020-04-02,DP,2020-04-02,DP
AG0077,P0078,P,Q315185,,en,,,2020-04-02,DP,2020-04-02,DP
AG0078,P0079,P,Q228584,,en,,,2020-04-02,DP,2020-04-02,DP
AG0079,P0080,P,Q184169,,en,,,2020-04-02,DP,2020-04-02,DP
AG0080,P0081,P,Q3025717,,en,,,2020-04-02,DP,2020-04-02,DP
AG0081,P0082,P,Q310866,,en,,,2020-04-02,DP,2020-04-02,DP
AG0082,P0084,P,Q868,,en,,,2020-04-02,DP,2020-04-02,DP
AG0083,P0085,P,Q448143,,en,,,2020-04-02,DP,2020-04-02,DP
AG0084,P0086,P,Q13005,,en,,,2020-04-02,DP,2020-04-02,DP
AG0085,P0087,P,Q983262,,en,,,2020-04-02,DP,2020-04-02,DP
AG0086,P0088,P,Q2624931,,en,,,2020-04-02,DP,2020-04-02,DP
AG0087,P0089,P,Q1339,,en,,,2020-04-02,DP,2020-04-02,DP
AG0088,P0090,P,Q313324,,en,,,2020-04-02,DP,2020-04-02,DP
AG0089,P0091,P,Q314498,,en,,,2020-04-02,DP,2020-04-02,DP
AG0090,P0092,P,Q9711,,en,,,2020-04-02,DP,2020-04-02,DP
AG0091,P0093,P,Q501,,en,,,2020-04-02,DP,2020-04-02,DP
AG0092,P0094,P,Q37327,,en,,,2020-04-02,DP,2020-04-02,DP
AG0093,P0095,P,Q255,,en,,,2020-04-02,DP,2020-04-02,DP
AG0094,P0096,P,Q192885,,en,,,2020-04-02,DP,2020-04-02,DP
AG0095,P0097,P,Q1151,,en,,,2020-04-02,DP,2020-04-02,DP
AG0096,P0098,P,Q75786,,en,,,2020-04-02,DP,2020-04-02,DP
AG0097,P0099,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0098,P0100,P,Q4902475,,en,,,2020-04-02,DP,2020-04-02,DP
AG0099,P0101,P,Q41513,,en,,,2020-04-02,DP,2020-04-02,DP
AG0100,P0103,P,Q1402,,en,,,2020-04-02,DP,2020-04-02,DP
AG0101,P0104,P,Q7294,,en,,,2020-04-02,DP,2020-04-02,DP
AG0102,P0105,P,Q725344,,en,,,2020-04-02,DP,2020-04-02,DP
AG0103,P0106,P,Q716800,,en,,,2020-04-02,DP,2020-04-02,DP
AG0104,P0107,P,Q45673175,,en,,,2020-04-02,DP,2020-04-02,DP
AG0105,P0108,P,Q92285689,,en,,,2020-04-02,DP,2020-04-02,DP
AG0106,P0109,P,Q4978418,,en,,,2020-04-02,DP,2020-04-02,DP
AG0107,P0110,P,Q12706,,en,,,2020-04-02,DP,2020-04-02,DP
AG0108,P0111,P,Q45372632,,en,,,2020-04-02,DP,2020-04-02,DP
AG0109,P0115,P,Q862,,en,,,2020-04-02,DP,2020-04-02,DP
AG0110,P0116,P,Q905,,en,,,2020-04-02,DP,2020-04-02,DP
AG0111,P0117,P,Q160534,,en,,,2020-04-02,DP,2020-04-02,DP
AG0112,P0118,P,Q153909,,en,,,2020-04-02,DP,2020-04-02,DP
AG0113,P0119,P,,,en,黄炜华之子?,,2020-04-02,DP,2020-04-02,DP
AG0114,P0120,P,Q27826,,en,,,2020-04-02,DP,2022-09-14,QG
AG0115,P0130,P,Q41800219,,en,,,2020-04-02,DP,2020-04-02,DP
AG0116,P0131,P,Q45361777,,en,父亲是著名历史学家李新,,2020-04-02,DP,2020-04-02,DP
AG0117,P0132,P,Q4984503,,en,,,2020-04-02,DP,2020-04-02,DP
AG0118,P0133,P,Q60995211,,en,,,2020-04-02,DP,2022-09-14,QG
AG0119,P0134,P,Q8070229,,en,,,2020-04-02,DP,2020-04-02,DP
AG0120,P0135,P,Q708187,,en,,,2020-04-02,DP,2020-04-02,DP
AG0121,P0136,P,Q45513350,,en,,,2020-04-02,DP,2020-04-02,DP
AG0122,P0137,P,Q45467246,,en,,,2020-04-02,DP,2020-04-02,DP
AG0123,P0138,P,Q45526574,,en,,,2020-04-02,DP,2020-04-02,DP
AG0124,P0139,P,Q63607862,,en,,,2020-04-02,DP,2020-04-02,DP
AG0125,P0140,P,Q8933393,,en,,,2020-04-02,DP,2020-04-02,DP
AG0126,P0141,P,Q7728,,en,,,2020-04-02,DP,2020-04-02,DP
AG0127,P0142,P,Q45694257,,en,,,2020-04-02,DP,2020-04-02,DP
AG0128,P0144,P,Q27056612,,en,,,2020-04-02,DP,2020-04-02,DP
AG0129,P0145,P,Q127332,,en,,,2020-04-02,DP,2020-04-02,DP
AG0130,P0150,P,Q2478527,,en,,,2020-04-02,DP,2020-04-02,DP
AG0131,P0151,P,Q34670,,fr,,,2020-04-02,DP,2020-04-02,DP
AG0132,P0152,P,Q182874,,en,,,2020-04-02,DP,2020-04-02,DP
AG0133,P0153,P,Q8059956,,en,he was persecuted and sent to Henan during the CR,,2020-04-02,DP,2020-04-02,DP
AG0134,P0154,P,Q348180,,en,,,2020-04-02,DP,2020-04-02,DP
AG0135,P0157,P,Q378036,,en,,,2020-04-02,DP,2020-04-02,DP
AG0136,P0158,P,Q882,,en,,,2020-04-02,DP,2020-04-02,DP
AG0137,P0159,P,Q5685,,en,,,2020-04-02,DP,2020-04-02,DP
AG0138,P0160,P,Q5686,,en,,,2020-04-02,DP,2020-04-02,DP
AG0139,P0161,P,Q192331,,en,,,2020-04-02,DP,2020-04-02,DP
AG0140,P0162,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0141,P0163,P,Q16076632,,en,,,2020-04-02,DP,2020-04-02,DP
AG0142,P0164,P,Q5090812,,en,,,2020-04-02,DP,2020-04-02,DP
AG0143,P0166,P,Q65868652,,en,,,2020-04-02,DP,2022-09-14,QG
AG0144,P0167,P,Q16908139,,en,,,2020-04-02,DP,2020-04-02,DP
AG0145,P0168,P,Q20963489,,en,,,2020-04-02,DP,2020-04-02,DP
AG0146,P0169,P,Q47156383,,en,,,2020-04-02,DP,2020-04-02,DP
AG0147,P0171,P,,,en,worked in the reference department of Jiangsu Provincial Song and Dance Troupe,,2020-04-02,DP,2020-04-02,DP
AG0148,P0172,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0149,P0173,P,Q1992819,,en,,,2020-04-02,DP,2020-04-02,DP
AG0150,P0174,P,Q5816,,en,,,2020-04-02,DP,2020-04-02,DP
AG0151,P0175,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0152,P0176,P,Q636637,,en,,,2020-04-02,DP,2020-04-02,DP
AG0153,P0177,P,Q53016,,it,,,2020-04-02,DP,2020-04-02,DP
AG0154,P0178,P,Q1035,,en,,,2020-04-02,DP,2020-04-02,DP
AG0155,P0179,P,Q5342451,,en,,,2020-04-02,DP,2020-04-02,DP
AG0156,P0180,P,Q3490344,,en,,,2020-04-02,DP,2020-04-02,DP
AG0157,P0181,P,Q9061,,en,,,2020-04-02,DP,2020-04-02,DP
AG0158,P0182,P,Q1394,,en,,,2020-04-02,DP,2020-04-02,DP
AG0159,P0183,P,Q711457,,en,,,2020-04-02,DP,2020-04-02,DP
AG0160,P0184,P,Q31765,,en,,,2020-04-02,DP,2020-04-02,DP
AG0161,P0185,P,Q301650,,en,,,2020-04-02,DP,2020-04-02,DP
AG0162,P0186,P,Q4604,,en,,,2020-04-02,DP,2020-04-02,DP
AG0163,P0187,P,Q11113234,,en,,,2020-04-02,DP,2020-04-02,DP
AG0164,P0188,P,Q79904,,en,,,2020-04-02,DP,2020-04-02,DP
AG0165,P0189,P,Q42831,,en,,,2020-04-02,DP,2020-04-02,DP
AG0166,P0190,P,Q2498968,,en,,,2020-04-02,DP,2020-04-02,DP
AG0167,P0191,P,Q5365469,,en,,,2020-04-02,DP,2020-04-02,DP
AG0168,P0192,P,Q371966,,en,,,2020-04-02,DP,2020-04-02,DP
AG0169,P0193,P,Q855,,en,,,2020-04-02,DP,2020-04-02,DP
AG0170,P0194,P,Q699770,,en,"1945 and 1946 can be found for his birth year, academic publications rather stick to 1946. Generally speaking, few information is known about his early years.",,2020-04-02,DP,2020-04-02,DP
AG0171,P0195,P,Q1804080,,en,,,2020-04-02,DP,2020-04-02,DP
AG0172,P0196,P,Q19609871,,en,,,2020-04-02,DP,2020-04-02,DP
AG0173,P0197,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0174,P0198,P,Q88734194,,en,He was also in prison with Fang Zifen.,,2020-04-02,DP,2020-04-02,DP
AG0175,P0199,P,Q96640113,,en,Her father was 戴煌.,,2020-04-02,DP,2020-04-02,DP
AG0176,P0200,P,Q9353020,,en,,,2020-04-02,DP,2020-04-02,DP
AG0177,P0201,P,Q89885899,,en,,,2020-04-02,DP,2020-04-02,DP
AG0178,P0202,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0179,P0203,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0180,P0204,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0181,P0205,P,,,en,He was a member from anti revolution Lin Biao-Jiang Qing group.,,2020-04-02,DP,2020-04-02,DP
AG0182,P0206,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0183,P0207,P,,,en,,,2020-04-02,DP,2022-09-14,QG
AG0184,P0208,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0185,P0209,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0186,P0210,P,Q57173933,,en,,,2020-04-02,DP,2020-04-02,DP
AG0187,P0211,P,Q45466991,,en,,,2020-04-02,DP,2020-04-02,DP
AG0188,P0212,P,Q47669421,,en,,,2020-04-02,DP,2020-04-02,DP
AG0189,P0213,P,,,en,,,2020-04-02,DP,2020-04-02,DP
AG0190,P0214,P,Q60995395,,en,,,2020-04-02,DP,2020-04-02,DP
AG0191,P0215,P,Q1289157,,en,,,2020-04-02,DP,2020-04-02,DP
AG0192,P0216,P,Q45508766,,en,,,2020-04-02,DP,2020-04-02,DP
AG0193,P0217,P,Q9065159,,en,She went in the countryside in 1969-1974 with her parents.,,2020-04-02,DP,2020-04-02,DP
AG0194,P0218,P,Q67931858,,en,He was 6 years worker after 1971.,,2020-04-02,DP,2020-04-02,DP
AG0195,P0219,P,Q61829250,,en,,,2020-04-02,DP,2020-04-02,DP
AG0196,P0220,P,,,en,,,2020-04-02,DP,2020-04-02,DP
