artwork_id,title,subtitle,language,art_form,first_performance_date,first_performance_place,neibu,note,created,created_by,last_modified,last_modified_by
W0530,The Girl of the Mountains (Kenga e naftes),,en,AF03,,SP0094,yes,,2018-02-09,OS,2020-04-08,DP
W0530,山姑娘,,zh,AF03,,SP0094,yes,,2018-02-09,OS,2020-04-08,DP
W0531,City Lights,,en,AF02,196x,SP0436,yes,,2018-02-09,OS,2020-04-08,DP
W0531,城市之光,,zh,AF02,196x,SP0436,yes,,2018-02-09,OS,2020-04-08,DP
W0532,The Gold Rush,,en,AF02,196x,SP0436,yes,,2018-02-09,OS,2020-04-08,DP
W0532,淘金记,,zh,AF02,196x,SP0436,yes,,2018-02-09,OS,2020-04-08,DP
W0533,Monsieur Verdoux,,en,AF02,196x,SP0436,yes,,2018-02-09,OS,2020-04-08,DP
W0533,凡尔杜先生,,zh,AF02,196x,SP0436,yes,,2018-02-09,OS,2020-04-08,DP
W0534,Swan Lake,,en,AF05,1877,SP0030,,,2018-03-23,MG,2020-04-08,DP
W0534,天鹅湖,,zh,AF05,1877,SP0030,,,2018-03-23,MG,2020-04-08,DP
W0535,Butterfly Lovers‘ Violin Concerto,,en,AF05,1959,SP0006,,,2018-03-23,MG,2020-04-08,DP
W0535,梁祝小提琴协奏曲,,zh,AF05,1959,SP0006,,,2018-03-23,MG,2020-04-08,DP
W0536,The Legend of the Red Lantern,,en,AF04,1967?,SP0436,no,,2018-03-27,MG,2020-04-08,DP
W0536,红灯记,,zh,AF04,1967?,SP0436,no,,2018-03-27,MG,2020-04-08,DP
W0537,The Internationale,,en,AF05,1888,SP0224,no,,2018-04-03,MG,2020-04-08,DP
W0537,国际歌,,zh,AF05,1888,SP0224,no,,2018-04-03,MG,2020-04-08,DP
W0538,Inauguration of the State,,en,AF01,1953,SP0005,,,2018-03-17,WH,2020-04-08,DP
W0538,开国大典,,zh,AF01,1953,SP0005,,,2018-03-17,WH,2020-04-08,DP
W0539,Inauguration of the State,,en,AF01,,SP0436,,,2018-03-17,WH,2020-04-08,DP
W0539,开国大典,,zh,AF01,,SP0436,,,2018-04-06,WH,2020-04-08,DP
W0540,My home,,en,AF05,1893,SP0053,,,2018-04-11,WH,2020-04-08,DP
W0540,思故乡,,zh,AF05,1893,SP0053,,,2018-04-11,WH,2020-04-08,DP
W0541,New World Symphony,,en,AF05,1893,SP0053,,,2018-04-11,WH,2020-04-08,DP
W0541,自新世界,,zh,AF05,1893,SP0053,,,2018-04-11,WH,2020-04-08,DP
W0542,Rome 11 o'clock,,en,AF02,1956,SP0436,no,,2018-04-25,MG,2020-04-08,DP
W0542,罗马十一点钟,,zh,AF02,1956,SP0436,no,,2018-04-25,MG,2020-04-08,DP
W0543,Zigeunerweisen,,en,AF05,1878,SP0293,yes,,2018-05-31,DM,2020-04-08,DP
W0543,流浪者之歌,,zh,AF05,1878,SP0293,yes,,2018-05-31,DM,2020-04-08,DP
W0544,Manhunt,,en,AF02,1976,SP0292,,,2018-05-31,DM,2020-04-08,DP
W0544,Kimo yo Fundo no Kawa o Watare,,ja,AF02,1976,SP0292,,,2018-05-31,DM,2020-04-08,DP
W0544,追捕,,zh,AF02,1976,SP0292,,,2018-05-31,DM,2020-04-08,DP
W0545,北国江南,,zh,AF02,1963,SP0006,no,,2018-06-01,DM,2020-04-08,DP
W0545,Beiguo jiangnan,,zh-Latn-pinyin,AF02,1963,SP0006,no,,2018-06-01,DM,2020-04-08,DP
W0546,Lenin in October,,en,AF02,,SP0436,no,,2018-05-30,MG,2020-04-08,DP
W0546,列宁在十月,,zh,AF02,,SP0436,no,,2018-05-30,MG,2020-04-08,DP
W0547,Lenin in 1918,,en,AF02,,SP0436,no,,2018-05-30,MG,2020-04-08,DP
W0547,列宁在1918,,zh,AF02,,SP0436,no,,2018-05-30,MG,2020-04-08,DP
W0548,The Tramp,,en,AF02,1955,SP0096,,,2018-06-12,MG,2020-04-08,DP
W0548,流浪者,,zh,AF02,1955,SP0096,,,2018-06-12,MG,2020-04-08,DP
W0549,Ol‘Man River,,en,AF05,1927,SP0436,,,2018-06-12,MG,2020-04-08,DP
W0549,老人河,,zh,AF05,1927,SP0436,,,2018-06-12,MG,2020-04-08,DP
W0550,The Sparkling Red Star,,en,AF02,1972,SP0436,,,2018-06-25,MG,2020-04-08,DP
W0550,闪闪的红星,,zh,AF02,1972,SP0436,,,2018-06-25,MG,2020-04-08,DP
W0551,The Shade of the Willow,,en,AF04,1953,SP0005,no,,2018-07-09,MG,2020-04-08,DP
W0551,柳荫记,,zh,AF04,1953,SP0005,no,,2018-07-09,MG,2020-04-08,DP
