iso_code,name,created,created_by,last_modified,last_modified_by
be,Belarusian,2018-05-31,DM,2018-05-31,DM
bg,Bulgarian,2018-02-04,OS,2018-02-04,OS
bn,Bengali (Bangla),2018-04-09,MG,2018-04-09,MG
cs,Czech,2020-04-02,DP,2020-04-02,DP
de,German,2017-07-08,OS,2017-07-08,OS
en,English,2017-07-08,OS,2017-07-08,OS
es,Spanish,2017-07-08,OS,2017-07-08,OS
fr,French,2017-07-08,OS,2017-07-08,OS
grc,Ancient Greek,2017-07-17,OS,2017-07-17,OS
hr,Croatian,2020-04-02,DP,2020-04-02,DP
hu,Hungarian,2018-12-11,MG,2018-12-11,MG
it,Italian,2017-07-08,OS,2017-07-08,OS
ja,Japanese,2017-07-08,OS,2017-07-08,OS
ko,Korean,2017-07-08,OS,2017-07-08,OS
ky,Kyrgyz,2017-07-09,OS,2017-07-09,OS
nl,Dutch,2017-07-08,OS,2017-07-08,OS
pl,Polish,2018-07-20,MG,2018-07-20,MG
pt,Portuguese,2017-07-08,OS,2017-07-08,OS
ro,Romanian,2020-04-02,DP,2020-04-02,DP
ru,Russian,2017-07-08,OS,2017-07-08,OS
sr,Serbian,2017-07-26,MG,2017-07-26,MG
zh,Chinese,2017-07-08,OS,2017-07-08,OS
zh-Latn-pinyin,Pinyin,2017-07-08,OS,2017-07-08,OS
