person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,neibu_access,wikidata_id,source_1,page_1,source_2,page_2,note,created,created_by,last_modified,last_modified_by
AG0001,Lu,Xun,en,male,0,1881,1936,Zhou Shuren,SP0048,,,,https://en.wikipedia.org/wiki/Lu_Xun,ONLINE SOURCE,,,,2017-07-03,LH,2020-04-02,DP
AG0001,鲁,迅,zh,male,0,1881,1936,周树人,SP0048,,,,https://en.wikipedia.org/wiki/Lu_Xun,ONLINE SOURCE,,,,2017-07-03,LH,2020-04-02,DP
AG0002,Mou,Dunbai,en,male,1,1947,XXXX,,SP0436,,,,W0432,18 24,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0002,牟,敦白,zh,male,1,1947,XXXX,,SP0436,,,,W0432,18 24,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0003,Zhang,Langlang,en,male,2,1943,XXXX,,SP0024,S03,yes,,W0423,75f 79f,http://history.sina.com.cn/bk/wgs/2013-09-03/144052895.shtml,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0003,张,朗朗,zh,male,2,1943,XXXX,,SP0024,S03,yes,,W0423,75f 79f,http://history.sina.com.cn/bk/wgs/2013-09-03/144052895.shtml,ONLINE SOURCE,,2017-07-05,LH,2020-04-02,DP
AG0004,Mang,Ke,en,male,1,1950,XXXX,Jiang Shiwei,SP0023,,,,W0423,75f 79f,W0442,183ff,,2017-07-05,LH,2020-04-02,DP
AG0004,芒,克,zh,male,1,1950,XXXX,姜世伟,SP0023,,,,W0423,75f 79f,W0442,183ff,,2017-07-05,LH,2020-04-02,DP
AG0005,Peng,Gang,en,male,3,1952,XXXX,,SP0005,,,,W0423,79,W0442,183ff,Third source: http://comment.artron.net/20080926/n59465.html,2017-07-05,LH,2020-04-02,DP
AG0005,彭,刚,zh,male,3,1952,XXXX,,SP0005,,,,W0423,79,W0442,183ff,Third source: http://comment.artron.net/20080926/n59465.html,2017-07-05,LH,2020-04-02,DP
AG0006,Tan,Xiaochun,en,unknown,3,XXXX,XXXX,,SP0436,,,,W0442,183ff,W0441,,,2017-07-05,LH,2020-04-02,DP
AG0006,谭,晓春,zh,unknown,3,XXXX,XXXX,,SP0436,,,,W0442,183ff,W0441,,The name “谭小春” was presumably a typo in the SS00115. So we choose the name with “晓” to represent this person.,2017-07-05,LH,2020-04-02,DP
AG0007,Cheng,Chuan,en,unknown,3,XXXX,XXXX,,SP0436,,,,W0442,183ff,,,,2017-07-05,LH,2020-04-02,DP
AG0007,呈,川,zh,unknown,3,XXXX,XXXX,,SP0436,,,,W0442,183ff,,,,2017-07-05,LH,2020-04-02,DP
AG0008,Lu,Zhongnan,en,male,1,1950,XXXX,,SP0187,,,,W0442,188,https://baike.baidu.com/item/%E5%8D%A2%E4%B8%AD%E5%8D%97,,,2017-07-05,LH,2020-04-02,DP
AG0008,卢,中南,zh,male,1,1950,XXXX,,SP0187,,,,W0442,188,https://baike.baidu.com/item/%E5%8D%A2%E4%B8%AD%E5%8D%97,,,2017-07-05,LH,2020-04-02,DP
AG0009,Bei,Dao,en,male,2,1949,XXXX,Zhao Zhenkai,SP0005,,yes,,W0423,78 80,W0442,188,Third source: https://baike.baidu.com/item/%E5%8C%97%E5%B2%9B/372#reference-[7]-4995327-wrap,2017-07-05,LH,2020-04-02,DP
AG0009,北,岛,zh,male,2,1949,XXXX,赵振开,SP0005,,yes,,W0423,78 80,W0442,188,Third source: https://baike.baidu.com/item/%E5%8C%97%E5%B2%9B/372#reference-[7]-4995327-wrap,2017-07-05,LH,2020-04-02,DP
