prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,note,created,created_by,last_modified,last_modified_by
W0001,Silent China,,en,G01,SP0006,1932,Beixin shuju,1932,no,,,,,2017-07-03,LH,2020-04-08,DP
W0001,无声的中国,,zh,G01,SP0006,1932,Beixin shuju,1932,no,,,,,2017-07-03,LH,2020-04-08,DP
W0001,Wusheng de zhongguo,,zh-Latn-pinyin,G01,SP0006,1932,Beixin shuju,1932,no,,,,,2018-04-25,MG,2020-04-08,DP
W0002,English 900,,en,G20,SP0053,1964,Macmillan,19XX,no,,,,,2017-07-12,OS,2020-04-08,DP
W0003,The White Ship,,en,G21,SP0006,1973,Shanghai renmin chubanshe,1973,yes,,,,,2017-07-12,OS,2020-04-08,DP
W0003,白轮船,,zh,G21,SP0006,1973,Shanghai renmin chubanshe,1973,yes,,,,,2017-07-12,OS,2020-04-08,DP
W0003,Bai lunchuan,,zh-Latn-pinyin,G21,SP0006,1973,Shanghai renmin chubanshe,1973,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0004,Ticket to the Stars,,en,G04,SP0005,1963,Zuojia chubanshe,19XX,yes,,,,,2017-07-12,OS,2020-04-08,DP
W0004,帶星星的火車票,,zh,G04,SP0005,1963,Zuojia chubanshe,19XX,yes,,,,,2017-07-12,OS,2020-04-08,DP
W0004,Dai xingxing de huoche piao,,zh-Latn-pinyin,G04,SP0005,1963,Zuojia chubanshe,19XX,yes,,,,,2018-04-25,MG,2020-04-08,DP
W0005,My Universities,,en,G03,SP0006,1950,Guanghua chubanshe,19XX,no,,,,,2017-07-19,LH,2020-04-08,DP
W0005,Мои университеты,,ru,G03,SP0006,1950,Guanghua chubanshe,19XX,no,,,,,2017-07-19,LH,2020-04-08,DP
W0005,我的大学,,zh,G03,SP0006,1950,Guanghua chubanshe,19XX,no,,,,,2017-07-19,LH,2020-04-08,DP
W0005,Wo de daxue,,zh-Latn-pinyin,G03,SP0006,1950,Guanghua chubanshe,19XX,no,,,,,2018-04-25,MG,2020-04-08,DP
W0006,My Apprenticeship,,en,G03,SP0005,1956,Renmin wenxue chubanshe,19XX,no,,,,,2017-07-19,LH,2020-04-08,DP
