person,rustication_start,rustication_end,place_of_rust,note,created,created_by,last_modified,last_modified_by
AG0002,1968,1968/1979,SP0011,,2017-07-05,LH,2020-04-09,DP
AG0004,1969,1968/1979,SP0025,,2017-07-05,LH,2020-04-09,DP
AG0008,1969,1968/1979,SP0025,,2017-07-05,LH,2020-04-09,DP
AG0010,1969,1968/1979,SP0025,,2017-07-05,LH,2020-04-09,DP
AG0011,1968,1968/1979,SP0137,,2017-07-05,LH,2020-04-09,DP
AG0012,1969,1972,SP0025,,2017-07-05,LH,2020-04-09,DP
AG0017,1969,1975,SP0011,,2017-07-05,LH,2020-04-09,DP
AG0019,1969,1971,SP0140,,2017-07-05,LH,2020-04-09,DP
AG0024,1969,1968/1979,SP0025,,2017-07-05,LH,2020-04-09,DP
AG0025,1968,1974,SP0143,,2017-07-05,LH,2020-04-09,DP
AG0026,1969,1968/1979,SP0011,,2017-07-05,LH,2020-04-09,DP
AG0029,1969,1972,SP0008,,2017-07-05,LH,2020-04-09,DP
AG0032,1968/1979,1968/1979,SP0009,,2017-07-05,LH,2020-04-09,DP
AG0034,1968/1979,1968/1979,SP0009,,2017-07-05,LH,2020-04-09,DP
AG0037,1965,1973,SP0012,,2017-07-05,LH,2020-04-09,DP
AG0039,1969,1970,SP0058,,2017-07-05,LH,2020-04-09,DP
AG0041,1969,"[1972,1973]",SP0015,,2017-07-05,LH,2020-04-09,DP
AG0046,1968/1979,1968/1979,SP0015,,2017-07-05,LH,2020-04-09,DP
AG0048,..1970,1971..,SP0016,,2017-07-05,LH,2020-04-09,DP
AG0057,1968/1979,1968/1979,SP0005,,2017-07-05,LH,2020-04-09,DP
AG0062,1970,1973,SP0011,,2017-07-05,LH,2020-04-09,DP
AG0066,1963?,[1980..1989],SP0017,DP: end date makes no sense,2017-07-05,LH,2020-04-09,DP
AG0069,1968/1979,1968/1979,SP0135,,2017-07-05,LH,2020-04-09,DP
AG0072,1968,1973,SP0011,,2017-07-05,LH,2020-04-09,DP
AG0074,1969,1973,SP0011,,2017-07-05,LH,2020-04-09,DP
AG0103,1968,1974,SP0055,,2017-07-12,OS,2020-04-09,DP
AG0105,1969..1971,..1975,SP0436,,2017-07-12,OS,2020-04-09,DP
AG0106,1969,1972,SP0436,,2017-07-18,LH,2020-04-09,DP
AG0108,1968/1979,1968/1979,SP0436,,2018-11-04,WH,2020-04-09,DP
AG0113,1963,1968/1979,SP0009,,2017-07-27,LH,2020-04-09,DP
AG0114,1965,1975?,SP0113,,2017-08-01,LH,2020-04-09,DP
AG0115,1967,1976,SP0156,,2017-07-28,MG,2020-04-09,DP
AG0118,1975,1978,SP0157,,2017-08-07,MG,2020-04-09,DP
