soc_rel_id,ego,related,relation,rel_zh,rel_en,source,page,note,created,created_by,last_modified,last_modified_by
SR00001,AG0003,AG0446,S4.1.1m,父亲,father,W1000,ONLINE SOURCE,,2018-01-26,OS,2020-04-04,DP
SR00002,AG0197,AG0205,S3.1,熟人,acquaintance,W0490,249,,2018-02-02,OS,2020-04-04,DP
SR00003,AG0197,AG0206,S3.1,熟人,acquaintance,W0490,249,,2018-02-02,OS,2020-04-04,DP
SR00004,AG0037,AG0035,S4.1.2.1f,母亲,mother,W0445,ONLINE SOURCE,,2018-02-15,OS,2020-04-04,DP
SR00005,AG0143,AG0029,S4.1.2.1f,母亲,mother,W0428,116,,2018-02-22,MG,2020-04-04,DP
SR00006,AG0145,AG0051,S3.2-,朋友,friend,W0455,ONLINE SOURCE,,2018-02-22,MG,2020-04-04,DP
SR00007,AG0151,AG0118,S3.2-,朋友,friend,W0476,532,,2018-02-22,MG,2020-04-04,DP
SR00008,AG0146,AG0239,S3.1,熟人,acquaintance,W0497,ONLINE SOURCE,,2018-02-22,MG,2020-04-04,DP
SR00009,AG0252,AG0253,S3.2-,朋友,friend,W0499,295,,2018-02-28,OS,2020-04-04,DP
SR00010,AG0258,AG0257,S4.3.2.1f,妻子,wife,W0511,,,2018-03-06,MG,2020-04-04,DP
SR00011,AG0257,AG0259,S3.2-,朋友,friend,W0511,103,,2018-03-09,MG,2020-04-04,DP
SR00012,AG0257,AG0260,S3.2-,朋友,friend,W0511,239,they shared a room in a peasant‘s household,2018-03-12,MG,2020-04-04,DP
SR00013,AG0265,AG0258,S4.2.1.1me,哥哥,elder brother,W0511,205,,2018-03-12,MG,2020-04-04,DP
SR00014,AG0258,AG0267,S4.1.2.1f,母亲,mother,W0511,246f,,2018-03-13,MG,2020-04-04,DP
SR00015,AG0257,AG0267,S4.1.1m,父亲,father,W0511,246f,,2018-03-13,MG,2020-04-04,DP
SR00016,AG0267,AG0268,S4.2.1.2my,弟弟,younger brother,W0511,326,,2018-03-13,MG,2020-04-04,DP
SR00017,AG0258,AG0268,S4.1.2.1f,母亲,mother,W0511,326,,2018-03-13,MG,2020-04-04,DP
