space_id,old_id,space_type,space_name,language,lat,long,wikidata_id,note,created,created_by,last_modified,last_modified_by
SP0001,L0001,L,library,en,0.0,0.0,,,2018-07-23,MG,2020-04-05,DP
SP0002,L0002,L,prison,en,0.0,0.0,,,2018-07-23,MG,2020-04-05,DP
SP0003,L0003,L,book store,en,0.0,0.0,,,2018-07-30,MG,2020-04-05,DP
SP0004,PL0001,PL,China,en,35.86166,104.195397,Q148,,2017-07-07,OS,2022-06-29,ReadActor
SP0005,PL0002,PL,Beijing,en,39.9042,116.407396,Q956,,2017-07-08,OS,2022-06-29,ReadActor
SP0006,PL0003,PL,Shanghai,en,31.23039,121.473702,Q8686,,2017-07-09,OS,2022-06-29,ReadActor
SP0007,PL0004,PL,Chengdu,en,30.572815,104.066801,Q30002,,2017-07-10,OS,2022-06-29,ReadActor
SP0008,PL0005,PL,Xuanhua,en,40.608793,115.099494,Q1196658,,2017-07-11,OS,2022-06-29,ReadActor
SP0009,PL0006,PL,Sichuan,en,30.263803,102.805475,Q19770,,2017-07-12,OS,2022-06-29,ReadActor
SP0010,PL0007,PL,Yunnan,en,24.475285,101.343106,Q43194,,2017-07-13,OS,2022-06-29,ReadActor
SP0011,PL0008,PL,Heilongjiang,en,47.121647,128.738231,Q19206,,2017-07-14,OS,2022-06-29,ReadActor
SP0012,PL0009,PL,Laixi,en,36.889084,120.51769,Q1198038,,2017-07-15,OS,2022-06-29,ReadActor
SP0013,PL0010,PL,Ningnan,en,27.066308,102.759686,Q264357,,2017-07-16,OS,2022-06-29,ReadActor
SP0014,PL0011,PL,Shandong,en,35.893957,117.9249,Q43407,,2017-07-17,OS,2022-06-29,ReadActor
SP0015,PL0012,PL,Chongqing,en,29.561008,106.552635,Q11725,,2017-07-18,OS,2022-06-29,ReadActor
SP0016,PL0013,PL,Shenqiu,en,33.409368,115.098583,,,2017-07-19,OS,2020-04-05,DP
SP0017,PL0014,PL,Xinjiang,en,42.524636,87.539585,,,2017-07-20,OS,2020-04-05,DP
