work_id,old_id,creator,type,type_num,language,commentary,note,created,created_by,last_modified,last_modified_by
W0001,PS00001,AG0001,PS,00001,en,"In the essay Lu Xun ""critized the large-scale suppression of speech and writing during the Qing dynasty and the early Republican era for producing a ""silent China"" ... for centuries",,2017-07-03,LH,2020-04-05,DP
W0002,PS00002,AG0629,PS,00002,en,,,2017-07-12,OS,2020-04-05,DP
W0003,PS00004,AG0075,PS,00004,en,,,2017-07-12,OS,2020-04-05,DP
W0004,PS00010,AG0077,PS,00010,en,,,2017-07-12,OS,2020-04-05,DP
W0005,PS00013,AG0107,PS,00013,en,,,2017-07-19,LH,2020-04-05,DP
W0006,PS00015,AG0107,PS,00015,en,,,2017-07-19,LH,2020-04-05,DP
W0007,PS00022,AG0110,PS,00022,de,http://epaper.gmw.cn/blqs/html/2012-01/07/nw.D110000blqs_20120107_3-08.htm?div=-1,,2017-07-19,OS,2020-04-05,DP
W0008,PS00023,AG0111,PS,00023,en,,,2017-07-20,OS,2020-04-05,DP
W0009,PS00024,AG0112,PS,00024,en,,,2017-07-25,MG,2020-04-05,DP
W0010,PS00025,AG0001,PS,00025,en,Letters between Two has been translated into English by Bonnie MacDougall. These are the heavily edited love letters between Lu Xun and his wife Xu Guangping,,2017-07-27,LH,2020-04-05,DP
W0011,PS00028,AG0001,PS,00028,en,,,2017-07-28,LH,2020-04-05,DP
W0012,PS00040,AG0091,PS,00040,fr,手抄本. First french edition of Les Fleurs du Mal 1857,,2017-08-07,MG,2020-04-05,DP
W0013,PS00041,AG0091,PS,00041,fr,,,2017-08-07,MG,2020-04-05,DP
W0014,PS00042,AG0091,PS,00042,fr,,,2017-08-07,MG,2020-04-05,DP
W0015,PS00050,AG0081,PS,00050,zh,"1902 Andreev published a short book called ""В тумане"" (ru) ""In the Fog"" (en) nowadays 雾中 (zh) its relation to the one mentioned by Guo Shiying is unknown",,2017-08-20,MG,2020-04-05,DP
W0016,PS00051,AG0083,PS,00051,en,Translated by project member,,2017-08-20,MG,2020-04-05,DP
W0017,PS00052,AG0090,PS,00052,fr,This book is a novella from the philosophical part from Balzac‘s La Comédie Humaine. First french edition 1837,,2017-08-25,MG,2020-04-05,DP
W0018,PS00053,AG0090,PS,00053,fr,A novel in Scènes de la vie en province in La Comédie Humaine. First french edition 1833,,2017-08-25,MG,2020-04-05,DP
W0019,PS00055,AG0627,PS,00055,en,a weekly newspaper,,2017-08-26,MG,2020-04-05,DP
W0020,PS00056,AG0086,PS,00056,en,,,2017-08-26,MG,2020-04-05,DP
W0021,PS00057,AG0088,PS,00057,en,,,2017-08-26,MG,2020-04-05,DP
W0022,PS00059,AG0126,PS,00059,en,During the early CR there circulated a translated manuscript. First Italian edition published in 1913.,,2018-04-25,MG,2020-04-05,DP
W0023,PS00060,AG0092,PS,00060,fr,,,2017-08-31,MG,2020-04-05,DP
W0024,PS00062,AG0009,PS,00062,en,the novel was first finished in 1974 but not published until 1979 in a revised version,,2017-09-06,MG,2020-04-05,DP
W0025,PS00063,AG0009,PS,00063,en,this poem was published in the underground magazine Jintian in 1978. first finished in 1973 and revised in 1978,,2017-09-06,MG,2020-04-05,DP
W0026,PS00064,AG0009,PS,00064,en,Translated by project member,,2017-09-06,MG,2020-04-05,DP
W0027,PS00065,AG0009,PS,00065,en,Translated by project member,,2017-09-08,MG,2020-04-05,DP
W0028,PS00066,AG0009,PS,00066,en,Translated by project member,,2017-09-08,MG,2020-04-05,DP
W0029,PS00067,AG0009,PS,00067,en,this poem was written between 1979 and 1983. published in Bei Dao Shi Xuan in 1986,,2017-09-08,MG,2020-04-05,DP
W0030,PS00068,AG0009,PS,00068,en,this poem was written between 1970 and 1978. published in Bei Dao Shi Xuan in 1986,,2017-09-08,MG,2020-04-05,DP
W0031,PS00069,AG0009,PS,00069,en,this poem was written between 1979 and 1983. published in Bei Dao Shi Xuan in 1986,,2017-09-08,MG,2020-04-05,DP
W0032,PS00070,AG0097,PS,00070,en,http://blog.boxun.com/hero/201410/blqwz/1_1.shtml. Translated by project member,,2017-09-15,MG,2020-04-05,DP
W0033,PS00071,AG0118,PS,00071,en,Translated by project member,,2017-09-15,MG,2020-04-05,DP
W0034,PS00072,AG0118,PS,00072,en,Translated by project member,,2017-09-15,MG,2020-04-05,DP
W0035,PS00073,AG0102,PS,00073,en,,,2017-09-15,MG,2020-04-05,DP
W0036,PS00074,AG0129,PS,00074,en,,,2017-09-22,MG,2020-04-05,DP
W0037,PS00076,AG0131,PS,00076,fr,Translated by Meng An 孟安.,,2017-09-22,MG,2020-04-05,DP
W0038,PS00077,AG0132,PS,00077,en,,,2017-09-22,MG,2020-04-05,DP
W0039,PS00078,AG0135,PS,00078,zh,,,2017-09-24,CW,2020-04-05,DP
W0040,PS00082,AG0136,PS,00082,en,,,2017-09-27,MG,2020-04-05,DP
W0041,PS00083,AG0137,PS,00083,en,Original publication 1896,,2017-09-27,MG,2020-04-05,DP
W0042,PS00084,AG0117,PS,00084,en,Translated by project member,,2017-09-29,MG,2020-04-05,DP
W0043,PS00085,AG0139,PS,00085,en,Original publication 1863,,2017-09-29,MG,2020-04-05,DP
W0044,PS00087,AG0150,PS,00087,en,,,2018-04-18,MG,2020-04-05,DP
W0045,PS00088,AG0170,PS,00088,en,,,2017-12-23,OS,2020-04-05,DP
W0046,PS00089,AG0167,PS,00089,en,,,2017-12-23,OS,2020-04-05,DP
W0047,PS00090,AG0168,PS,00090,en,,,2018-04-25,MG,2020-04-05,DP
W0048,PS00091,AG0169,PS,00091,en,,,2018-04-25,MG,2020-04-05,DP
W0049,PS00092,AG0630,PS,00092,en,,,2018-04-25,MG,2020-04-05,DP
W0050,PS00093,AG0157,PS,00093,de,,,2018-04-25,MG,2020-04-05,DP
W0051,PS00094,AG0157,PS,00094,de,,,2018-04-25,MG,2020-04-05,DP
W0052,PS00095,AG0157,PS,00095,de,,,2018-04-25,MG,2020-04-05,DP
W0053,PS00096,AG0158,PS,00096,en,,,2018-04-25,MG,2020-04-05,DP
W0054,PS00097,AG0159,PS,00097,en,,,2018-04-25,MG,2020-04-05,DP
W0055,PS00098,AG0162,PS,00098,en,,,2018-04-25,MG,2020-04-05,DP
W0056,PS00099,AG0161,PS,00099,en,,,2018-04-25,MG,2020-04-05,DP
W0057,PS00100,AG0163,PS,00100,en,,,2018-04-25,MG,2020-04-05,DP
W0058,PS00101,AG0160,PS,00101,en,,,2018-04-25,MG,2020-04-05,DP
W0059,PS00102,AG0155,PS,00102,en,This is the title Song Yongyi assumes was the original. It could also be Khrushchev Remembers: The last testament.,,2017-10-08,MG,2020-04-05,DP
W0060,PS00105,AG0152,PS,00105,en,,,2017-10-08,MG,2020-04-05,DP
W0061,PS00106,AG0138,PS,00106,en,,,2017-10-08,MG,2020-04-05,DP
W0062,PS00107,AG0138,PS,00107,en,,,2017-10-08,MG,2020-04-05,DP
W0063,PS00121,AG0164,PS,00121,en,,,2017-12-14,MG,2020-04-05,DP
W0064,PS00122,AG0165,PS,00122,en,,,2017-12-14,MG,2020-04-05,DP
W0065,PS00125,AG0166,PS,00125,en,,,2017-12-19,MG,2020-04-05,DP
W0066,PS00126,AG0626,PS,00126,en,,,2017-12-19,MG,2020-04-05,DP
W0067,PS00164,AG0001,PS,00164,en,,,2018-01-29,MG,2020-04-05,DP
W0068,PS00168,AG0204,PS,00168,en,,,2018-02-02,OS,2020-04-05,DP
W0069,PS00180,AG0441,PS,00180,en,,,2018-01-23,OS,2020-04-05,DP
W0070,PS00181,AG0441,PS,00181,en,Vol.1-4 1962-1964 and  vol.3-4 1979,,2018-01-23,OS,2020-04-05,DP
W0071,PS00182,AG0442,PS,00182,en,,,2018-01-24,OS,2020-04-05,DP
W0072,PS00183,AG0443,PS,00183,en,Translated by project member,,2018-01-24,OS,2020-04-05,DP
W0073,PS00184,AG0443,PS,00184,en,Translated by project member,,2018-01-24,OS,2020-04-05,DP
W0074,PS00186,AG0444,PS,00186,de,there were many editions of this work before and after the founding of the PRC,,2018-01-24,OS,2020-04-05,DP
W0075,PS00187,AG0444,PS,00187,de,,,2018-01-24,OS,2020-04-05,DP
W0076,PS00188,AG0445,PS,00188,en,,,2018-01-25,OS,2020-04-05,DP
W0077,PS00191,AG0168,PS,00191,en,,,2018-01-25,OS,2020-04-05,DP
W0078,PS00194,AG0207,PS,00194,en,,,2018-02-02,OS,2020-04-05,DP
W0079,PS00198,AG0208,PS,00198,en,,,2018-02-05,OS,2020-04-05,DP
W0080,PS00199,AG0209,PS,00199,en,,,2018-02-05,OS,2020-04-05,DP
W0081,PS00200,AG0209,PS,00200,en,,,2018-02-05,OS,2020-04-05,DP
W0082,PS00201,AG0210,PS,00201,en,It seems that there was no early PRC edition of the Canon.,,2018-02-05,OS,2020-04-05,DP
W0083,PS00202,AG0211,PS,00202,de,,,2018-02-06,OS,2020-04-05,DP
W0084,PS00203,AG0212,PS,00203,fr,An early PRC edition could not be found,,2018-02-06,OS,2020-04-05,DP
W0085,PS00206,AG0023,PS,00206,en,written in 1967. not officially published,,2018-02-09,OS,2020-04-05,DP
W0086,PS00207,AG0154,PS,00207,en,,,2018-02-11,OS,2020-04-05,DP
W0087,PS00208,AG0070,PS,00208,en,never officially published?,,2018-02-11,OS,2020-04-05,DP
W0088,PS00209,AG0216,PS,00209,en,,,2018-02-11,OS,2020-04-05,DP
W0089,PS00210,AG0217,PS,00210,fr,,,2018-02-11,OS,2020-04-05,DP
W0090,PS00211,AG0012,PS,00211,zh,circulation started in the early 1970s probably 1972,,2018-02-12,OS,2020-04-05,DP
W0091,PS00212,AG0218,PS,00212,fr,Not part of the neibu translations. Published in 1897 and forbidden after 1949,,2018-02-12,OS,2020-04-05,DP
W0092,PS00213,AG0100,PS,00213,en,It exists a neibu edition from 1959 (published in Shanghai wenyi chubanshe). In how far these two editions differ remains unclear.,,2018-02-12,OS,2020-04-05,DP
W0093,PS00215,AG0219,PS,00215,en,Translator seems to have access to the  original long before publication date of the Chinese translations,,2018-02-13,OS,2020-04-05,DP
W0094,PS00217,AG0222,PS,00217,de,,,2018-02-13,OS,2020-04-05,DP
W0095,PS00218,AG0224,PS,00218,en,,,2018-02-13,OS,2020-04-05,DP
W0096,PS00219,AG0225,PS,00219,en,,,2018-02-13,OS,2020-04-05,DP
W0097,PS00220,AG0226,PS,00220,en,Based on the first spanish edition of 1968,,2018-02-13,OS,2020-04-05,DP
W0098,PS00221,AG0227,PS,00221,en,First published 1963 in Colombo,,2018-02-13,OS,2020-04-05,DP
W0099,PS00222,AG0019,PS,00222,en,The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0100,PS00223,AG0019,PS,00223,en,Translated by project member. The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0101,PS00224,AG0019,PS,00224,en,The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0102,PS00225,AG0019,PS,00225,en,The poems were written between 1965-1968,,2018-02-13,OS,2020-04-05,DP
W0103,PS00226,AG0229,PS,00226,zh,The poems were written between 1960-1962,,2018-02-13,OS,2020-04-05,DP
W0104,PS00227,AG0230,PS,00227,en,,,2018-02-14,OS,2020-04-05,DP
W0105,PS00228,AG0231,PS,00228,en,,,2018-02-14,OS,2020-04-05,DP
W0106,PS00229,AG0232,PS,00229,en,One of the poems which captured the atmosphere among leaving Zhiqing the best,,2018-02-14,OS,2020-04-05,DP
W0107,PS00230,AG0232,PS,00230,zh,,,2018-02-14,OS,2020-04-05,DP
W0108,PS00231,AG0233,PS,00231,en,,,2018-02-14,OS,2020-04-05,DP
W0109,PS00232,AG0234,PS,00232,en,,,2018-02-14,OS,2020-04-05,DP
W0110,PS00233,AG0235,PS,00233,en,Chen Danqing claims that this book was popular among Zhiqing. We however could not find an earlier Chinese edition than 1981.,,2018-02-14,OS,2020-04-05,DP
W0111,PS00234,AG0236,PS,00234,en,,,2018-02-14,OS,2020-04-05,DP
W0112,PS00236,AG0237,PS,00236,en,,,2018-02-15,OS,2020-04-05,DP
W0113,PS00237,AG0238,PS,00237,en,Translated from French by Huang Yushi 黄雨石,,2018-02-15,OS,2020-04-05,DP
W0114,PS00239,AG0240,PS,00239,en,,,2018-02-16,OS,2020-04-05,DP
W0115,PS00241,AG0204,PS,00241,en,Translated by 张志强 and 陈世民,,2018-02-16,OS,2020-04-05,DP
W0116,PS00242,AG0241,PS,00242,en,,,2018-02-16,OS,2020-04-05,DP
W0117,PS00243,AG0243,PS,00243,en,,,2018-02-16,OS,2020-04-05,DP
W0118,PS00244,AG0244,PS,00244,en,among the first neibu publications from the 1970s,,2018-02-19,OS,2020-04-05,DP
W0119,PS00245,AG0244,PS,00245,ru,among the first neibu publications from the 1970s,,2018-02-19,OS,2020-04-05,DP
W0120,PS00246,AG0245,PS,00246,en,,,2018-02-19,OS,2020-04-05,DP
W0121,PS00247,AG0246,PS,00247,en,Gao Hua mentioned that this book was translated into Chinese in Shanghai in the late 1940s. Worldcat records an early edition with 1946 as the conceivable date of publication. Except for the translator 勤宣 no further details are given though.,,2018-02-19,OS,2020-04-05,DP
W0122,PS00248,AG0247,PS,00248,en,,,2018-02-19,OS,2020-04-05,DP
W0123,PS00249,AG0158,PS,00249,en,Original date of publication: 1917,,2018-02-20,OS,2020-04-05,DP
W0124,PS00250,AG0248,PS,00250,en,,,2018-02-27,OS,2020-04-05,DP
W0125,PS00252,AG0251,PS,00252,en,,,2018-02-28,OS,2020-04-05,DP
W0126,PS00253,AG0254,PS,00253,en,First published in a newspaper. Printed as a book in 1979.,,2018-02-28,OS,2020-04-05,DP
W0127,PS00254,AG0256,PS,00254,en,,,2018-03-06,MG,2020-04-05,DP
W0128,PS00255,AG0256,PS,00255,en,,,2018-03-06,MG,2020-04-05,DP
W0129,PS00257,AG0001,PS,00257,en,,,2018-03-09,MG,2020-04-05,DP
W0130,PS00258,AG0261,PS,00258,en,,,2018-03-09,MG,2020-04-05,DP
W0131,PS00259,AG0262,PS,00259,en,First translated into English as All Men are Brothers by Pearl S. Buck,,2018-03-12,MG,2020-04-05,DP
W0132,PS00260,AG0263,PS,00260,en,,,2018-03-12,MG,2020-04-05,DP
W0133,PS00261,AG0264,PS,00261,fr,,,2018-03-12,MG,2020-04-05,DP
W0134,PS00263,AG0266,PS,00263,en,,,2018-03-13,MG,2020-04-05,DP
W0135,PS00264,AG0270,PS,00264,en,a textbook that Wu had from Manchester college days,,2018-03-13,MG,2020-04-05,DP
W0136,PS00266,AG0274,PS,00266,en,,,2018-03-13,MG,2020-04-05,DP
W0137,PS00267,AG0273,PS,00267,en,,,2018-03-13,MG,2020-04-05,DP
W0138,PS00268,AG0272,PS,00268,en,,,2018-03-13,MG,2020-04-05,DP
W0139,PS00269,AG0266,PS,00269,en,,,2018-03-13,MG,2020-04-05,DP
W0140,PS00270,AG0271,PS,00270,en,The Story of Doctor Norman Bethune,,2018-03-13,MG,2020-04-05,DP
W0141,PS00271,AG0275,PS,00271,en,,,2018-03-17,WH,2020-04-05,DP
W0142,PS00272,AG0278,PS,00272,zh,,,2018-03-28,WH,2020-04-05,DP
W0143,PS00273,AG0279,PS,00273,en,,,2018-03-28,WH,2020-04-05,DP
W0144,PS00274,AG0212,PS,00274,en,It was also translated as 续侠隐记.,,2018-04-06,WH,2020-04-05,DP
W0145,PS00275,AG0212,PS,00275,en,,,2018-04-11,WH,2020-04-05,DP
W0146,PS00276,AG0280,PS,00276,en,,,2018-04-11,WH,2020-04-05,DP
W0147,PS00290,AG0232,PS,00290,en,,,2018-03-17,MG,2020-04-05,DP
W0148,PS00291,AG0232,PS,00291,zh,,,2018-03-17,MG,2020-04-05,DP
W0149,PS00292,AG0283,PS,00292,en,,,2018-03-17,MG,2020-04-05,DP
W0150,PS00297,AG0090,PS,00297,fr,,,2018-03-23,MG,2020-04-05,DP
W0151,PS00298,AG0292,PS,00298,en,,,2018-03-27,MG,2020-04-05,DP
W0152,PS00299,AG0293,PS,00299,en,,,2018-03-27,MG,2020-04-05,DP
W0153,PS00300,AG0294,PS,00300,en,also known as ‘The Nineteen’,,2018-03-27,MG,2020-04-05,DP
W0154,PS00301,AG0150,PS,00301,en,,,2018-03-27,MG,2020-04-05,DP
W0155,PS00307,AG0297,PS,00307,en,,,2018-04-03,MG,2020-04-05,DP
W0156,PS00309,AG0299,PS,00309,en,,,2018-04-03,MG,2020-04-05,DP
W0157,PS00310,AG0299,PS,00310,en,,,2018-04-03,MG,2020-04-05,DP
W0158,PS00311,AG0300,PS,00311,en,,,2018-04-05,MG,2020-04-05,DP
W0159,PS00328,AG0308,PS,00328,en,,,2018-04-13,MG,2020-04-05,DP
W0160,PS00330,AG0285,PS,00330,en,,,2018-04-13,MG,2020-04-05,DP
W0161,PS00331,AG0285,PS,00331,en,,,2018-04-13,MG,2020-04-05,DP
W0162,PS00332,AG0285,PS,00332,en,,,2018-04-13,MG,2020-04-05,DP
W0163,PS00333,AG0309,PS,00333,en,,,2018-04-13,MG,2020-04-05,DP
W0164,PS00334,AG0311,PS,00334,en,,,2018-05-07,MG,2020-04-05,DP
W0165,PS00335,AG0312,PS,00335,en,,,2018-05-08,MG,2020-04-05,DP
W0166,PS00336,AG0312,PS,00336,en,,,2018-05-08,MG,2020-04-05,DP
W0167,PS00337,AG0313,PS,00337,en,,,2018-05-08,MG,2020-04-05,DP
W0168,PS00338,AG0314,PS,00338,en,,,2018-05-08,MG,2020-04-05,DP
W0169,PS00339,AG0317,PS,00339,zh,,,2018-05-14,MG,2020-04-05,DP
W0170,PS00340,AG0318,PS,00340,zh,,,2018-05-14,MG,2020-04-05,DP
W0171,PS00341,AG0319,PS,00341,fr,,,2018-05-15,MG,2020-04-05,DP
W0172,PS00342,AG0322,PS,00342,en,,,2018-05-15,MG,2020-04-05,DP
W0173,PS00343,AG0323,PS,00343,zh,,,2018-05-15,MG,2020-04-05,DP
W0174,PS00344,AG0329,PS,00344,en,Translated by project member,,2018-05-22,MG,2020-04-05,DP
