act_id,act_object,title
A00704,W0001,Silent China
A00001,W0002,English 900
A00261,W0002,English 900
A00262,W0002,English 900
A00321,W0002,English 900
A00002,W0003,The White Ship
A00004,W0004,Ticket to the Stars
A00005,W0004,Ticket to the Stars
A00028,W0004,Ticket to the Stars
A00029,W0004,Ticket to the Stars
A00094,W0004,Ticket to the Stars
A00770,W0004,Ticket to the Stars
A00006,W0005,My Universities
A00007,W0005,My Universities
A00006,W0005,Мои университеты
A00007,W0005,Мои университеты
A00087,W0006,My Apprenticeship
A00087,W0006,V lyudyakh
A00008,W0007,Der Prozess
A00092,W0008,On the Road
A00228,W0008,On the Road
A00229,W0008,On the Road
A00231,W0008,On the Road
A00233,W0008,On the Road
A00009,W0009,The New Class
A00011,W0009,The New Class
A00012,W0009,The New Class
A00013,W0009,The New Class
A00014,W0009,The New Class
A00091,W0009,The New Class
A00164,W0009,The New Class
A01202,W0009,The New Class
A00010,W0010,Letters Between Two
A00015,W0010,Letters Between Two
A00016,W0010,Letters Between Two
A00018,W0011,Wild Grass
A00768,W0011,Wild Grass
A00024,W0012,Les Fleurs du Mal
A00025,W0012,Les Fleurs du Mal
A00026,W0012,Les Fleurs du Mal
A00027,W0012,Les Fleurs du Mal
A00023,W0013,Ciel brouillé
A00022,W0014,Le Balcon
A00033,W0016,Morning Shadow
A00034,W0017,Gambara
A00035,W0018,Eugénie Grandet
A00037,W0019,New Vietnamese Chinese Newspaper
A00088,W0020,Light Above the Land
A00038,W0021,Watching the Barley Harvest
A00045,W0022,Reeds in the Wind
A00079,W0022,Reeds in the Wind
A00045,W0022,Canne al Vento
A00079,W0022,Canne al Vento
A00089,W0023,En Attendant Godot
A00046,W0024,Waves
A00047,W0025,The Answer
A00048,W0026,The Window on the Cliffs
A00090,W0026,The Window on the Cliffs
A00053,W0027,Smoke
A00052,W0028,Alcohol
A00049,W0029,Rainy Night
A00050,W0030,Dusk: Dingjiatan
A00051,W0031,Habit
A00054,W0032,The Ninth Wave
A00055,W0033,Dedicated to the Aegean Sea
A00056,W0034,For a Sick boy
A00057,W0035,Room at the Top
A00095,W0036,Jane Eyre
A00059,W0037,L‘Étranger
A00093,W0037,L‘Étranger
A00060,W0038,Dream of the Red Chamber
A00061,W0038,Dream of the Red Chamber
A00062,W0038,Dream of the Red Chamber
A00063,W0038,Dream of the Red Chamber
A00253,W0038,Dream of the Red Chamber
