act_id,act_object,title
A00039,W0530,The Girl of the Mountains (Kenga e naftes)
A00044,W0552,Symphony No. 5
A00065,W0531,City Lights
A00066,W0531,City Lights
A00067,W0532,The Gold Rush
A00068,W0532,The Gold Rush
A00069,W0533,Monsieur Verdoux
A00070,W0533,Monsieur Verdoux
A00076,W0542,Rome 11 o'clock
A00273,W0535,Butterfly Lovers‘ Violin Concerto
A00288,W0536,The Legend of the Red Lantern
A00289,W0537,The Internationale
A00300,W0534,Swan Lake
A00301,W0535,Butterfly Lovers‘ Violin Concerto
A00302,W0534,Swan Lake
A00303,W0535,Butterfly Lovers‘ Violin Concerto
A00309,W0536,The Legend of the Red Lantern
A00310,W0536,The Legend of the Red Lantern
A00315,W0537,The Internationale
A00316,W0537,The Internationale
A00445,W0546,Lenin in October
A00446,W0546,Lenin in October
A00447,W0547,Lenin in 1918
A00448,W0547,Lenin in 1918
A00452,W0543,Zigeunerweisen
A00458,W0544,Manhunt
A00500,W0639,The Moldau
A00624,W0548,The Tramp
A00627,W0549,Ol‘Man River
A00701,W0550,The Sparkling Red Star
A00725,W0551,The Shade of the Willow
A00726,W0551,The Shade of the Willow
A00764,W0553,Symphony No. 9
A00840,W0555,Auld Lang Syne
A00851,W0620,Mona Lisa
A00852,W0620,Mona Lisa
A00855,W0537,The Internationale
A00856,W0537,The Internationale
A00858,W0621,The Moon Represents my Heart
A00928,W0557,Sun Hided Behind Mountain
A00929,W0558,The Deep Sea
A00934,W0559,Wave of anger
A00935,W0560,Red Guards on Honghu Lake
A00936,W0561,Climbing the Taofeng Mountain Three Times
A00939,W0562,National Anthem of China
A00940,W0563,The Internationale
A00941,W0563,The Internationale
A00942,W0564,A Song without Words
A00945,W0531,City Lights
A00946,W0535,Butterfly Lovers‘ Violin Concerto
A00948,W0566,Come to the Sea
A00950,W0567,Stele of Zhang Qian
A00951,W0568,Londonderry Air
A00952,W0569,Model Mountain Township
A00953,W0570,Dujuan Mountain
A00954,W0571,Ode to the Yimeng Mountains
A00955,W0572,Serf’s Halberd
A00956,W0574,The White Haired Girl
A00957,W0574,The White Haired Girl
A00958,W0560,Red Guards on Honghu Lake
A00964,W0575,The Yellow River
A00965,W0576,Blue Street Light
A00966,W0577,Dream Garden
A00967,W0578,Night Star
A00968,W0579,Tangbula
A00969,W0580,Bitter Coffee
A00970,W0581,Waterloo Bridge
A00971,W0582,Farewell
A00973,W0584,Battleship Potemkin
A00974,W0585,The Forty-First
A00975,W0586,Bicycle Thieves
A00977,W0588,Last Year at Marienbad
A00978,W0589,Admiral Yamamoto
A00979,W0590,"Ah, navy"
A00980,W0591,Tora! Tora! Tora!
A00981,W0592,Battle of the Japan Sea
A00982,W0593,Explosion
A00997,W0594,Three Rules of Discipline and Eight Points for Attention
A00998,W0595,On the Docks
A00999,W0596,Narrow Street
A01017,W0625,Tormented by Grievous Bondage
A01028,W0626,Tunnel War
A01060,W0630,The Peach Blossom Fan
A01100,W0597,The Red Guards on the grassland saw Chairman Mao
A01101,W0598,Yanbian people love Chairman Mao
A01102,W0599,Red Detachment of Women
A01103,W0600,Red Detachment of Women
A01108,W0558,The Deep Sea
A01109,W0601,Troika
A01110,W0601,Troika
A01111,W0602,Siganushka
A01112,W0603,River Water
A01113,W0604,Boarding the Jinggangshan Again
A01114,W0605,Chairman Mao’s Brilliance Illuminates the Stove
A01118,W0606,Ural Rowan Tree
A01119,W0607,Chairman Mao Traveled Across the Motherland
A01133,W0608,Roars and groans the Dnipro
A01136,W0609,Cao Quan’s Stele
A01138,W0610,North Sea sketch
A01143,W0611,A Soldier's Experience
A01144,W0612,The Ghost Goes West
A01145,W0613,The Spessart Inn
A01146,W0614,Roses for the Prosecutor
A01147,W0615,The Haunted Castle
A01148,W0616,Army of Shadows
A01149,W0617,The Red and the Black
A01150,W0618,Nights of Cabiria
A01153,W0611,A Soldier's Experience
A01154,W0612,The Ghost Goes West
A01155,W0613,The Spessart Inn
A01156,W0614,Roses for the Prosecutor
A01157,W0615,The Haunted Castle
A01158,W0616,Army of Shadows
A01159,W0617,The Red and the Black
A01160,W0618,Nights of Cabiria
A01180,W0627,Double Marriage
A01181,W0627,Double Marriage
A01182,W0628,Long March Chorus
A01185,W0629,February
A01196,W0632,Chaoyang Village
A01199,W0633,Where is China going?
A01313,W0631,When Will You Return?
A01319,W0634,Road Test
A01320,W0635,Business Startup
A01321,W0636,Railway Ruerrilla
A01326,W0637,Sorrows of the Forbidden City
A01335,W0638,Two Hundred Famous Foreign Songs
A01337,W0530,The Girl of the Mountains (Kenga e naftes)
A01339,W0539,Inauguration of the State
A01340,W0540,My home
A01341,W0541,New World Symphony
