A00001,AG0062,W0002,Nanchu,
A00002,AG0103,W0003,Han,Shaogong
A00003,AG0017,W0414,Ma,Jia
A00004,AG0105,W0004,Xu,Xiao
A00005,AG0014,W0004,Zhao,Yifan
A00006,AG0106,W0005,Shu,Ting
A00007,AG0020,W0005,Gao,Hua
A00008,AG0009,W0007,Bei,Dao
A00009,AG0014,W0009,Zhao,Yifan
A00010,AG0113,W0010,Huang,Xiaolong
A00011,AG0103,W0009,Han,Shaogong
A00012,AG0115,W0009,Xu,Chenggang
A00013,AG0116,W0009,Li,Daxing
A00014,AG0014,W0009,Zhao,Yifan
A00015,AG0113,W0010,Huang,Xiaolong
A00016,AG0057,W0010,Qi,Zhi
A00017,AG0114,W0414,Zhang,Yang
A00018,AG0029,W0011,Wu,Hong
A00019,AG0114,W0414,Zhang,Yang
A00020,AG0114,W0067,Zhang,Yang
A00021,AG0103,W0414,Han,Shaogong
A00022,AG0118,W0014,Bo,Hua
A00023,AG0118,W0013,Bo,Hua
A00024,AG0117,W0012,Chen,Jianhua
A00025,AG0103,W0012,Han,Shaogong
A00026,AG0017,W0012,Ma,Jia
A00027,AG0119,W0012,Lin,Mang
A00028,AG0010,W0004,Duo,Duo
A00029,AG0017,W0004,Ma,Jia
A00030,AG0002,W0015,Mou,Dunbai
A00031,AG0021,W0015,Guo,Shiying
A00032,AG0022,W0015,Zhang,Heci
A00033,AG0002,W0016,Mou,Dunbai
A00034,AG0003,W0017,Zhang,Langlang
A00035,AG0116,W0018,Li,Daxing
A00036,AG0103,W0414,Han,Shaogong
A00037,AG0020,W0019,Gao,Hua
A00038,AG0121,W0021,Bao,Jia
A00040,AG0122,W0554,Fan,Qian
A00041,AG0123,W0554,Bao,Kun
A00042,AG0003,W0414,Zhang,Langlang
A00043,AG0029,W0414,Wu,Hong
A00044,AG0125,W0552,Chen,Danqing
A00045,AG0040,W0022,Jin,Zhong
A00046,AG0009,W0024,Bei,Dao
A00047,AG0118,W0025,Bo,Hua
A00048,AG0018,W0026,Yan,Li
A00049,AG0118,W0029,Bo,Hua
A00050,AG0118,W0030,Bo,Hua
A00051,AG0118,W0031,Bo,Hua
A00052,AG0119,W0028,Lin,Mang
A00053,AG0119,W0027,Lin,Mang
A00054,AG0014,W0032,Zhao,Yifan
A00055,AG0118,W0033,Bo,Hua
A00056,AG0118,W0034,Bo,Hua
A00057,AG0128,W0035,Bei,Shan
A00059,AG0103,W0037,Han,Shaogong
A00060,AG0133,W0038,Yu,Pingbo
A00061,AG0029,W0038,Wu,Hong
A00062,AG0134,W0038,Yan,Lianke
A00063,AG0003,W0038,Zhang,Langlang
A00064,AG0057,W0039,Qi,Zhi
A00065,AG0003,W0531,Zhang,Langlang
A00066,AG0067,W0531,Zhang,Runfeng
A00067,AG0003,W0532,Zhang,Langlang
A00068,AG0067,W0532,Zhang,Runfeng
A00069,AG0003,W0533,Zhang,Langlang
A00070,AG0067,W0533,Zhang,Runfeng
A00071,AG0117,W0040,Chen,Jianhua
A00072,AG0106,W0041,Shu,Ting
A00073,AG0117,W0042,Chen,Jianhua
A00074,AG0020,W0043,Gao,Hua
A00075,AG0114,W0086,Zhang,Yang
A00076,AG0031,W0542,Huang,Guangzu
A00077,AG0029,W0061,Wu,Hong
A00078,AG0115,W0414,Xu,Chenggang
A00080,AG0011,W0063,Xu,Haoyuan
A00081,AG0005,W0064,Peng,Gang
A00082,AG0003,W0063,Zhang,Langlang
A00083,AG0061,W0052,Siao,Eva
A00084,AG0061,W0050,Siao,Eva
A00085,AG0073,W0065,Bai,Di
A00086,AG0073,W0066,Bai,Di
A00087,AG0020,W0006,Gao,Hua
A00088,AG0124,W0020,Xiao,Xiao
A00089,AG0124,W0023,Xiao,Xiao
A00090,AG0104,W0026,Wang,Shiqiang
A00091,AG0104,W0009,Wang,Shiqiang
A00092,AG0104,W0008,Wang,Shiqiang
A00093,AG0103,W0037,Han,Shaogong
A00094,AG0104,W0004,Wang,Shiqiang
A00095,AG0130,W0036,Link,Perry
A00096,AG0156,W0059,Song,Yongyi
A00097,AG0130,W0062,Link,Perry
A00098,AG0104,W0063,Wang,Shiqiang
A00099,AG0105,W0060,Xu,Xiao
A00147,AG0009,W0070,Bei,Dao
A00148,AG0003,W0073,Zhang,Langlang
A00149,AG0114,W0074,Zhang,Yang
A00150,AG0114,W0075,Zhang,Yang
A00153,AG0009,W0074,Bei,Dao
A00154,AG0195,W0076,Tang,Xiaofeng
A00156,AG0197,W0414,Li,Ling
A00157,AG0197,W0414,Li,Ling
A00158,AG0197,W0414,Li,Ling
A00159,AG0197,W0414,Li,Ling
A00160,AG0197,W0414,Li,Ling
A00161,AG0197,W0414,Li,Ling
A00162,AG0197,W0414,Li,Ling
A00163,AG0197,W0414,Li,Ling
A00164,AG0197,W0009,Li,Ling
A00165,AG0197,W0414,Li,Ling
A00166,AG0197,W0414,Li,Ling
A00167,AG0197,W0068,Li,Ling
A00168,AG0197,W0068,Li,Ling
A00169,AG0197,W0068,Li,Ling
A00170,AG0205,W0068,Zhang,Xiaokang
A00171,AG0206,W0068,Liu,Jingzi
A00173,AG0031,W0079,Huang,Guangzu
A00174,AG0029,W0081,Wu,Hong
A00175,AG0105,W0080,Xu,Xiao
A00176,AG0061,W0083,Siao,Eva
A00177,AG0213,W0414,Yuan,Shuren
A00178,AG0029,W0084,Wu,Hong
A00181,AG0037,W0084,Huang,Xiaozhen
A00182,AG0003,W0084,Zhang,Langlang
A00183,AG0010,W0087,Duo,Duo
A00185,AG0124,W0089,Xiao,Xiao
A00186,AG0012,W0090,Genzi,
A00187,AG0003,W0091,Zhang,Langlang
A00188,AG0003,W0092,Zhang,Langlang
A00189,AG0103,W0414,Han,Shaogong
A00190,AG0044,W0093,Fu,Weici
A00191,AG0029,W0414,Wu,Hong
A00192,AG0073,W0065,Bai,Di
A00193,AG0073,W0066,Bai,Di
A00194,AG0073,W0094,Bai,Di
A00195,AG0073,W0095,Bai,Di
A00196,AG0073,W0096,Bai,Di
A00197,AG0124,W0097,Xiao,Xiao
A00198,AG0156,W0097,Song,Yongyi
A00199,AG0156,W0098,Song,Yongyi
A00200,AG0124,W0098,Xiao,Xiao
A00201,AG0103,W0098,Han,Shaogong
A00202,AG0019,W0099,Guo,Lusheng
A00203,AG0009,W0100,Bei,Dao
A00204,AG0009,W0101,Bei,Dao
A00205,AG0228,W0101,Jiang,He
A00206,AG0228,W0101,Jiang,He
A00207,AG0024,W0102,Song,Haiquan
A00208,AG0024,W0102,Song,Haiquan
A00210,AG0105,W0104,Xu,Xiao
A00211,AG0051,W0104,Liu,Haiou
A00212,AG0124,W0105,Xiao,Xiao
A00213,AG0156,W0105,Song,Yongyi
A00214,AG0128,W0105,Bei,Shan
A00215,AG0103,W0105,Han,Shaogong
A00217,AG0195,W0106,Tang,Xiaofeng
A00218,AG0118,W0106,Bo,Hua
A00219,AG0106,W0108,Shu,Ting
A00220,AG0103,W0109,Han,Shaogong
A00222,AG0103,W0414,Han,Shaogong
A00223,AG0037,W0112,Huang,Xiaozhen
A00224,AG0106,W0112,Shu,Ting
A00225,AG0010,W0087,Duo,Duo
A00226,AG0128,W0414,Bei,Shan
A00227,AG0106,W0414,Shu,Ting
A00228,AG0124,W0008,Xiao,Xiao
A00229,AG0011,W0008,Xu,Haoyuan
A00230,AG0011,W0063,Xu,Haoyuan
A00231,AG0010,W0008,Duo,Duo
A00232,AG0010,W0063,Duo,Duo
A00233,AG0128,W0008,Bei,Shan
A00234,AG0020,W0114,Gao,Hua
A00235,AG0124,W0059,Xiao,Xiao
A00236,AG0156,W0059,Song,Yongyi
A00237,AG0242,W0116,Wong,Jan
A00238,AG0242,W0117,Wong,Jan
A00239,AG0124,W0059,Xiao,Xiao
A00240,AG0020,W0121,Gao,Hua
A00242,AG0249,W0124,Gu,Yunpu
A00243,AG0250,W0414,Kang,Zhengguo
A00244,AG0253,W0125,Tang,Ke
A00245,AG0114,W0126,Zhang,Yang
A00246,AG0257,W0127,Wu,Ningkun
A00247,AG0257,W0128,Wu,Ningkun
A00248,AG0257,W0414,Wu,Ningkun
A00249,AG0259,W0127,Deng,Muhang
A00250,AG0259,W0128,Deng,Muhang
A00251,AG0259,W0414,Deng,Muhang
A00252,AG0257,W0129,Wu,Ningkun
A00253,AG0260,W0038,Chen,Yu
A00254,AG0260,W0130,Chen,Yu
A00255,AG0260,W0131,Chen,Yu
A00256,AG0257,W0132,Wu,Ningkun
A00257,AG0257,W0133,Wu,Ningkun
A00258,AG0265,W0414,Li,Shiyu
A00259,AG0267,W0134,Wu,Yiding
A00260,AG0258,W0511,Li,Yikai
A00261,AG0258,W0002,Li,Yikai
A00262,AG0257,W0002,Wu,Ningkun
A00263,AG0257,W0135,Wu,Ningkun
A00264,AG0257,W0414,Wu,Ningkun
A00265,AG0258,W0414,Li,Yikai
A00266,AG0267,W0414,Wu,Yiding
A00267,AG0257,W0136,Wu,Ningkun
A00268,AG0258,W0137,Li,Yikai
A00269,AG0268,W0138,anon,Yian
A00270,AG0268,W0139,anon,Yian
A00271,AG0257,W0140,Wu,Ningkun
A00272,AG0114,W0141,Zhang,Yang
A00273,AG0011,W0535,Xu,Haoyuan
A00274,AG0029,W0081,Wu,Hong
A00275,AG0103,W0082,Han,Shaogong
A00276,AG0029,W0414,Wu,Hong
A00277,AG0114,W0414,Zhang,Yang
A00278,AG0114,W0142,Zhang,Yang
A00279,AG0114,W0143,Zhang,Yang
A00281,AG0029,W0084,Wu,Hong
A00282,AG0003,W0084,Zhang,Langlang
A00283,AG0037,W0084,Huang,Xiaozhen
A00285,AG0114,W0144,Zhang,Yang
A00286,AG0114,W0145,Zhang,Yang
A00287,AG0213,W0146,Yuan,Shuren
A00288,AG0003,W0536,Zhang,Langlang
A00289,AG0003,W0537,Zhang,Langlang
A00290,AG0117,W0414,Chen,Jianhua
A00292,AG0282,W0149,Mu,Aiping
A00293,AG0282,W0414,Mu,Aiping
A00294,AG0284,W0414,Mu,Xiang
A00295,AG0284,W0414,Mu,Xiang
A00296,AG0284,W0414,Mu,Xiang
A00297,AG0284,W0414,Mu,Xiang
A00298,AG0282,W0414,Mu,Aiping
A00299,AG0282,W0038,Mu,Aiping
A00300,AG0282,W0534,Mu,Aiping
A00301,AG0282,W0535,Mu,Aiping
A00302,AG0290,W0534,Mu,Feng-an
A00303,AG0290,W0535,Mu,Feng-an
A00304,AG0284,W0150,Mu,Xiang
A00305,AG0291,W0104,Zhu,Xiao Di
A00306,AG0291,W0050,Zhu,Xiao Di
A00307,AG0291,W0151,Zhu,Xiao Di
A00308,AG0291,W0152,Zhu,Xiao Di
A00309,AG0291,W0536,Zhu,Xiao Di
A00310,AG0291,W0536,Zhu,Xiao Di
A00311,AG0291,W0513,Zhu,Xiao Di
A00312,AG0291,W0153,Zhu,Xiao Di
A00313,AG0291,W0050,Zhu,Xiao Di
A00314,AG0291,W0154,Zhu,Xiao Di
A00316,AG0291,W0537,Zhu,Xiao Di
A00317,AG0291,W0414,Zhu,Xiao Di
A00318,AG0291,W0414,Zhu,Xiao Di
A00319,AG0291,W0414,Zhu,Xiao Di
A00320,AG0291,W0414,Zhu,Xiao Di
A00321,AG0291,W0002,Zhu,Xiao Di
A00322,AG0291,W0554,Zhu,Xiao Di
A00323,AG0291,W0414,Zhu,Xiao Di
A00324,AG0296,W0414,Zhu,Qiluan
A00325,AG0291,W0078,Zhu,Xiao Di
A00326,AG0291,W0155,Zhu,Xiao Di
A00327,AG0291,W0414,Zhu,Xiao Di
A00328,AG0298,W0155,Yang,
A00329,AG0298,W0414,Yang,
A00331,AG0291,W0156,Zhu,Xiao Di
A00333,AG0291,W0157,Zhu,Xiao Di
A00334,AG0291,W0158,Zhu,Xiao Di
A00336,AG0307,W0414,Zhu,
A00337,AG0291,W0414,Zhu,Xiao Di
A00338,AG0291,W0414,Zhu,Xiao Di
A00339,AG0291,W0414,Zhu,Xiao Di
A00340,AG0291,W0414,Zhu,Xiao Di
A00341,AG0291,W0414,Zhu,Xiao Di
A00342,AG0291,W0414,Zhu,Xiao Di
A00343,AG0291,W0414,Zhu,Xiao Di
A00344,AG0291,W0414,Zhu,Xiao Di
A00345,AG0291,W0414,Zhu,Xiao Di
A00346,AG0291,W0414,Zhu,Xiao Di
A00347,AG0291,W0414,Zhu,Xiao Di
A00348,AG0291,W0414,Zhu,Xiao Di
A00349,AG0291,W0414,Zhu,Xiao Di
A00350,AG0291,W0414,Zhu,Xiao Di
A00351,AG0291,W0414,Zhu,Xiao Di
A00352,AG0291,W0414,Zhu,Xiao Di
A00353,AG0307,W0414,Zhu,
A00354,AG0307,W0414,Zhu,
A00355,AG0307,W0414,Zhu,
A00356,AG0307,W0414,Zhu,
A00357,AG0307,W0414,Zhu,
A00358,AG0307,W0414,Zhu,
A00359,AG0307,W0414,Zhu,
A00360,AG0307,W0414,Zhu,
A00361,AG0307,W0414,Zhu,
A00362,AG0307,W0414,Zhu,
A00363,AG0307,W0414,Zhu,
A00364,AG0307,W0414,Zhu,
A00365,AG0307,W0414,Zhu,
A00366,AG0307,W0414,Zhu,
A00367,AG0307,W0414,Zhu,
A00368,AG0103,W0159,Han,Shaogong
A00369,AG0106,W0414,Shu,Ting
A00370,AG0009,W0160,Bei,Dao
A00371,AG0105,W0161,Xu,Xiao
A00372,AG0105,W0162,Xu,Xiao
A00373,AG0029,W0160,Wu,Hong
A00374,AG0125,W0160,Chen,Danqing
A00375,AG0003,W0160,Zhang,Langlang
A00376,AG0125,W0161,Chen,Danqing
A00377,AG0143,W0414,Wu,
A00378,AG0103,W0414,Han,Shaogong
A00379,AG0192,W0414,Deng,Gang
A00380,AG0310,W0163,Zhu,Zhenglin
A00381,AG0124,W0163,Xiao,Xiao
A00382,AG0020,W0164,Gao,Hua
A00383,AG0124,W0165,Xiao,Xiao
A00384,AG0124,W0166,Xiao,Xiao
A00385,AG0104,W0166,Wang,Shiqiang
A00386,AG0156,W0166,Song,Yongyi
A00387,AG0029,W0414,Wu,Hong
A00388,AG0143,W0414,Wu,
A00389,AG0192,W0414,Deng,Gang
A00390,AG0103,W0414,Han,Shaogong
A00391,AG0103,W0414,Han,Shaogong
A00392,AG0103,W0167,Han,Shaogong
A00393,AG0124,W0168,Xiao,Xiao
A00394,AG0192,W0064,Deng,Gang
A00395,AG0192,W0414,Deng,Gang
A00396,AG0029,W0414,Wu,Hong
A00397,AG0143,W0414,Wu,
A00398,AG0032,W0169,Zhu,Shixian
A00399,AG0032,W0169,Zhu,Shixian
A00400,AG0032,W0169,Zhu,Shixian
A00401,AG0033,W0170,Zhou,Ziren
A00402,AG0034,W0170,Zhou,Jiren
