act_id,act_object,creator,title,name
A00001,W0002,AG0629,English 900,
A00002,W0003,AG0075,Bai lunchuan,Aitmatov Chinghiz
A00004,W0004,AG0077,Dai xingxing de huoche piao,Aksyonov Vasily
A00005,W0004,AG0077,Dai xingxing de huoche piao,Aksyonov Vasily
A00006,W0005,AG0107,My Universities,Gorky Maxim
A00007,W0005,AG0107,My Universities,Gorky Maxim
A00009,W0009,AG0112,The New Class,Milovan Djilas
A00010,W0010,AG0001,Letters Between Two,Lu Xun
A00011,W0009,AG0112,The New Class,Milovan Djilas
A00012,W0009,AG0112,The New Class,Milovan Djilas
A00013,W0009,AG0112,The New Class,Milovan Djilas
A00014,W0009,AG0112,The New Class,Milovan Djilas
A00015,W0010,AG0001,Letters Between Two,Lu Xun
A00016,W0010,AG0001,Letters Between Two,Lu Xun
A00018,W0011,AG0001,Wild Grass,Lu Xun
A00020,W0067,AG0001,Lu Xun yulu,Lu Xun
A00028,W0004,AG0077,Dai xingxing de huoche piao,Aksyonov Vasily
A00029,W0004,AG0077,Dai xingxing de huoche piao,Aksyonov Vasily
A00033,W0016,AG0083,Gongren Suihuilüefu,Artsybashev Mikhail
A00037,W0019,AG0627,New Vietnamese Chinese Newspaper,
A00038,W0021,AG0088,Guan yi mai,Bai Juyi
A00039,W0530,AG0080,,Anagnosti Dhimitër
A00040,W0554,AG0626,,anonymous
A00041,W0554,AG0626,,anonymous
A00044,W0552,AG0093,,Beethoven Ludwig van
A00045,W0022,AG0126,Canne al Vento,Deledda Grazia
A00046,W0024,AG0009,Bodong,Bei Dao
A00047,W0025,AG0009,Huida,Bei Dao
A00048,W0026,AG0009,Qiaobi shang de chuanghu,Bei Dao
A00049,W0029,AG0009,Rainy Night,Bei Dao
A00050,W0030,AG0009,Dusk: Dingjiatan,Bei Dao
A00051,W0031,AG0009,Habit,Bei Dao
A00052,W0028,AG0009,Alcohol,Bei Dao
A00053,W0027,AG0009,Smoke,Bei Dao
