act_id,source,target
A00001,AG0062,AG0629
A00002,AG0103,AG0075
A00003,AG0017,AG0626
A00004,AG0105,AG0077
A00005,AG0014,AG0077
A00006,AG0106,AG0107
A00007,AG0020,AG0107
A00008,AG0009,AG0110
A00009,AG0014,AG0112
A00010,AG0113,AG0001
A00011,AG0103,AG0112
A00012,AG0115,AG0112
A00013,AG0116,AG0112
A00014,AG0014,AG0112
A00015,AG0113,AG0001
A00016,AG0057,AG0001
A00017,AG0114,AG0626
A00018,AG0029,AG0001
A00019,AG0114,AG0626
A00020,AG0114,AG0001
A00021,AG0103,AG0626
A00022,AG0118,AG0091
A00023,AG0118,AG0091
A00024,AG0117,AG0091
A00025,AG0103,AG0091
A00026,AG0017,AG0091
A00027,AG0119,AG0091
A00028,AG0010,AG0077
A00029,AG0017,AG0077
A00030,AG0002,AG0081
A00031,AG0021,AG0081
A00032,AG0022,AG0081
A00033,AG0002,AG0083
A00034,AG0003,AG0090
A00035,AG0116,AG0090
A00036,AG0103,AG0626
A00037,AG0020,AG0627
A00038,AG0121,AG0088
A00039,AG0626,AG0080
A00040,AG0122,AG0626
A00041,AG0123,AG0626
A00042,AG0003,AG0626
A00043,AG0029,AG0626
A00044,AG0125,AG0093
A00045,AG0040,AG0126
A00046,AG0009,AG0009
A00047,AG0118,AG0009
A00048,AG0018,AG0009
A00049,AG0118,AG0009
A00050,AG0118,AG0009
A00051,AG0118,AG0009
A00052,AG0119,AG0009
A00053,AG0119,AG0009
A00054,AG0014,AG0097
A00055,AG0118,AG0118
A00056,AG0118,AG0118
A00057,AG0128,AG0102
A00059,AG0103,AG0131
A00060,AG0133,AG0132
A00061,AG0029,AG0132
A00062,AG0134,AG0132
A00063,AG0003,AG0132
A00064,AG0057,AG0135
A00065,AG0003,AG0136
A00066,AG0067,AG0136
A00067,AG0003,AG0136
A00068,AG0067,AG0136
A00069,AG0003,AG0136
A00070,AG0067,AG0136
A00071,AG0117,AG0136
A00072,AG0106,AG0137
A00073,AG0117,AG0117
A00074,AG0020,AG0139
A00075,AG0114,AG0154
A00076,AG0031,AG0153
A00077,AG0029,AG0138
A00078,AG0115,AG0626
A00079,AG0626,AG0126
A00080,AG0011,AG0164
A00081,AG0005,AG0165
A00082,AG0003,AG0164
A00083,AG0061,AG0157
A00084,AG0061,AG0157
A00085,AG0073,AG0166
A00086,AG0073,AG0626
A00087,AG0020,AG0107
A00088,AG0124,AG0086
A00089,AG0124,AG0092
A00090,AG0104,AG0009
A00091,AG0104,AG0112
A00092,AG0104,AG0111
A00093,AG0103,AG0131
A00094,AG0104,AG0077
A00095,AG0130,AG0129
A00096,AG0156,AG0155
A00097,AG0130,AG0138
A00098,AG0104,AG0164
A00099,AG0105,AG0152
A00147,AG0009,AG0441
A00148,AG0003,AG0443
A00149,AG0114,AG0444
A00150,AG0114,AG0444
A00151,AG0626,AG0444
A00152,AG0626,AG0445
A00153,AG0009,AG0444
A00154,AG0195,AG0445
A00155,AG0626,AG0168
A00156,AG0197,AG0626
A00157,AG0197,AG0626
A00158,AG0197,AG0626
A00159,AG0197,AG0626
A00160,AG0197,AG0626
A00161,AG0197,AG0626
A00162,AG0197,AG0626
A00163,AG0197,AG0626
A00164,AG0197,AG0112
A00165,AG0197,AG0626
A00166,AG0197,AG0626
A00167,AG0197,AG0204
A00168,AG0197,AG0204
A00169,AG0197,AG0204
A00170,AG0205,AG0204
A00171,AG0206,AG0204
A00173,AG0031,AG0208
A00174,AG0029,AG0209
A00175,AG0105,AG0209
A00176,AG0061,AG0211
A00177,AG0213,AG0626
A00178,AG0029,AG0212
A00179,AG0626,AG0212
