act_id,act_object,title
A01676,W0044,Quotations From Chairman Mao Tse-tung
A01677,W0713,Silent Spring
A01678,W0713,Silent Spring
A01679,W0713,Silent Spring
A01680,W0713,Silent Spring
A01681,W0713,Silent Spring
A01682,W0713,Silent Spring
A01683,W0713,Silent Spring
A01687,W0713,Silent Spring
A01690,W0714,Journal of Astrophysics
A01783,W0728,1984
A01784,W0728,1984
A01785,W0728,1984
A01786,W0728,1984
A01791,W0729,Paradise Lost
A01813,W0134,Journey to the West
A01820,W0131,Water Margin
A01823,W0730,The History of Future City
A01826,W0289,Bible
A01827,W0044,Quotations From Chairman Mao Tse-tung
A01829,W0134,Journey to the West
A01830,W0134,Journey to the West
A01836,W0668,Diary of a Madman
A01837,W0732,The Crystal Spheres
A01844,W0733,Restaurant at The End of The Universe
A01849,W0063,The Catcher in the Rye
A01850,W0063,The Catcher in the Rye
A01851,W0063,The Catcher in the Rye
A01856,W0172,Twenty Thousand Leagues Under the Sea
A01857,W0172,Twenty Thousand Leagues Under the Sea
A01858,W0734,Huainanzi
A01861,W0735,Odyssey
A01864,W0066,A Thousand and One Nights
A01865,W0736,Xunzi
A01867,W0737,The Guinness Book of World Records
A01868,W0738,Three Alls Policy
A01869,W0134,Journey to the West
A01872,W0739,The Hitchhiker’s Guide to The Universe
A01877,W0668,Diary of a Madman
A01880,W0741,Mathematical Principles of Natural Philosophy
A01885,W0742,As if in a dream
A01888,W0743,Erewhon
A01889,W0744,Erewhon Revisited
A01890,W0745,Design For a Brain
A01897,W0746,Journal International Microbiology
A01904,W0747,Die Gute Hausfrau
A01914,W0749,The Smiling Proud Wanderer
A01918,W0752,Iliad
A01920,W0748,Othello
A01922,W0750,Runaround
A01950,W0337,China Pictorial
A01956,W0753,Jiefangjun Bao
A01959,W0756,Abhandlung über die Bildung von Hautexzemen
A01960,W0756,Abhandlung über die Bildung von Hautexzemen
A01961,W0757,Sporenlehre
A01966,W0289,Bible
A01969,W0758,Oxford English Dictionary
A01970,W0759,In His Image
A01971,W0760,Alice’s Travel
A01978,W0761,Confessions of a Murderer
A01979,W0762,The Road to Riches
A01980,W0763,Love on The Isle of God
A01986,W0764,World Art
A01999,W0771,Climbing Stork Tower
A02000,W0771,Climbing Stork Tower
A02001,W0765,River Snow
A02002,W0766,Yellow Crane Tower
A02003,W0767,Spring Dawn
A02004,W0768,Going Down to Jiangling
A02005,W0769,Quiet Night Thought
A02006,W0770,Seeing off Meng Haoran for Guangling at Yellow Crane Tower
A02017,W0774,The Orphans
A02019,W0775,Rumpelstiltskin
A02034,W0777,Chu Ci
A02039,W0778,I Ching or Book of Changes
A02040,W0779,The Secret of The Golden Flower
A02042,W0780,Adam and Eve
A02048,W0781,Doraemon
A02049,W0782,Peter Pan
A02050,W0728,1984
A02056,W0783,Cannibalism
A02057,W0783,Cannibalism
