act_id,act_object,title
A01400,W0138,Romance of the Three Kingdoms
A01401,W0038,Dream of the Red Chamber
A01402,W0655,The Plum in The Golden Vase
A01403,W0289,Bible
A01404,W0656,Die Worte der Fünf Weisen
A01404,W0656,Les Paroles des Cinq Vieillards
A01405,W0657,Don Quijote de la Mancha
A01405,W0657,Don Quixote
A01406,W0657,Don Quijote de la Mancha
A01406,W0657,Don Quixote
A01407,W0657,Don Quijote de la Mancha
A01407,W0657,Don Quixote
A01409,W0658,Ursule Mirouët
A01410,W0658,Ursule Mirouët
A01411,W0658,Ursule Mirouët
A01412,W0658,Ursule Mirouët
A01413,W0658,Ursule Mirouët
A01414,W0658,Ursule Mirouët
A01421,W0659,Father Goriot
A01421,W0659,Le Père Goriot
A01422,W0180,Jean-Christophe
A01427,W0659,Father Goriot
A01427,W0659,Le Père Goriot
A01428,W0018,Eugénie Grandet
A01429,W0658,Ursule Mirouët
A01430,W0180,Jean-Christophe
A01431,W0180,Jean-Christophe
A01432,W0664,Norte Dame de Paris
A01432,W0664,The Hunchback of Notre-Dame
A01433,W0665,Colonel Charbert
A01434,W0666,Madame Bovary
A01435,W0018,Eugénie Grandet
A01436,W0661,Cousin Pons
A01437,W0659,Father Goriot
A01437,W0659,Le Père Goriot
A01438,W0658,Ursule Mirouët
A01439,W0666,Madame Bovary
A01440,W0666,Madame Bovary
A01443,W0078,The Gadfly
A01444,W0078,The Gadfly
A01445,W0078,The Gadfly
A01446,W0078,The Gadfly
A01447,W0078,The Gadfly
A01448,W0078,The Gadfly
A01450,W0367,Song of Youth
A01451,W0367,Song of Youth
A01452,W0367,Song of Youth
A01453,W0367,Song of Youth
A01454,W0078,The Gadfly
A01455,W0095,How the Steel was Tempered
A01456,W0078,The Gadfly
A01457,W0095,How the Steel was Tempered
A01458,W0078,The Gadfly
A01459,W0078,The Gadfly
A01460,W0078,The Gadfly
A01461,W0160,War and Peace
A01463,W0078,The Gadfly
A01464,W0078,The Gadfly
A01465,W0246,Red Crag
A01466,W0671,The Lyrics of the New Wedding Cage
A01467,W0160,War and Peace
A01468,W0160,War and Peace
A01469,W0671,The Lyrics of the New Wedding Cage
A01470,W0246,Red Crag
A01471,W0078,The Gadfly
A01473,W0078,The Gadfly
A01474,W0668,Diary of a Madman
A01475,W0246,Red Crag
A01476,W0078,The Gadfly
A01479,W0667,The Watch
A01480,W0667,The Watch
A01482,W0667,The Watch
A01483,W0667,The Watch
A01484,W0667,The Watch
A01485,W0667,The Watch
A01486,W0667,The Watch
A01495,W0407,The Hurricane
A01496,W0407,The Hurricane
A01497,W0407,The Hurricane
A01498,W0246,Red Crag
A01499,W0246,Red Crag
A01500,W0415,The Little Mermaid
A01501,W0416,Pushkin poetry
A01502,W0865,The Ugly Duckling
A01503,W0415,The Little Mermaid
A01600,W0671,The Lyrics of the New Wedding Cage
A01601,W0671,The Lyrics of the New Wedding Cage
A01602,W0671,The Lyrics of the New Wedding Cage
A01603,W0669,Collected Works of Mao Dun
A01604,W0669,Collected Works of Mao Dun
A01605,W0669,Collected Works of Mao Dun
A01606,W0670,The Selected Works of Gaidar
A01610,W0670,The Selected Works of Gaidar
A01611,W0670,The Selected Works of Gaidar
A01612,W0018,Eugénie Grandet
A01613,W0018,Eugénie Grandet
A01614,W0018,Eugénie Grandet
A01615,W0324,Three Hundred Tang Poems
A01616,W0324,Three Hundred Tang Poems
A01617,W0324,Three Hundred Tang Poems
A01618,W0246,Red Crag
A01625,W0160,War and Peace
A01626,W0112,Les Misérables
A01627,W0673,La Dame aux Camellias
A01630,W0038,Dream of the Red Chamber
A01637,W0679,The Two Fishermen
A01638,W0680,The Last Lesson
A01641,W0681,The Iron Flood
A01642,W0682,Mother
A01643,W0153,The Rout
A01644,W0161,Anna Karenina
A01645,W0123,The State and the Revolution
A01645,W0123,Государство и революция
A01646,W0682,Mother
A01648,W0074,Anti-Dühring
A01649,W0683,Misère de la Philosophie
A01649,W0683,The Poverty of Philosophy
A01653,W0685,Analysis of the Classes in Chinese Society
A01654,W0667,The Watch
A01655,W0686,Red Banner of Northern China
A01656,W0693,World Culture
A01657,W0695,The Five Heroes in the Eastern Capital
A01658,W0696,L‘Avare
A01659,W0711,How to Study The New Social Sciences
A01660,W0123,The State and the Revolution
A01660,W0123,Государство и революция
A01661,W0697,Left-Wing Communism
A01662,W0698,Outline to Political Economy
A01664,W0698,Outline to Political Economy
A01665,W0699,Au Secours de la Patrie
A01665,W0699,Jiu Guo Shi Bao
A01667,W0697,Left-Wing Communism
A01674,W0258,Das Kapital
A01676,W0044,Quotations From Chairman Mao Tse-tung
A01677,W0713,Silent Spring
A01678,W0713,Silent Spring
A01679,W0713,Silent Spring
A01680,W0713,Silent Spring
A01681,W0713,Silent Spring
A01682,W0713,Silent Spring
A01683,W0713,Silent Spring
A01687,W0713,Silent Spring
A01690,W0714,Journal of Astrophysics
A01692,W0715,Love of Life
A01693,W0715,Love of Life
A01695,W0715,Love of Life
A01696,W0715,Love of Life
A01697,W0661,Cousin Pons
A01698,W0661,Cousin Pons
A01701,W0716,Short Song
A01709,W0661,Cousin Pons
A01720,W0044,Quotations From Chairman Mao Tse-tung
A01721,W0718,New Chinese Dictionary
A01727,W0255,Selected Works of Mao Zedong
A01731,W0718,New Chinese Dictionary
A01732,W0718,New Chinese Dictionary
A01733,W0718,New Chinese Dictionary
A01734,W0718,New Chinese Dictionary
A01739,W0718,New Chinese Dictionary
A01740,W0718,New Chinese Dictionary
A01742,W0718,New Chinese Dictionary
A01743,W0718,New Chinese Dictionary
A01749,W0719,Selected Works of Lenin
A01750,W0720,Required Reading for Cadres
A01751,W0258,Das Kapital
A01752,W0332,Selected Works of Marx and Engels
A01753,W0044,Quotations From Chairman Mao Tse-tung
A01754,W0721,Quotations from Vice-Chairman Lin Biao
A01756,W0255,Selected Works of Mao Zedong
A01757,W0255,Selected Works of Mao Zedong
A01763,W0302,Water Margin
A01764,W0302,Water Margin
A01765,W0302,Water Margin
A01771,W0044,Quotations From Chairman Mao Tse-tung
A01772,W0255,Selected Works of Mao Zedong
A01773,W0095,How the Steel was Tempered
A01778,W0725,The Newcomer
A01778,W0725,Повесть о директоре МТС и главном агрономе
A01779,W0725,The Newcomer
