artwork_id,title,subtitle,title_lang,creator,art_form,first_performance_date,first_performance_place,neibu,commentary,note,created,created_by,last_modified,last_modified_by
W0530,The Girl of the Mountains (Kenga e naftes),,en,P0081,AF03,,PL0091,yes,,,2018-02-09,OS,2020-04-02,DP
W0530,山姑娘,,zh,P0081,AF03,,PL0091,yes,,,2018-02-09,OS,2020-04-02,DP
W0531,City Lights,,en,P0158,AF02,196x,,yes,,,2018-02-09,OS,2020-04-02,DP
W0531,城市之光,,zh,P0158,AF02,196x,,yes,,,2018-02-09,OS,2020-04-02,DP
W0532,The Gold Rush,,en,P0158,AF02,196x,,yes,,,2018-02-09,OS,2020-04-02,DP
W0532,淘金记,,zh,P0158,AF02,196x,,yes,,,2018-02-09,OS,2020-04-02,DP
W0533,Monsieur Verdoux,,en,P0158,AF02,196x,,yes,,,2018-02-09,OS,2020-04-02,DP
W0533,凡尔杜先生,,zh,P0158,AF02,196x,,yes,,,2018-02-09,OS,2020-04-02,DP
W0534,Swan Lake,,en,P0326,AF05,1877,PL0027,,,,2018-03-23,MG,2020-04-02,DP
W0534,天鹅湖,,zh,P0326,AF05,1877,PL0027,,,,2018-03-23,MG,2020-04-02,DP
W0535,Butterfly Lovers‘ Violin Concerto,,en,P0327,AF05,1959,PL0003,,,,2018-03-23,MG,2020-04-02,DP
W0535,梁祝小提琴协奏曲,,zh,P0327,AF05,1959,PL0003,,,,2018-03-23,MG,2020-04-02,DP
W0536,The Legend of the Red Lantern,,en,I0010,AF04,1967?,,no,,,2018-03-27,MG,2020-04-02,DP
W0536,红灯记,,zh,I0010,AF04,1967?,,no,,,2018-03-27,MG,2020-04-02,DP
W0537,The Internationale,,en,P0333,AF05,1888,PL0237,no,,,2018-04-03,MG,2020-04-02,DP
W0537,国际歌,,zh,P0333,AF05,1888,PL0237,no,,,2018-04-03,MG,2020-04-02,DP
W0538,Inauguration of the State,,en,P0300,AF01,1953,PL0002,,,,2018-03-17,WH,2020-04-02,DP
W0538,开国大典,,zh,P0300,AF01,1953,PL0002,,,,2018-03-17,WH,2020-04-02,DP
W0539,Inauguration of the State,,en,P0030,AF01,,,,,,2018-03-17,WH,2020-04-02,DP
W0539,开国大典,,zh,P0030,AF01,,,,"He copied his father’s painting, and this painting was exhibited in the Great Hall of the People.",,2018-04-06,WH,2020-04-02,DP
W0540,My home,,en,P0305,AF05,1893,PL0050,,,,2018-04-11,WH,2020-04-02,DP
W0540,思故乡,,zh,P0305,AF05,1893,PL0050,,,,2018-04-11,WH,2020-04-02,DP
W0541,New World Symphony,,en,P0305,AF05,1893,PL0050,,,,2018-04-11,WH,2020-04-02,DP
W0541,自新世界,,zh,P0305,AF05,1893,PL0050,,,,2018-04-11,WH,2020-04-02,DP
W0542,Rome 11 o'clock,,en,P0177,AF02,1956,,no,movie first screened in 1952 (Italy),,2018-04-25,MG,2020-04-02,DP
W0542,罗马十一点钟,,zh,P0177,AF02,1956,,no,movie first screened in 1952 (Italy),,2018-04-25,MG,2020-04-02,DP
W0543,Zigeunerweisen,,en,P0422,AF05,1878,PL0306,yes,,,2018-05-31,DM,2020-04-02,DP
W0543,流浪者之歌,,zh,P0422,AF05,1878,PL0306,yes,,,2018-05-31,DM,2020-04-02,DP
W0544,Manhunt,,en,P0426,AF02,1976,PL0305,,,,2018-05-31,DM,2020-04-02,DP
W0544,Kimo yo Fundo no Kawa o Watare,,ja,P0426,AF02,1976,PL0305,,,,2018-05-31,DM,2020-04-02,DP
W0544,追捕,,zh,P0426,AF02,1976,PL0305,,,,2018-05-31,DM,2020-04-02,DP
W0545,北国江南,,zh,P0432,AF02,1963,PL0003,no,,,2018-06-01,DM,2020-04-02,DP
