iso_code,name,created,created_by,last_modified,last_modified_by
zh,Chinese,2017-07-08,OS,2017-07-08,OS
zh-Latn-pinyin,Pinyin,2017-07-08,OS,2017-07-08,OS
en,English,2017-07-08,OS,2017-07-08,OS
de,German,2017-07-08,OS,2017-07-08,OS
fr,French,2017-07-08,OS,2017-07-08,OS
ja,Japanese,2017-07-08,OS,2017-07-08,OS
ko,Korean,2017-07-08,OS,2017-07-08,OS
it,Italian,2017-07-08,OS,2017-07-08,OS
es,Spanish,2017-07-08,OS,2017-07-08,OS
pt,Portuguese,2017-07-08,OS,2017-07-08,OS
ru,Russian,2017-07-08,OS,2017-07-08,OS
nl,Dutch,2017-07-08,OS,2017-07-08,OS
ky,Kyrgyz,2017-07-09,OS,2017-07-09,OS
