institution,member,source,page,note,created,created_by,last_modified,last_modified_by
I0005,P0004,SS00129,611,,2018-01-30,OS,2018-01-30,OS
I0005,P0010,SS00129,611,,2018-01-30,OS,2018-01-30,OS
I0005,P0012,SS00129,611,,2018-01-30,OS,2018-01-30,OS
I0005,P0019,SS00129,611,,2018-01-30,OS,2018-01-30,OS
I0005,P0134,SS00129,611,,2018-01-30,OS,2018-01-30,OS
I0006,P0173,SS00006,137,,2018-02-22,MG,2018-02-22,MG
I0007,P0169,SS00207,ONLINE SOURCE,,2018-02-22,MG,2018-02-22,MG
I0008,P0322,SS00268,,,2018-03-21,MG,2018-03-21,MG
I0118,P1008,SS00263,141-144,,2019-08-03,MG,2019-08-03,MG
I0118,P1006,SS00263,149-152,,2019-08-03,MG,2019-08-03,MG
I0118,P1004,SS00263,145-148,,2019-08-03,MG,2019-08-03,MG
I0118,P1005,SS00263,7-140;153-191,,2019-08-03,MG,2019-08-03,MG
I0119,P0808,SS00255,175,,2019-12-05,MG,2019-12-05,MG
I0119,P0807,SS00255,175,,2019-12-05,MG,2019-12-05,MG
I0119,P0700,SS00255,175,,2019-12-05,MG,2019-12-05,MG
I0120,P1020,SS00267,5-9,,2019-12-05,MG,2019-12-05,MG
I0120,P1021,SS00267,5-9,,2019-12-05,MG,2019-12-05,MG
I0120,P1022,SS00267,5-9,,2019-12-05,MG,2019-12-05,MG
I0120,P1023,SS00267,5-9,,2019-12-05,MG,2019-12-05,MG
