place_id,place_name,lat,long,note,created,created_by,last_modified,last_modified_by
PL0001,China,35.86166,104.195397,,2017-07-07,OS,2017-07-07,OS
PL0002,Beijing,39.9042,116.407396,,2017-07-08,OS,2017-07-08,OS
PL0003,Shanghai,31.23039,121.473702,,2017-07-09,OS,2017-07-09,OS
PL0004,Chengdu,30.572815,104.066801,,2017-07-10,OS,2017-07-10,OS
PL0005,Xuanhua,40.608793,115.099494,,2017-07-11,OS,2017-07-11,OS
PL0006,Sichuan,30.263803,102.805475,,2017-07-12,OS,2017-07-12,OS
PL0007,Yunnan,24.475285,101.343106,,2017-07-13,OS,2017-07-13,OS
PL0008,Heilongjiang,47.121647,128.738231,,2017-07-14,OS,2017-07-14,OS
PL0009,Laixi,36.889084,120.51769,,2017-07-15,OS,2017-07-15,OS
PL0010,Ningnan,27.066308,102.759686,,2017-07-16,OS,2017-07-16,OS
PL0011,Shandong,35.893957,117.9249,,2017-07-17,OS,2017-07-17,OS
PL0012,Chongqing,29.561008,106.552635,,2017-07-18,OS,2017-07-18,OS
PL0013,Shenqiu,33.409368,115.098583,,2017-07-19,OS,2017-07-19,OS
PL0014,Xinjiang,42.524636,87.539585,,2017-07-20,OS,2017-07-20,OS
PL0015,Xianning,29.841438,114.322439,,2017-07-21,OS,2017-07-21,OS
PL0016,Germany,51.165691,10.451526,,2017-07-22,OS,2017-07-22,OS
PL0017,Hongkong,22.396428,114.109497,,2017-07-23,OS,2017-07-23,OS
PL0018,Tianjin,39.343357,117.361648,,2017-07-24,OS,2017-07-24,OS
PL0019,Harbin,45.803775,126.534967,,2017-07-08,OS,2017-07-08,OS
PL0020,Shenyang,41.805699,123.431472,,2017-07-08,OS,2017-07-08,OS
PL0021,Yan'an,36.585445,109.489757,,2017-07-08,OS,2017-07-08,OS
PL0022,Baiyangdian,38.941441,115.969465,,2017-07-08,OS,2017-07-08,OS
PL0023,Breslau,51.107885,17.038538,,2017-07-08,OS,2017-07-08,OS
PL0024,Sheker,42.544292,71.171379,,2017-07-09,OS,2017-07-09,OS
PL0025,Bolshoy Fontan,46.482526,30.72331,,2017-07-09,OS,2017-07-09,OS
PL0026,Kazan,55.830431,49.066081,,2017-07-09,OS,2017-07-09,OS
PL0027,Moscow,55.755826,37.6173,,2017-07-09,OS,2017-07-09,OS
PL0028,Birmendreïs,36.735349,3.050374,,2017-07-09,OS,2017-07-09,OS
PL0029,Vonu,40.141308,19.692947,,2017-07-09,OS,2017-07-09,OS
PL0030,Oryol,52.966847,36.06249,,2017-07-09,OS,2017-07-09,OS
PL0031,Stagira,40.591667,23.794722,,2017-07-09,OS,2017-07-09,OS
PL0032,Dobroslavivka,50.3253,34.82574,,2017-07-09,OS,2017-07-09,OS
PL0033,Craiova,44.330179,23.794881,,2017-07-10,OS,2017-07-10,OS
PL0034,Izium Raion,49.212145,37.266501,,2017-07-10,OS,2017-07-10,OS
PL0035,Eisenach,50.979571,10.314687,,2017-07-10,OS,2017-07-10,OS
PL0036,London,51.507351,-0.127758,,2017-07-10,OS,2017-07-10,OS
PL0037,Haimen,31.871173,121.181615,,2017-07-10,OS,2017-07-10,OS
PL0038,Schöneberg,52.489344,13.352548,,2017-07-10,OS,2017-07-10,OS
PL0039,Shuya,56.851134,41.357534,,2017-07-10,OS,2017-07-10,OS
PL0040,Tours,47.394144,0.68484,,2017-07-10,OS,2017-07-10,OS
PL0041,Foxrock,53.266889,-6.18401,,2017-07-10,OS,2017-07-10,OS
PL0042,Bonn,50.73743,7.098207,,2017-07-10,OS,2017-07-10,OS
PL0043,Sveaborg,60.1454,24.98814,,2017-07-10,OS,2017-07-10,OS
PL0044,La Côte-Saint-André,45.393794,5.260022,,2017-07-10,OS,2017-07-10,OS
