quotation_id,quotation,source,page,commentary,note,created,created_by,last_modified,last_modified_by
Q0001,"足蒸暑土气,背灼炎天光，力尽不知热,但惜夏日长。",PS00057,,,,2018-02-09,OS,2018-02-09,OS
Q0002,"广泛的求知欲，往往可以使人成为有系统的博物学家""",PS00207,,,,2018-02-11,OS,2018-02-11,OS
Q0003,望着她走出自己昏暗的办公室，好像望着白白浪费掉的15年生命。,PS00215,,,,2018-02-13,OS,2018-02-13,OS
Q0004,在 祖国我们仿佛感到窒息，心头沉甸甸，思绪忧戚戚,PS00250,,,,2018-02-27,OS,2018-02-27,OS
Q0005,每至晴初霜旦，林寒涧肃，常有高猿长啸，属引凄异，空谷传响，哀转久绝。,PS00252,,,,2018-02-28,OS,2018-02-28,OS
Q0006,No means to live; going back poor to his native place; Yet difficult to die; lying sick in a strange land,SS00248,284f,,,2018-03-13,MG,2018-03-13,MG
Q0007,With a red flag blowing in the wind; Our Great Teacher is leading us to win.,SS00269,85,,,2018-03-27,MG,2018-03-27,MG
Q0008,生当作人杰，死。。。,SS00030,206,,,2018-06-25,MG,2018-06-25,MG
Q0009,一要生存，二要温饱，三要发展,PS00462,ONLINE SOURCE,,,2018-06-26,MG,2018-06-26,MG
Q0010,多少事，从来急，一万年太久，只争朝夕,PS00470,,The original verse is: 多少事，从来急；天地转，光阴迫。一万年太久; 只争朝夕,,2018-07-10,MG,2018-07-10,MG
Q0011,痛苦中最高尚的 最强烈的,PS09999,,quotation by: P0638,,2019-02-01,MG,2019-02-01,MG
Q0012,Herangedämmert kam der Abend;Wilder toste die Flut;Und ich saß am Strand; und schaute zu;Dem weißen Tanz der Wellen;Und meine Brust schwoll auf wie das Meer;Und sehnend ergriff mich ein tiefes Heimweh;Nach;dir; du holdes Bild;Das überall mich umschwebt;Und überall mich ruft;Überall; überall;Im Sausen des Windes; im Brausen des Meers;Und im Seufzen der eigenen Brust.Mit leichtem Rohr schrieb ich in den Sand:‘Agnes; ich liebe Dich!‘,PS00823,,,,2019-12-12,MG,2019-12-12,MG
Q0013,If Winter comes; can Spring be far behind?,PS00832,,,,2020-01-08,MG,2020-01-08,MG
Q0014,对酒当歌 ; 人生几何？比如朝路 ; 去日苦多。。。。。。,PS09999,,a poem by P1049,,2020-01-08,MG,2020-01-08,MG
Q0015,秋风秋雨愁煞人,PS09999,,,,2020-02-01,MG,2020-02-01,MG
Q0016,The autumn wind and the autumn rain sadden my heart,PS09999,,,,2020-02-01,MG,2020-02-06,MG
Q0017,不拿枪;但是你可以用笔;用思想;甚至用我们的洗衣板子——它也是武器——和敌人战斗！,PS09999,,,,2020-02-01,MG,2020-02-06,MG
Q0018,You don’t need a gun to fight the enemy. You can fight with your pen; with your ideas – even a washboard is a weapon in your hand.,PS09999,,,,2020-02-01,MG,2020-02-06,MG
Q0019,山川满目泪沾衣 ; 富贵荣华能几时？不见只今汾水上 ; 唯有年年秋雁飞,PS00855,,last lines of the poem,,2020-02-06,MG,2020-02-06,MG
Q0020,最光荣伟大的职务就是就是在世界上做一个人。,PS09999,,quotation by: P0110,,2020-02-06,MG,2020-02-06,MG
Q0021,朱门酒肉臭 ; 路有冻死骨,PS09999,,quotation by: P0302,,2020-02-11,MG,2020-02-11,MG
Q0022,To be or not to be,AW00185,,,,2020-02-14,MG,2020-02-14,MG
Q0030,Greatness is fortitude,SS00605,34,Check Chinese original whether these are indeed quotations,,2020-06-18,MG,2020-06-18,MG
Q0031,Fortitude is integrity,SS00605,34,Check Chinese original whether these are indeed quotations,,2020-06-18,MG,2020-06-18,MG
Q0032,A great cause fosters great men,SS00605,34,Check Chinese original whether these are indeed quotations,,2020-06-18,MG,2020-06-18,MG
Q0033,Mit Worten angreifen; mit Waffen verteidigen,PS00867,,,,2020-06-30,MG,2020-06-30,MG
Q0033,文攻武卫,PS00867,,,,2020-06-30,MG,2020-06-30,MG
Q0033,wen gong wu wei,PS00867,,,,2020-06-30,MG,2020-06-30,MG
Q0033,attack by words and defend by force,PS00867,,,,2020-06-30,MG,2020-06-30,MG
