soc_rel_id,ego,related,relation,rel_zh,rel_en,source,page,note,created,created_by,last_modified,last_modified_by
SR00001,P0003,P0640,S4.1.1m,父亲,father,http://focus.news.163.com/10/0410/10/63TE57DT00011SM9_all.html,ONLINE SOURCE,,2018-01-26,OS,2018-07-24,MG
SR00002,P0221,P0229,S3.1,熟人,acquaintance,SS00170,249,,2018-02-02,OS,2018-02-02,OS
SR00003,P0221,P0230,S3.1,熟人,acquaintance,SS00170,249,,2018-02-02,OS,2018-02-02,OS
SR00004,P0037,P0035 ,S4.1.2.1f,母亲 ,mother,SS00118,ONLINE SOURCE,,2018-02-15,OS,2018-02-15,OS
SR00005,P0166,P0029,S4.1.2.1f,母亲,mother,SS00029,116,,2018-02-22,MG,2018-02-22,MG
SR00006,P0168,P0052,S3.2-,朋友,friend,SS00133,ONLINE SOURCE,,2018-02-22,MG,2018-02-22,MG
SR00007,P0175,P0133,S3.2-,朋友,friend,SS00154,532,,2018-02-22,MG,2018-02-22,MG
SR00008,P0169,P0263,S3.1,熟人,acquaintance,SS00207,ONLINE SOURCE,,2018-02-22,MG,2018-02-22,MG
SR00009,P0276,P0277,S3.2-,朋友,friend,SS00209,295,,2018-02-28,OS,2018-02-28,OS
SR00010,P0282,P0281,S4.3.2.1f ,妻子,wife,SS00248,,,2018-03-06,MG,2018-03-06,MG
SR00011,P0281,P0283,S3.2-,朋友,friend,SS00248,103,,2018-03-09,MG,2018-03-12,MG
SR00012,P0281,P0284,S3.2-,朋友,friend,SS00248,239,they shared a room in a peasant‘s household,2018-03-12,MG,2018-03-12,MG
SR00013,P0289,P0282,S4.2.1.1me,哥哥,elder brother,SS00248,205,,2018-03-12,MG,2018-03-12,MG
SR00014,P0282,P0291,S4.1.2.1f,母亲,mother,SS00248,246f,,2018-03-13,MG,2018-03-13,MG
SR00015,P0281,P0291,S4.1.1m,父亲,father,SS00248,246f,,2018-03-13,MG,2018-03-13,MG
SR00016,P0291,P0292,S4.2.1.2my ,弟弟,younger brother,SS00248,326,,2018-03-13,MG,2018-03-13,MG
SR00017,P0282,P0292,S4.1.2.1f,母亲,mother,SS00248,326,,2018-03-13,MG,2018-03-13,MG
SR00018,P0281,P0292,S4.1.1m,父亲,father,SS00248,326,,2018-03-13,MG,2018-03-13,MG
SR00019,P0281,P0293,S3.2-,朋友,friend,SS00248,239,they shared a room in a peasant‘s household,2018-03-13,MG,2018-03-13,MG
SR00020,P0322,P0320,S4.1.1m,父亲,father,SS00268,,,2018-03-21,MG,2018-03-21,MG
SR00021,P0328,P0320,S4.2.1.1me,哥哥,elder brother,SS00268,454,,2018-03-23,MG,2018-03-23,MG
SR00022,P0322,P0328,S4.1.1m,父亲,father,SS00268,454,,2018-03-23,MG,2018-03-23,MG
SR00023,P0334,P0329,S4.1.1m,父亲,father,SS00269,5,,2018-04-03,MG,2018-04-03,MG
SR00024,P0336,P0329,S3.1,熟人,acquaintance,SS00269,188,,2018-04-03,MG,2018-04-03,MG
SR00025,P0329,P0345,S4.2.1.2my ,弟弟,younger brother,SS00269,9,,2018-04-06,MG,2018-04-06,MG
SR00026,P0031,P0032,S3.2-,朋友,friend,SS00109,ONLINE SOURCE,They got to know each other in prison,2018-05-14,MG,2018-06-25,MG
SR00027,P0266,P0627,S4.3.2.1f ,妻子,wife,SS00210,,,2018-07-17,MG,2018-07-17,MG
SR00028,P0190,P0642,S4.2.1.1me,哥哥,elder brother,https://books.google.de/books?id=eSIhzKnNUf4C&pg=PA240&lpg=PA240&dq=elena+ilyina+1901-1964&source=bl&ots=C7IJD8ueqI&sig=GtUlXr5R2PLUSj1EJJEAMHEIY_A&hl=en&sa=X&ved=2ahUKEwj_yIvp1efcAhXJCuwKHS0OBh0Q6AEwCXoECAgQAQ#v=onepage&q=elena%20ilyina%201901-1964&f=false,ONLINE SOURCE,,2018-08-12,MG,2018-08-12,MG
