work_id,old_id,creator,type,type_num,language,commentary,note,created,created_by,last_modified,last_modified_by
W0001,PS00001,P0001,PS,00001,en,"In the essay Lu Xun ""critized the large-scale suppression of speech and writing during the Qing dynasty and the early Republican era for producing a ""silent China"" ... for centuries",,2017-07-03,LH,2020-04-02,DP
W0002,PS00002,I0003,PS,00002,en,,,2017-07-12,OS,2020-04-02,DP
W0003,PS00004,P0076,PS,00004,en,,,2017-07-12,OS,2020-04-02,DP
W0004,PS00010,P0078,PS,00010,en,,,2017-07-12,OS,2020-04-02,DP
W0005,PS00013,P0110,PS,00013,en,,,2017-07-19,LH,2020-04-02,DP
W0006,PS00015,P0110,PS,00015,en,,,2017-07-19,LH,2020-04-02,DP
W0007,PS00022,P0116,PS,00022,de,http://epaper.gmw.cn/blqs/html/2012-01/07/nw.D110000blqs_20120107_3-08.htm?div=-1,,2017-07-19,OS,2020-04-02,DP
W0008,PS00023,P0117,PS,00023,en,,,2017-07-20,OS,2020-04-02,DP
W0009,PS00024,P0118,PS,00024,en,,,2017-07-25,MG,2020-04-02,DP
W0010,PS00025,P0001,PS,00025,en,Letters between Two has been translated into English by Bonnie MacDougall. These are the heavily edited love letters between Lu Xun and his wife Xu Guangping,,2017-07-27,LH,2020-04-02,DP
W0011,PS00028,P0001,PS,00028,en,,,2017-07-28,LH,2020-04-02,DP
W0012,PS00040,P0093,PS,00040,fr,手抄本. First french edition of Les Fleurs du Mal 1857,,2017-08-07,MG,2020-04-02,DP
W0013,PS00041,P0093,PS,00041,fr,,,2017-08-07,MG,2020-04-02,DP
W0014,PS00042,P0093,PS,00042,fr,,,2017-08-07,MG,2020-04-02,DP
W0015,PS00050,P0082,PS,00050,zh,"1902 Andreev published a short book called ""В тумане"" (ru) ""In the Fog"" (en) nowadays 雾中 (zh) its relation to the one mentioned by Guo Shiying is unknown",,2017-08-20,MG,2020-04-02,DP
W0016,PS00051,P0085,PS,00051,en,Translated by project member,,2017-08-20,MG,2020-04-02,DP
W0017,PS00052,P0092,PS,00052,fr,This book is a novella from the philosophical part from Balzac‘s La Comédie Humaine. First french edition 1837,,2017-08-25,MG,2020-04-02,DP
W0018,PS00053,P0092,PS,00053,fr,A novel in Scènes de la vie en province in La Comédie Humaine. First french edition 1833,,2017-08-25,MG,2020-04-02,DP
W0019,PS00055,I0001,PS,00055,en,a weekly newspaper,,2017-08-26,MG,2020-04-02,DP
W0020,PS00056,P0088,PS,00056,en,,,2017-08-26,MG,2020-04-02,DP
W0021,PS00057,P0090,PS,00057,en,,,2017-08-26,MG,2020-04-02,DP
W0022,PS00059,P0141,PS,00059,en,During the early CR there circulated a translated manuscript. First Italian edition published in 1913.,,2018-04-25,MG,2020-04-02,DP
W0023,PS00060,P0094,PS,00060,fr,,,2017-08-31,MG,2020-04-02,DP
W0024,PS00062,P0009,PS,00062,en,the novel was first finished in 1974 but not published until 1979 in a revised version,,2017-09-06,MG,2020-04-02,DP
W0025,PS00063,P0009,PS,00063,en,this poem was published in the underground magazine Jintian in 1978. first finished in 1973 and revised in 1978,,2017-09-06,MG,2020-04-02,DP
