table;column;definition;;;;;;created;created_by;last_modified;last_modified_by
Person;person_id;P and a 5 digit number, with leading zeros if necessary, p.e. P00001;;;;;;2017-07-04;LH;2017-07-04;LH
Person;family_name;"Family name of a person by which he/she is commonly known; i.e. Lu for Lu Xun (instead of Zhou Shuren), Bei for Bei Dao (not Zhao Zhenkai)";;;;;;;;;
Person;first_name;First name;;;;;;;;;
Person;name_lang;Language of this name, EN, ZH_PY, ZH_HZ etc.;;;;;;;;;
Person;rustication;"records whether or when a person experienced rustication; write ""no"", if not, provide year for yes";;;;;;;;;
Person;place_of_rust;place of rustication (or major place of rustication if several);;;;;;;;;
Person;birthyear;provide birth year here;;;;;;;;;
Person;deathyear;provide death  year here;;;;;;;;;
Person;alt_name;"Alternative family name, under which a person may also be known, i.e. Zhou Shuren for Lu Xun or Zhao Zhenkai for Bei Dao; could also be a pseudonym of a person; but not more than one alternative name";;;;;;;;;
Person;alt_name_lang;Language of this name, EN, ZH_PY, ZH_HZ etc.;;;;;;;;;
Person;place_of_birth;Record city / town where a person was born;;;;;;;;;
Person;social_position;Record social position of a person: worker, party cadre, university professor, teacher, farmer…;;;;;;;;;
Person;father_id;Reference to person ID for a person's father;;;;;;;;;
Person;mother_id;Reference to person ID for a person's mother;;;;;;;;;
Person;neibu_access;Record whether a person had access to neibu material: yes/no ;;;;;;;;;
Person;source_id;"Reference to text in which a reading is recorded; for person entries for authors of autobiographical texts or of academic texts, this can be left empty";;;;;;;;;
Person;page_number;Page number in text that the colum source_id refers to;;;;;;;;;
Person;created;date of creation of line;;;;;;;;;
Person;created_by;"name of project member creating this line; use acronym";;;;;;;;;
Person;last_modified;date of last modification;;;;;;;;;
Person;last_modified_by;"name of project member last modifying this line; use acronym";;;;;;;;;
;;;;;;;;;;;
SocialPosition;soc_pos_id;SP and a 4 digit number, with leading zeros if necessary, p.e. SP0001;;;;;;;;;
SocialPosition;soc_pos_name;Name of a social position;;;;;;;;;
SocialPosition;start;Beginning (year) of a social position;;;;;;;;;
SocialPosition;end;"End (year) of a social position; if only one year / point in time then use same as start year, p.e. 1968-1968";;;;;;;;;
SocialPosition;created;date of creation of line;;;;;;;;;
SocialPosition;created_by;"name of project member creating this line; use acronym";;;;;;;;;
SocialPosition;last_modified;date of last modification;;;;;;;;;
SocialPosition;last_modified_by;"name of project member last modifying this line; use acronym";;;;;;;;;
;;;;;;;;;;;
Text;text_id;T and a 5 digit number, with leading zeros if necessary, p.e. T00001;;;;;;;;;
Text;title;"Title of a text; for the texts discussed by readers in autobiographical texts, create separate lines for a) title in Chinese characters; b) title in original language (if German, French, Italian, English) or English (esp. for texts originally in Russian)";;;;;;;;;
Text;title_lang;Language of this title EN, ZH_PY, ZH_HZ etc.;;;;;;;;;
Text;genre_id;Refer to genre IS;;;;;;;;;
Text;publication_place;place of first publication;;;;;;;;;
Text;publication_date;date of first publication in original language;;;;;;;;;
Text;publishing_house;"name of publishing house; provide pinyin for Chinese publishing houses";;;;;;;;;
Text;first_chin_edition;year of first edition in China;;;;;;;;;
