table,column,definition,created,created_by,last_modified,last_modified_by,
Person,person_id,P and a five-digit number,with leading zeros if necessary,2017-07-04,LH,2017-07-04,LH
Person,family_name,"Family name of a person by which he/she is commonly known; i.e. Lu for Lu Xun (instead of Zhou Shuren), Bei for Bei Dao (not Zhao Zhenkai)",,2017-07-04,LH,2017-07-04,LH
Person,first_name,First name,,2017-07-04,LH,2017-07-04,LH
Person,name_lang,Language code of this name,EN,2017-07-04,LH,2017-07-12,OS
Person,rustication,"records whether or when a person experienced rustication; write ""NULL"", if not, provide year for yes",,2017-07-04,LH,2017-07-18,DP
Person,place_of_rust,place of rustication (or major place of rustication if several),,2017-07-04,LH,2017-07-04,LH
Person,birthyear,provide birth year here,,2017-07-04,LH,2017-07-04,LH
Person,deathyear,provide death year here,,2017-07-04,LH,2017-07-04,LH
Person,alt_name,"Alternative family name, under which a person may also be known, i.e. Zhou Shuren for Lu Xun or Zhao Zhenkai for Bei Dao; could also be a pseudonym of a person; but not more than one alternative name",,2017-07-04,LH,2017-07-04,LH
Person,alt_name_lang,Language code of this name,EN,2017-07-04,LH,2017-07-04,LH
Person,place_of_birth,Record city / town where a person was born,,2017-07-04,LH,2017-07-04,LH
Person,social_position,Record social position of a person: worker; it is only necessary to record the SP of persons who were reading; not of those who are only authors in our data-set such as Shakespeare or Lu Xun,party cadre,2017-07-04,LH,2017-07-04,LH
Person,neibu_access,"Record whether a person had access to neibu material (access means: oneself or one‘s relatives were authorized to receive neibu materials over a period of time): yes/no; add 0 in case that this does not apply, p.e. for Shakespeare; for Lu Xun or for a Chinese person living in the 1970s outside of China",,2017-07-04,LH,2017-07-04,LH
Person,source_id,"Reference to text in which a reading is recorded; for person entries for authors of autobiographical texts or of academic texts, this can be left empty",,2017-07-04,LH,2017-07-04,LH
Person,page_number,Page number in text that the colum source_id refers to; for several pages use 7-10 ,,2017-07-04,LH,2017-07-04,LH
Person,created,date of creation of line,,2017-07-04,LH,2017-07-04,LH
Person,created_by,name of project member creating this line,use acronym,2017-07-04,LH,2017-07-04,LH
Person,last_modified,date of last modification,,2017-07-04,LH,2017-07-04,LH
Person,last_modified_by,name of project member last modifying this line,use acronym,2017-07-04,LH,2017-07-04,LH
,,,,2017-07-04,LH,2017-07-04,LH
SocialPosition,soc_pos_id,SP and a four-digit number,with leading zeros if necessary,2017-07-04,LH,2017-07-04,LH
SocialPosition,soc_pos_name,"Name of a social position; it is only necessary to record the SP of persons who were reading; not of those who are „only“ authors in our data-set, i.e. Shakespeare or Lu Xun",,2017-07-04,LH,2017-07-04,LH
SocialPosition,created,date of creation of line,,2017-07-04,LH,2017-07-04,LH
SocialPosition,created_by,name of project member creating this line,use acronym,2017-07-04,LH,2017-07-04,LH
SocialPosition,last_modified,date of last modification,,2017-07-04,LH,2017-07-04,LH
SocialPosition,last_modified_by,name of project member last modifying this line,use acronym,2017-07-04,LH,2017-07-04,LH
,,,,2017-07-04,LH,2017-07-04,LH
Text,text_id,T and a five-digit number,with leading zeros if necessary,2017-07-04,LH,2017-07-04,LH
