act_id,agent,action,act_object,act_target,start,end,narrative_time,site_information,discussion,source,page,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00001,AG0062,AT01,W0002,,1973,1973,NULL,,A student was criticized while reading this American textbook in public. The author takes this book as an example of how volatile the attitude towards studying English was even/especially (?) at the East China Normal University’s Foreign Languages Department in 1973. She also states that it was forbidden to listen to foreign broadcasting stations or to foreigners in general. So the only way listening to English was the  single official radio station broadcasting in English.,W0418,196f,NULL,,not sure whether the reading took place in SP0011 (see discussion),2017-07-12,OS,2020-12-09,MG
A00002,AG0103,AT01,W0003,,1972,1976,NULL,SP0055,mentions it among others as an important reading for him and his zhiqing fellows,W0421,581,NULL,,,2017-07-12,OS,2020-12-09,MG
A00003,AG0017,AT01,W0414,,1968,1978,NULL,SP0011,mentions it among others as an important reading for the whole development in the field of literature after 1978,W0422,219,NULL,unknown work by: AG0076 G10,,2017-07-12,OS,2020-12-09,MG
A00004,AG0105,AT01,W0004,,1972,1975,NULL,,Xu Xiao read Ticket to the Stars and was very much influenced by it,W0424,381,NULL,,,2017-07-12,OS,2020-04-04,DP
A00005,AG0014,AT02,W0004,AG0105,1972,1975,NULL,,Zhao Yifan copied Ticket to the Stars and handed it to Xu Xiao,W0424,381,NULL,,,2017-07-12,OS,2020-04-04,DP
A00006,AG0106,AT04,W0005,,1969,1969,NULL,SP0436,Shu Ting wants to go to Gorkys Universities during her rustication,W0425,300,NULL,,,2017-07-19,LH,2020-12-09,MG
A00007,AG0020,AT04,W0005,,1966,1976,NULL,,Gao Hua mentions that during the turmoil years of CR  as a son of heiwulei (five black categories) he was  living at the bottom of the society.  He received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,W0420,133,NULL,,,2017-07-19,LH,2020-04-04,DP
A00008,AG0009,AT01,W0007,,1966,19XX,NULL,,They started reading neibu books before rustication time already. Kafkas Trial was among the most influential neibu books for Bei Dao,W0423,80,NULL,,,2017-07-19,OS,2020-04-04,DP
A00009,AG0014,AT03,W0009,AG0105,1966,1970?,NULL,,Zhao Yifan gave the book as a shouchaoben to Xu Xiao,W0424,381,NULL,,,2017-07-25,MG,2020-04-04,DP
A00010,AG0113,AT04,W0010,,1971,1971,NULL,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,W0426,ONLINE SOURCE,NULL,,,2017-07-27,LH,2020-04-04,DP
A00011,AG0103,AT01,W0009,,1968,1974,NULL,SP0055,The author found the book left by two educated youth from other unit. So he hid in his dorm reading it for the reason of illness and starved all through.,W0419,574,NULL,,,2017-07-28,MG,2020-12-09,MG
A00012,AG0115,AT01,W0009,,1968,1968,NULL,SP0156,The author read this banned book and thought Marxs works explains better than this one.,W0471,422,NULL,,,2017-07-28,MG,2020-12-09,MG
A00013,AG0116,AT01,W0009,,1975,1975,NULL,,This book triggered up the authors understanding of literature. Intellectual society and the era.,W0475,554,NULL,,,2017-07-28,MG,2020-12-09,MG
A00014,AG0014,AT03,W0009,AG0105,1966,19XX,NULL,,Xu Xiao received The New Class as a shouchaoben from Zhao Yifan,W0424,381,NULL,,,2017-07-25,MG,2020-04-04,DP
A00015,AG0113,AT04,W0010,,1971,1971,NULL,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,W0426,ONLINE SOURCE,NULL,,,2017-07-27,LH,2020-04-04,DP
A00016,AG0057,AT04,W0010,,1966~,1966~,NULL,SP0005,He came up with the idea of editing quotations of Lu Xun after reading Letters between two,W0427,ONLINE SOURCE,NULL,,,2017-07-27,LH,2020-03-11,MG
A00017,AG0114,AT04,W0414,,19XX,19XX,NULL,,Lu Xun as his most important literary inspiration,W0429,79,NULL,unknown work by: AG0001,LENA; childhood reading,2017-08-01,LH,2021-03-11,MG
A00018,AG0029,AT09,W0011,,1966,1969,NULL,SP0008,During the early period of the CR Wu was transferred from one place to another for investigation. He found a shouchaoben copy signed Lu Xun there and memorized the entire collection. He was transferred to the Film Academy (still under arrest) where he put Lu Xuns collection on paper. The copy was found and confiscated by the supervisor.,W0428,121,NULL,,,2017-07-28,LH,2020-12-09,MG
A00019,AG0114,AT01,W0414,,1954,1956,NULL,,for the next two years he read many texts by Lu Xun especially his essays.,W0429,57,NULL,unknown work by: AG0001 G28,,2017-07-28,LH,2020-04-04,DP
A00020,AG0114,AT10,W0067,,1967,1967,NULL,SP0113,in 1967 he compiled 鲁迅语录 not for publications but for his friends,W0429,21,NULL,,,2017-07-28,LH,2020-12-09,MG
A00021,AG0103,AT01,W0414,,1967,1967,NULL,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,W0419,569,NULL,unknown work by: AG0001 G28,,2017-07-28,LH,2020-04-04,DP
A00022,AG0118,AT01,W0014,,1979,1979,NULL,,The author read the poem of Baudelaire (Le Balcon 露台／阳台) at this time when so many foreign poems appeared again in public.,W0476,533,NULL,,,2017-08-07,MG,2020-04-04,DP
A00023,AG0118,AT01,W0013,,1984,1984,NULL,,The author visited Chen Jingrong in a morning of the summer in 1984.  She showed him a collection of her translations from the 1960s. These Poems were once published on World Literature and   had influenced Bei Dao and other poets at that time.,W0476,539,NULL,,,2017-08-08,MG,2020-04-04,DP
A00024,AG0117,AT11,W0012,,1975,1980,NULL,,The author started to translate these works,W0430,454,NULL,,,2017-08-08,MG,2020-04-04,DP
A00025,AG0103,AT01,W0012,,1968,1974,NULL,SP0055,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,W0419,583,NULL,,,2017-08-08,MG,2020-12-09,MG
A00026,AG0017,AT04,W0012,,19XX,19XX,NULL,,big influence,W0422,220,NULL,,read during rustication?,2017-08-11,MG,2020-12-09,MG
A00027,AG0119,AT04,W0012,,1973,1973,NULL,SP0025,modernism such as Baudelaire influences the way he writes poetry,W0432,291,NULL,,,2017-08-11,MG,2020-12-09,MG
A00028,AG0010,AT01,W0004,,1970..,1970..,NULL,SP0025,This popular book at the time brought a new spirit to Beijing youth in the early 1970s.,W0432,195,NULL,,,2017-08-20,MG,2020-12-09,MG
A00029,AG0017,AT04,W0004,,1973~,1973~,NULL,SP0011,states that Aksyonov has had a huge influence on the writing of many authors of the time including him or Wang Shuo 王朔,W0422,219,NULL,,,2017-08-20,MG,2020-12-09,MG
A00030,AG0002,AT01,W0015,,1962,1963,NULL,,Its about a man left his father and devoted himself in dangerous work. The reader said it is similar to his situation.,W0432,24,NULL,,,2017-08-20,MG,2020-04-04,DP
A00031,AG0021,AT01,W0015,,19XX,19XX,NULL,,unknown,W0432,24,NULL,,,2017-08-20,MG,2020-04-04,DP
A00032,AG0022,AT01,W0015,,1962,1963,NULL,,His favorite quote from the book is Either unknown or outstanding,W0432,24,NULL,,,2017-08-20,MG,2020-04-04,DP
A00033,AG0002,AT01,W0016,,1962,1963,NULL,,unknown,W0432,18,NULL,,,2017-08-20,MG,2020-04-04,DP
A00034,AG0003,AT01,W0017,,1960,1965?,NULL,,Channel of obtaining: the collection of writer 海默,W0432,38,NULL,,,2017-08-25,MG,2020-04-04,DP
A00035,AG0116,AT01,W0018,,19XX,19XX,NULL,,Li Daxing had access to western works via his fathers friend Li Shu 黎澍,W0475,555,NULL,,,2017-08-25,MG,2020-04-04,DP
A00036,AG0103,AT01,W0414,,1967,1967,NULL,,Later the authors home was plundered as well and all of his collections were confiscated by the red guards.,W0419,569f,NULL,unknown work by: AG0084,,2017-08-25,MG,2020-04-04,DP
A00037,AG0020,AT01,W0019,,1966,1970?,NULL,SP0003,Gao Hua mentioned that the newspaper occasionally published the reports on Vietnam relationships with the Soviet Union Eastern Europe and Cuba. Gao Hua used to go to this bookstore (Nanjing Foreign Languages Bookstore) every week.,W0420,135,NULL,,,2017-08-26,MG,2020-12-09,MG
A00038,AG0121,AT21,W0021,,1970,1970,NULL,SP0075,when XXX one is reminded of the quote by Bai Juyi,W0437,495,NULL,,,2017-08-27,MG,2020-12-09,MG
A00039,AG0626,AT20,W0530,,1972,1972,NULL,SP0137,Xu Haoyuan mentions that this play was staged by fellow zhiqing,W0477,57,NULL,,,2017-08-27,MG,2020-12-09,MG
A00040,AG0122,AT04,W0554,,19XX,19XX,NULL,,The author and his friends knew about this painter from the Russian magazine 星火杂志.  They cherished this Romanian most.,W0478,353,NULL,unknown work by: AG0085 AF01,,2017-08-31,MG,2020-04-04,DP
A00041,AG0123,AT01,W0554,,1970,1976,NULL,,During that time the music became popular again. Some pieces had survived through the early stage of the CR and they spread secretly among the people.,W0438,196,NULL,unknown work by: AG0087 AF05,,2017-08-31,MG,2020-04-04,DP
A00042,AG0003,AT01,W0414,AG0628,1963,1964,NULL,,In the home of Jiang Dingyue 蔣定粵s anonymous friend,W0432,43,NULL,,,2017-08-31,MG,2021-01-12,MG
A00043,AG0029,AT01,W0414,AG0628,19XX,19XX,NULL,,Wu Hong mentions that the same crowd that listened to the Beatles and read yellow-covered books during the socialist education movement and before the eve of the CR was also infatuated with post-impressionist modern art (印象派之后的现代艺). Obtained from private channels.,W0428,119,NULL,,,2017-08-31,MG,2020-04-04,DP
A00044,AG0125,AT23,W0552,,1978,1978,NULL,,was very impressed,W0479,74,NULL,,,2017-08-31,MG,2020-04-04,DP
A00045,AG0040,AT11,W0022,,1969,1969,NULL,,He worked on the translation of the book and before 1969 9th National Congress his home got raided again. The hundreds pages of translation became cigarette paper and were burned.,W0433,ONLINE SOURCE,NULL,,,2017-09-06,CW,2021-01-12,MG
A00046,AG0009,AT13,W0024,,1976,1976,NULL,,"After his younger sister had passed away, Bei Dao finished his novel Waves. He was so devastated, that he locked himself in and focused on reading and writing. ",W0480,311,NULL,,,2017-09-06,MG,2020-04-04,DP
A00047,AG0118,AT02,W0025,,1979,1979,NULL,,Among other works they have copied The Answer by Bei Dao,W0476,537,NULL,,read during rustication?,2017-09-06,MG,2020-12-09,MG
A00048,AG0018,AT01,W0026,,1975..1983,1975..1983,NULL,,Yan Li and a friend (Mao Tou) were discussing some poems by Bei Dao,W0480,312,NULL,Published in 1982 time of writing unkown.,Reframe with suitable ActType.,2017-09-06,MG,2020-04-04,DP
A00049,AG0118,AT02,W0029,,1979,1979,NULL,,unknown,W0476,537,NULL,,,2017-09-08,MG,2020-04-04,DP
A00050,AG0118,AT02,W0030,,1979,1979,NULL,,unknown,W0476,537,NULL,,,2017-09-08,MG,2020-04-04,DP
A00051,AG0118,AT02,W0031,,1979,1979,NULL,,unknown,W0476,537,NULL,,,2017-09-13,MG,2020-04-04,DP
A00052,AG0119,AT02,W0028,,1973,1973,NULL,SP0025,copied from Jiang He 江河,W0432,291,NULL,,,2017-09-13,MG,2020-12-09,MG
A00053,AG0119,AT02,W0027,,1973,1973,NULL,SP0025,copied from Jiang He 江河,W0432,291,NULL,,,2017-09-13,MG,2020-12-09,MG
A00054,AG0014,AT02,W0032,,1974~,1974~,NULL,,Xu Xiao copied and hid it,W0424,159-160,NULL,,,2017-09-15,MG,2020-04-04,DP
A00055,AG0118,AT13,W0033,,1979,1979,NULL,,This is the first poem of the author,W0476,534,NULL,,,2017-09-20,MG,2020-04-04,DP
A00056,AG0118,AT13,W0034,,1979,1979,NULL,,The author was deeply influenced by Sylvia Plath in the beginning of his work as a poet,W0476,536,NULL,,,2017-09-20,MG,2020-04-04,DP
A00057,AG0128,AT11,W0035,,1966,1976,NULL,,According to Wang Shiqiangs research this piece was one of the most influential yellow-covered books for the generation of pre-misty poets,W0423,78,NULL,,,2017-09-20,MG,2020-04-04,DP
A00059,AG0103,AT05,W0037,,1960,1980,NULL,,Han ranks the work among the most influential books during the long 1970s,W0419,580,NULL,,,2017-09-22,MG,2020-04-04,DP
A00060,AG0133,AT01,W0038,,1966,1976,NULL,,he wrote research of the Dream of the Red Chamber and was put on the hat of 牛鬼蛇神. In 1954 a campaign was launched to criticize his bourgeoise interpretation of the book.,W0481,372,NULL,,,2017-09-22,MG,2020-04-04,DP
A00061,AG0029,AT01,W0038,,19XX,19XX,NULL,,He read it before his university studies and mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428,116-119,NULL,,,2017-09-22,MG,2020-04-04,DP
A00062,AG0134,AT01,W0038,,19XX,19XX,NULL,,He wanted the book so badly and it was really hard to have one. But he finally got one from the brother of one of his classmates and read it secretly.,W0482,390,NULL,,,2017-09-22,MG,2020-04-04,DP
A00063,AG0003,AT01,W0038,,1964,196X,NULL,,unknown,W0439,46,NULL,,,2017-09-22,MG,2020-04-04,DP
A00064,AG0057,AT01,W0039,,1966,1967~,NULL,SP0005,after reading Li Dazhao and other foreign and Chinese classics he still found Lu Xun the best,W0427,ONLINE SOURCE,NULL,,,2017-09-24,CW,2020-12-09,MG
A00065,AG0003,AT15,W0531,,1961,196X,NULL,,unknown,W0432,32,NULL,,,2017-09-27,MG,2020-04-04,DP
A00066,AG0067,AT15,W0531,,1961,196X,NULL,,unknown,W0432,32,NULL,,,2017-09-27,MG,2020-04-04,DP
A00067,AG0003,AT15,W0532,,1961,196X,NULL,,unknown,W0432,38,NULL,,,2017-09-27,MG,2020-04-04,DP
A00068,AG0067,AT15,W0532,,1961,196X,NULL,,unknown,W0432,38,NULL,,,2017-09-27,MG,2020-04-04,DP
A00069,AG0003,AT15,W0533,,1961,196X,NULL,,unknown,W0432,38,NULL,,,2017-09-27,MG,2020-04-04,DP
A00070,AG0067,AT15,W0533,,1961,196X,NULL,,unknown,W0432,38,NULL,,,2017-09-27,MG,2020-04-04,DP
A00071,AG0117,AT11,W0040,,1975,1979,NULL,,The author published some translated chapters of Charlie Chaplins autobiography on the magazine Foreign Films which was founded by Huang Tianmin,W0430,455,NULL,,maybe we should reconsider the act type for this entry,2017-09-27,MG,2020-04-04,DP
A00072,AG0106,AT01,W0041,,1970,1975,NULL,,story-telling context: in her spare time Shu Ting tells this in her own words,W0425,304,NULL,,read during rustication?,2017-09-27,MG,2020-12-09,MG
A00073,AG0117,AT13,W0042,AG0144,1978,1978,NULL,,Chen wrote this Poem for Mr. Yan Wenliang. The author first touched upon impressionism fine arts in Yan’s home at which he was totally impressed.,W0430,452,NULL,,,2017-09-29,MG,2020-04-04,DP
