!,,,,,,,,+++,---,,,,---,---,,,+++,,,,
@@,act_id,agent,action,act_object,act_target,start,end,site_information,narrative_time,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
->,A00001,P0063->AG0062,AT01,PS00002->W0002,,1973,1973,,,A student was criticized while reading this American textbook in public. The author takes this book as an example of how volatile the attitude towards studying English was even/especially (?) at the East China Normal University’s Foreign Languages Department in 1973. She also states that it was forbidden to listen to foreign broadcasting stations or to foreigners in general. So the only way listening to English was the  single official radio station broadcasting in English.,SS00003->W0418,196f,,,,->not sure whether the reading took place in SP0011 (see discussion),en,2017-07-12,OS,2017-10-02->2020-12-09,OS->MG
->,A00002,P0106->AG0103,AT01,PS00004->W0003,,1972,1976,SP0055,,mentions it among others as an important reading for him and his zhiqing fellows,SS00007->W0421,581,,,,,en,2017-07-12,OS,2017-07-12->2020-12-09,OS->MG
->,A00003,P0017->AG0017,AT01,PS09999->W0414,,1968,1978,SP0011,,mentions it among others as an important reading for the whole development in the field of literature after 1978,SS00009->W0422,219,,,unknown work by: P0077 G10->unknown work by: AG0076 G10,,en,2017-07-12,OS,2018-04-10->2020-12-09,MG
->,A00004,P0108->AG0105,AT01,PS00010->W0004,,1972,1975,,,Xu Xiao read Ticket to the Stars and was very much influenced by it,SS00012->W0424,381,,,,,en,2017-07-12,OS,2017-07-12->2020-04-04,OS->DP
->,A00005,P0014->AG0014,AT02,PS00010->W0004,P0108->AG0105,1972,1975,,,Zhao Yifan copied Ticket to the Stars and handed it to Xu Xiao,SS00012->W0424,381,,,,,en,2017-07-12,OS,2018-01-25->2020-04-04,MG->DP
->,A00006,P0109->AG0106,AT04,PS00013->W0005,,1969,1969,SP0436,,Shu Ting wants to go to Gorkys Universities during her rustication,SS00014->W0425,300,,,,,en,2017-07-19,LH,2017-10-02->2020-12-09,DP->MG
->,A00007,P0020->AG0020,AT04,PS00013->W0005,,1966,1976,,,Gao Hua mentions that during the turmoil years of CR  as a son of heiwulei (five black categories) he was  living at the bottom of the society.  He received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,SS00006->W0420,133,,,,,en,2017-07-19,LH,2017-10-02->2020-04-04,DP
->,A00008,P0009->AG0009,AT01,PS00022->W0007,,1966,19XX,,,They started reading neibu books before rustication time already. Kafkas Trial was among the most influential neibu books for Bei Dao,SS00011->W0423,80,,,,,en,2017-07-19,OS,2018-01-22->2020-04-04,MG->DP
->,A00009,P0014->AG0014,AT03,PS00024->W0009,P0108->AG0105,1966,1970?,,,Zhao Yifan gave the book as a shouchaoben to Xu Xiao,SS00012->W0424,381,,,,,en,2017-07-25,MG,2018-01-23->2020-04-04,MG->DP
->,A00010,P0119->AG0113,AT04,PS00025->W0010,,1971,1971,,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,SS00026->W0426,ONLINE SOURCE,,,,,en,2017-07-27,LH,2017-10-02->2020-04-04,DP
->,A00011,P0106->AG0103,AT01,PS00024->W0009,,1968,1974,SP0055,,The author found the book left by two educated youth from other unit. So he hid in his dorm reading it for the reason of illness and starved all through.,SS00005->W0419,574,,,,,en,2017-07-28,MG,2017-10-02->2020-12-09,DP->MG
->,A00012,P0130->AG0115,AT01,PS00024->W0009,,1968,1968,SP0156,,The author read this banned book and thought Marxs works explains better than this one.,SS00149->W0471,422,,,,,en,2017-07-28,MG,2018-01-08->2020-12-09,MG
->,A00013,P0131->AG0116,AT01,PS00024->W0009,,1975,1975,,,This book triggered up the authors understanding of literature. Intellectual  society and the era.->This book triggered up the authors understanding of literature. Intellectual society and the era.,SS00153->W0475,554,,,,,en,2017-07-28,MG,2018-01-12->2020-12-09,MG
->,A00014,P0014->AG0014,AT03,PS00024->W0009,P0108->AG0105,1966,19XX,,,Xu Xiao received The New Class as a shouchaoben from Zhao Yifan,SS00012->W0424,381,,,,,en,2017-07-25,MG,2018-01-22->2020-04-04,MG->DP
->,A00015,P0119->AG0113,AT04,PS00025->W0010,,1971,1971,,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,SS00026->W0426,ONLINE SOURCE,,,,,en,2017-07-27,LH,2018-01-22->2020-04-04,MG->DP
->,A00016,P0058->AG0057,AT04,PS00025->W0010,,19XX->1966~,19XX->1966~,SP0005,,He came up with the idea of editing quotations of Lu Xun after reading Letters between two,SS00027->W0427,ONLINE SOURCE,,,,,en,2017-07-27,LH,2018-01-22->2020-03-11,MG
->,A00017,P0120->AG0114,AT04,PS09999->W0414,,19XX,19XX,,,Lu Xun as his most important literary inspiration,SS00030->W0429,79,,,unknown work by: P0001->unknown work by: AG0001,LENA->LENA; childhood reading,en,2017-08-01,LH,2018-09-23->2021-03-11,MG
->,A00018,P0029->AG0029,AT09,PS00028->W0011,,1966,1969,SP0008,,During the early period of the CR Wu was transferred from one place to another for investigation. He found a shouchaoben copy signed Lu Xun there and memorized the entire collection. He was transferred to the Film Academy (still under arrest) where he put Lu Xuns collection on paper. The copy was found and confiscated by the supervisor.,SS00029->W0428,121,,,,,en,2017-07-28,LH,2018-01-25->2020-12-09,MG
->,A00019,P0120->AG0114,AT01,PS09999->W0414,,1954,1956,,,for the next two years he read many texts by Lu Xun especially his essays.,SS00030->W0429,57,,,unknown work by: P0001 G28->unknown work by: AG0001 G28,,en,2017-07-28,LH,2018-04-10->2020-04-04,MG->DP
->,A00020,P0120->AG0114,AT10,PS00164->W0067,,1967,1967,SP0113,,in 1967 he compiled 鲁迅语录 not for publications but for his friends,SS00030->W0429,21,,,,,en,2017-07-28,LH,2018-01-29->2020-12-09,MG
