!,,,,,,,,+++,+++,---,---,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,site_information,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
->,A00001,AG0062->P0063,AT01,W0002->PS00002,,1973,1973,,A student was criticized while reading this American textbook in public. The author takes this book as an example of how volatile the attitude towards studying English was even/especially (?) at the East China Normal University’s Foreign Languages Department in 1973. She also states that it was forbidden to listen to foreign broadcasting stations or to foreigners in general. So the only way listening to English was the  single official radio station broadcasting in English.,,A student was criticized while reading this American textbook in public. The author takes this book as an example of how volatile the attitude towards studying English was even/especially (?) at the East China Normal University’s Foreign Languages Department in 1973. She also states that it was forbidden to listen to foreign broadcasting stations or to foreigners in general. So the only way listening to English was the  single official radio station broadcasting in English.,W0418->SS00003,196f,,,,not sure whether the reading took place in SP0011 (see discussion)->,en,2017-07-12,OS,2020-12-09->2017-10-02,MG->OS
->,A00002,AG0103->P0106,AT01,W0003->PS00004,,1972,1976,,mentions it among others as an important reading for him and his zhiqing fellows,SP0055,mentions it among others as an important reading for him and his zhiqing fellows,W0421->SS00007,581,,,,,en,2017-07-12,OS,2020-12-09->2017-07-12,MG->OS
->,A00003,AG0017->P0017,AT01,W0414->PS09999,,1968,1978,,mentions it among others as an important reading for the whole development in the field of literature after 1978,SP0011,mentions it among others as an important reading for the whole development in the field of literature after 1978,W0422->SS00009,219,,,unknown work by: AG0076 G10->unknown work by: P0077 G10,,en,2017-07-12,OS,2020-12-09->2018-04-10,MG
->,A00004,AG0105->P0108,AT01,W0004->PS00010,,1972,1975,,Xu Xiao read Ticket to the Stars and was very much influenced by it,,Xu Xiao read Ticket to the Stars and was very much influenced by it,W0424->SS00012,381,,,,,en,2017-07-12,OS,2020-04-04->2017-07-12,DP->OS
->,A00005,AG0014->P0014,AT02,W0004->PS00010,AG0105->P0108,1972,1975,,Zhao Yifan copied Ticket to the Stars and handed it to Xu Xiao,,Zhao Yifan copied Ticket to the Stars and handed it to Xu Xiao,W0424->SS00012,381,,,,,en,2017-07-12,OS,2020-04-04->2018-01-25,DP->MG
->,A00006,AG0106->P0109,AT04,W0005->PS00013,,1969,1969,,Shu Ting wants to go to Gorkys Universities during her rustication,SP0436,Shu Ting wants to go to Gorkys Universities during her rustication,W0425->SS00014,300,,,,,en,2017-07-19,LH,2020-12-09->2017-10-02,MG->DP
->,A00007,AG0020->P0020,AT04,W0005->PS00013,,1966,1976,,Gao Hua mentions that during the turmoil years of CR  as a son of heiwulei (five black categories) he was  living at the bottom of the society.  He received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,,Gao Hua mentions that during the turmoil years of CR  as a son of heiwulei (five black categories) he was  living at the bottom of the society.  He received supercilious looks and was discriminated against. During these hard times My Apprenticeship and My Universities by Gorky became his spiritual guides.,W0420->SS00006,133,,,,,en,2017-07-19,LH,2020-04-04->2017-10-02,DP
->,A00008,AG0009->P0009,AT01,W0007->PS00022,,1966,19XX,,They started reading neibu books before rustication time already. Kafkas Trial was among the most influential neibu books for Bei Dao,,They started reading neibu books before rustication time already. Kafkas Trial was among the most influential neibu books for Bei Dao,W0423->SS00011,80,,,,,en,2017-07-19,OS,2020-04-04->2018-01-22,DP->MG
->,A00009,AG0014->P0014,AT03,W0009->PS00024,AG0105->P0108,1966,1970?,,Zhao Yifan gave the book as a shouchaoben to Xu Xiao,,Zhao Yifan gave the book as a shouchaoben to Xu Xiao,W0424->SS00012,381,,,,,en,2017-07-25,MG,2020-04-04->2018-01-23,DP->MG
->,A00010,AG0113->P0119,AT04,W0010->PS00025,,1971,1971,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,W0426->SS00026,ONLINE SOURCE,,,,,en,2017-07-27,LH,2020-04-04->2017-10-02,DP
->,A00011,AG0103->P0106,AT01,W0009->PS00024,,1968,1974,,The author found the book left by two educated youth from other unit. So he hid in his dorm reading it for the reason of illness and starved all through.,SP0055,The author found the book left by two educated youth from other unit. So he hid in his dorm reading it for the reason of illness and starved all through.,W0419->SS00005,574,,,,,en,2017-07-28,MG,2020-12-09->2017-10-02,MG->DP
->,A00012,AG0115->P0130,AT01,W0009->PS00024,,1968,1968,,The author read this banned book and thought Marxs works explains better than this one.,SP0156,The author read this banned book and thought Marxs works explains better than this one.,W0471->SS00149,422,,,,,en,2017-07-28,MG,2020-12-09->2018-01-08,MG
->,A00013,AG0116->P0131,AT01,W0009->PS00024,,1975,1975,,This book triggered up the authors understanding of literature. Intellectual  society and the era.,,This book triggered up the authors understanding of literature. Intellectual society and the era.,W0475->SS00153,554,,,,,en,2017-07-28,MG,2020-12-09->2018-01-12,MG
->,A00014,AG0014->P0014,AT03,W0009->PS00024,AG0105->P0108,1966,19XX,,Xu Xiao received The New Class as a shouchaoben from Zhao Yifan,,Xu Xiao received The New Class as a shouchaoben from Zhao Yifan,W0424->SS00012,381,,,,,en,2017-07-25,MG,2020-04-04->2018-01-22,DP->MG
->,A00015,AG0113->P0119,AT04,W0010->PS00025,,1971,1971,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,,He cited a story that Lu Xun once wrote to Xu Guangping about a tiger. To be or not to be and  not to surrender to the evilness and enemy became his motto.,W0426->SS00026,ONLINE SOURCE,,,,,en,2017-07-27,LH,2020-04-04->2018-01-22,DP->MG
