!,,,,,,,,+++,,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,A01346,AG0003,AT01,W0404,,1970?,1970?,,The author replied that he read these works in the Selected Works of Mao Zedong during the interrogation.,W0486,139,2,,,,en,2019-06-23,WH,2020-04-04,DP
+++,A01400,P1005,AT05,PS00268,,1972,1972,,,SS00263,55,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01401,P1005,AT05,PS00077,,1972,1972,,,SS00263,55,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01402,P1005,AT05,PS00800,,1972,1972,,,SS00263,55,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01403,P1005,AT05,PS00512,,1972,1972,,,SS00263,55,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01404,P1005,AT05,PS00801,,1972,1972,,,SS00263,55,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01405,P1010,AT01,PS00802,P1004,19xx..1966,19xx..1966,1,his aunt read this book to him,SS00263,56,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01406,P0999,AT46,PS00802,,19xx,19xx,,the book was confiscated and burned by Red Guards,SS00263,56,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01407,P1010,AT12,PS00802,,19xx,19xx,,the book was confiscated and burned by Red Guards,SS00263,56,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01408,P1011,AT10,PS09999,,1973~,1973~,,she composes poems in her head,SS00263,92f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01409,P1005,AT02,PS00803,,1972..1973,1972..1973,,he copies parts of the book on his leather vest. He decides to copy the passage of Ursule‘s sleepwalking journey.,SS00263,63f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01410,P1004,AT01,PS00803,P1006,1972..1973,1972..1973,,Luo reads the copied passage to the little seamstress,SS00263,66f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01411,P1006,AT01,PS00803,,1972..1973,1972..1973,,She believes that the words of Balzac give her luck and intelligence,SS00263,66f,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01412,P1007,AT27,PS00803,P1005,1972..1973,1972..1973,,Le Binoclard borrows them the book,SS00263,61,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01413,P1005,AT01,PS00803,,1972..1973,1972..1973,,,SS00263,62,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01414,P1004,AT01,PS00803,,1972..1973,1972..1973,,he reads the entire book in one night,SS00263,62,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01415,P1005,AT28,AW00182,,1972~,1972~,,they were sent to watch movies in a village nearby and had to retell them to the peasants of their own village,SS00263,41,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
+++,A01416,P1004,AT28,AW00182,,1972~,1972~,,they were sent to watch movies in a village nearby and had to retell them to the peasants of their own village,SS00263,41,3,F,,,NULL,2019-08-03,MG,2019-10-14,MG
