@@,artwork_id,title,subtitle,title_lang,art_form,first_performance_date,first_performance_place,neibu,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0545,Beiguo jiangnan,,zh-Latn-pinyin,AF02,1963,SP0006,no,,2018-06-01,DM,2020-04-08,DP
:,W0639,Vltava,,cs,AF05,1882,SP0068,,,2019-08-21,MG,2020-04-08,DP
:,W0639,The Moldau,,en,AF05,1882,SP0068,,,2019-08-21,MG,2020-04-08,DP
:,W0639,伏尔塔瓦河,,zh,AF05,1882,SP0068,,,2019-08-21,MG,2020-04-08,DP
,W0546,Lenin in October,,en,AF02,,SP0436,no,,2018-05-30,MG,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0638,外国名歌二百首,,zh,AF05,unknown,SP0436,,,2019-02-25,WH,2020-04-08,DP
+++,AW00182,La Fille aux Fleurs,,fr,AF02,1972,PL0999,,,2019-08-03,MG,2019-10-14,MG
+++,AW00182,꽃파는처녀,,ko,AF02,1972,PL0999,,,2019-08-03,MG,2019-10-14,MG
+++,AW00182,卖花姑娘,,zh,AF02,1972,PL0999,,,2019-08-03,MG,2019-10-14,MG
+++,AW00183,The Last Supper,,en,AF01,1490~,PL0403,,,2020-02-01,MG,2020-02-01,MG
+++,AW00183,L‘Ultima Cena,,it,AF01,1490~,PL0403,,,2020-02-01,MG,2020-02-01,MG
+++,AW00183,最后的晚餐,,zh,AF01,1490~,PL0403,,,2020-02-01,MG,2020-02-01,MG
+++,AW00184,Lady Windermere’s Fan,,en,AF03,1892,PL0036,,,2020-02-11,MG,2020-02-11,MG
+++,AW00184,少奶奶的扇子,,zh,AF03,1892,PL0036,,,2020-02-11,MG,2020-02-11,MG
+++,AW00185,Hamlet,,en,AF03,1609,PL0036,,,2020-02-14,MG,2020-02-14,MG
+++,AW00185,哈姆莱特,,zh,AF03,1609,PL0036,,,2020-02-14,MG,2020-02-14,MG
:,W0555,Auld Lang Syne,,en,AF05,unknown,SP0436,,,2018-11-06,MG,2020-04-08,DP
:,W0555,友谊地久天长,,zh,AF05,unknown,SP0436,,,2018-11-06,MG,2020-04-08,DP
:,W0556,Les Chaises,,fr,AF03,1952,SP0050,yes,,2018-11-07,MG,2020-04-08,DP
:,W0556,椅子,,zh,AF03,1952,SP0050,yes,,2018-11-07,MG,2020-04-08,DP
