!,,,,,,:,,,,,,
@@,work_id,old_id,type,type_num,language,creator,commentary,note,created,created_by,last_modified,last_modified_by
,W0530,AW00058,AW,58,en,AG0080,,,2018-02-09,OS,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...
,W0619,AW00170,AW,170,de,AG0561,,,2018-11-25,WH,2020-04-05,DP
+++,NULL,AW00171,NULL,NULL,en,P0767,Translated by project member.,,2018-12-23,WH,2018-12-23,WH
+++,NULL,AW00171,NULL,NULL,zh,P0767,,,2018-12-23,WH,2018-12-23,WH
+++,NULL,AW00172,NULL,NULL,en,P0768,,,2018-12-23,WH,2018-12-23,WH
+++,NULL,AW00172,NULL,NULL,zh,P0768,,,2018-12-23,WH,2018-12-23,WH
+++,NULL,AW00173,NULL,NULL,en,P0771,Translated by project member.,,2018-12-24,WH,2018-12-24,WH
+++,NULL,AW00173,NULL,NULL,zh,P0771,,,2018-12-24,WH,2018-12-24,WH
+++,NULL,AW00174,NULL,NULL,en,P0776,,,2019-01-28,WH,2019-01-28,WH
+++,NULL,AW00174,NULL,NULL,zh,P0776,,,2019-01-28,WH,2019-01-28,WH
+++,NULL,AW00175,NULL,NULL,en,P0779,Translated by project member.,,2019-02-17,WH,2019-02-17,WH
+++,NULL,AW00175,NULL,NULL,zh,P0779,,,2019-02-17,WH,2019-02-17,WH
+++,NULL,AW00176,NULL,NULL,en,P0061,Translated by project member.,,2019-02-17,WH,2019-02-17,WH
+++,NULL,AW00176,NULL,NULL,zh,P0061,,,2019-02-17,WH,2019-02-17,WH
+++,NULL,AW00177,NULL,NULL,en,P0789,Translated by project member.,,2019-02-23,WH,2019-02-23,WH
+++,NULL,AW00177,NULL,NULL,zh,P0789,,,2019-02-23,WH,2019-02-23,WH
+++,NULL,AW00178,NULL,NULL,en,P0789,Translated by project member.,,2019-02-23,WH,2019-02-23,WH
+++,NULL,AW00178,NULL,NULL,zh,P0789,,,2019-02-23,WH,2019-02-23,WH
+++,NULL,AW00179,NULL,NULL,en,P0790,,,2019-02-23,WH,2019-02-23,WH
+++,NULL,AW00179,NULL,NULL,zh,P0790,,,2019-02-23,WH,2019-02-23,WH
+++,NULL,AW00180,NULL,NULL,en,P0793,,,2019-02-24,WH,2019-02-24,WH
+++,NULL,AW00180,NULL,NULL,zh,P0793,,,2019-02-24,WH,2019-02-24,WH
+++,NULL,AW00181,NULL,NULL,en,P0999,Translated by project member.,,2019-02-25,WH,2019-02-25,WH
+++,NULL,AW00181,NULL,NULL,zh,P0999,,,2019-02-25,WH,2019-02-25,WH
+++,NULL,AW00182,NULL,NULL,fr,P1017,,,2019-08-03,MG,2019-10-14,MG
+++,NULL,AW00182,NULL,NULL,ko,P1017,,,2019-08-03,MG,2019-10-14,MG
+++,NULL,AW00182,NULL,NULL,zh,P1017,,,2019-08-03,MG,2019-10-14,MG
+++,NULL,AW00183,NULL,NULL,en,P0660,,,2020-02-01,MG,2020-02-01,MG
+++,NULL,AW00183,NULL,NULL,it,P0660,,,2020-02-01,MG,2020-02-01,MG
+++,NULL,AW00183,NULL,NULL,zh,P0660,,,2020-02-01,MG,2020-02-01,MG
+++,NULL,AW00184,NULL,NULL,en,P1048,,,2020-02-11,MG,2020-02-11,MG
+++,NULL,AW00184,NULL,NULL,zh,P1048,,,2020-02-11,MG,2020-02-11,MG
+++,NULL,AW00185,NULL,NULL,en,P0339,,,2020-02-14,MG,2020-02-14,MG
