!,...,,,...,...,,,,,,,
@@,space_id,old_id,space_name,space_type,name_lang,lat,long,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...
,SP0434,PL0562,Lixian,PL,en,29.631807,111.760762,"This place is in Hunan, and is written in 澧县.",2019-05-02,WH,2020-04-05,DP
+++,NULL,PL0600,Alcalá de Henares,NULL,NULL,40.481979,-3.363542,,2019-09-12,MG,2019-09-12,MG
+++,NULL,PL0601,Mumbai,NULL,NULL,19.075983,72.877655,,2019-09-13,MG,2019-09-13,MG
,SP0435,PL0600,Pilsen,PL,en,49.746841,13.376990,,2019-03-08,LH,2020-04-05,DP
+++,NULL,PL0603,Hwadae County,NULL,NULL,40.848019,129.648393,,2019-10-14,MG,2019-10-14,MG
+++,NULL,PL0604,Tongxiang,NULL,NULL,30.762080,120.750710,,2019-11-08,MG,2019-11-08,MG
+++,NULL,PL0605,Lgov,NULL,NULL,51.692020,35.284620,,2019-11-08,MG,2019-11-08,MG
+++,NULL,PL0606,Tangyin,NULL,NULL,35.914520,114.351500,,2019-12-12,MG,2019-12-12,MG
+++,NULL,PL0607,Kaifeng,NULL,NULL,34.786072,114.348152,,2019-12-12,MG,2019-12-12,MG
+++,NULL,PL0608,Toronto,NULL,NULL,43.653225,-79.383186,,2019-12-12,MG,2019-12-12,MG
+++,NULL,PL0609,Nîmes,NULL,NULL,43.834591,4.360860,,2019-12-12,MG,2019-12-12,MG
+++,NULL,PL0610,Rostov Oblast,NULL,NULL,47.221809,39.720261,,2019-12-17,MG,2019-12-17,MG
+++,NULL,PL0611,Dublin,NULL,NULL,53.349804,-6.260310,,2020-01-06,MG,2020-01-06,MG
+++,NULL,PL0612,Compton,NULL,NULL,50.472610,-3.598290,,2020-01-15,MG,2020-01-15,MG
,SP0440,,Xiamen,PL,en,24.479834,118.089424,,2020-12-11,MG,2020-12-11,MG
+++,NULL,PL0614,Zhao County,NULL,NULL,37.749130,114.768940,,2020-02-06,MG,2020-02-06,MG
+++,NULL,PL0615,Yangquan,NULL,NULL,37.869968,113.570007,,2020-02-14,MG,2020-02-14,MG
+++,NULL,PL0616,Springdale,NULL,NULL,40.541470,-79.777810,,2020-02-14,MG,2020-02-14,MG
+++,NULL,PL0617,Suqian,NULL,NULL,30.187500,119.391670,,2020-05-25,MG,2020-05-25,MG
+++,NULL,PL0618,Fengxian,NULL,NULL,34.697830,116.593643,,2020-05-25,MG,2020-05-25,MG
+++,NULL,PL0619,Haian,NULL,NULL,32.548060,120.448600,,2020-05-28,MG,2020-05-28,MG
+++,NULL,PL0630,Huanggang,NULL,NULL,24.934650,121.080240,,2020-06-18,MG,2020-06-18,MG
+++,NULL,PL0635,Wiesbaden,NULL,NULL,50.078217,8.239761,,2020-06-29,MG,2020-06-29,MG
+++,NULL,PL0636,Zhucheng,NULL,NULL,35.989960,119.380090,,2020-06-30,MG,2020-06-30,MG
+++,NULL,PL0637,Celle,NULL,NULL,52.621922,10.078580,,2020-08-07,MG,2020-08-07,MG
+++,NULL,PL0638,Usmanka,NULL,NULL,52.823940,51.698520,,2021-01-16,MG,2021-01-16,MG
+++,NULL,PL0639,Munich,NULL,NULL,48.135124,11.581981,,2021-02-24,MG,2021-02-24,MG
+++,NULL,PL0640,Honolulu,NULL,NULL,21.306944,-157.858337,,2021-03-03,MG,2021-03-03,MG
+++,NULL,PL0641,Wenzhou,NULL,NULL,28.002701,120.647919,,2021-03-08,MG,2021-03-08,MG
