agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
AG0001,P0001,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0002,P0002,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0003,P0003,NULL,en,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军、弟弟张大伟、张寥寥、张沛沛。,,2020-04-02,DP,2020-04-02,DP
AG0004,P0004,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0005,P0005,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0006,P0006,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0007,P0007,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0008,P0008,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0009,P0009,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0010,P0010,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0011,P0011,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0012,P0012,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0013,P0013,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0014,P0014,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0015,P0015,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0016,P0016,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0017,P0017,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0018,P0018,NULL,en,爷爷是上海名中医，叫严苍山,,2020-04-02,DP,2020-04-02,DP
AG0019,P0019,NULL,en,author of the books Xiangxin weilai 相信未來 and Zhe shi sidian bafen Beijing 《這是四點零八分的北京》both written in 1968. Very influential among zhiqing.,,2020-04-02,DP,2020-04-02,DP
AG0020,P0020,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0021,P0021,NULL,en,son of Guo Moruo and Yu Liqun,,2020-04-02,DP,2020-04-02,DP
AG0022,P0022,NULL,en,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,,2020-04-02,DP,2020-04-02,DP
AG0023,P0023,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0024,P0024,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0025,P0025,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0026,P0026,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0027,P0027,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0028,P0028,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0029,P0029,NULL,en,he grew up in Beijing. Friend of Zhang Langlang,,2020-04-02,DP,2020-04-02,DP
AG0030,P0030,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0031,P0031,NULL,en,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2020-04-02,DP,2020-04-02,DP
AG0032,P0032,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0033,P0033,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0034,P0034,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0035,P0035,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0036,P0036,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0037,P0037,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0038,P0038,NULL,en,He was the group leader of Huang Xiaolong.,,2020-04-02,DP,2020-04-02,DP
AG0039,P0039,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0040,P0040,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0041,P0041,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0042,P0042,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0043,P0043,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0044,P0045,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0045,P0046,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0046,P0047,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0047,P0048,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0048,P0049,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0049,P0050,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0050,P0051,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0051,P0052,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0052,P0053,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0053,P0054,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0054,P0055,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0055,P0056,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0056,P0057,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0057,P0058,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0058,P0059,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0059,P0060,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0060,P0061,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0061,P0062,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0062,P0063,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0063,P0064,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0064,P0065,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0065,P0066,NULL,en,His father was Gan Chongdou.,,2020-04-02,DP,2020-04-02,DP
AG0066,P0067,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0067,P0068,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0068,P0069,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0069,P0070,NULL,en,Grew up in Beijing. 抗日名将蒋光鼐之女,,2020-04-02,DP,2020-04-02,DP
AG0070,P0071,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0071,P0072,NULL,en,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军和张郎郎、弟弟张寥寥、张沛沛。,,2020-04-02,DP,2020-04-02,DP
AG0072,P0073,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0073,P0074,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0074,P0075,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0075,P0076,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0076,P0077,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0077,P0078,NULL,en,,,2020-04-02,DP,2020-04-02,DP
