!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
,AG0001,P0001,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0001,NULL,,,2017-07-03,LH,2018-01-16,OS
,AG0002,P0002,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0002,NULL,,,2017-07-05,LH,2018-01-25,WH
,AG0003,P0003,en,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军、弟弟张大伟、张寥寥、张沛沛。,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0003,NULL,张仃的儿子 . 母亲陈布文，姐姐陈乔乔、大哥张耿军、弟弟张大伟、张寥寥、张沛沛。,,2017-07-05,LH,2018-10-25,DP
,AG0004,P0004,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0004,NULL,,,2017-07-05,LH,2018-01-25,WH
,AG0005,P0005,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0005,NULL,,Third source: http://comment.artron.net/20080926/n59465.html,2017-07-05,LH,2018-03-13,WH
,AG0006,P0006,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0006,NULL,,The name “谭小春” was presumably a typo in the SS00115. So we choose the name with “晓” to represent this person.,2017-07-05,LH,2019-05-24,WH
,AG0007,P0007,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0007,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0008,P0008,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0008,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0009,P0009,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0009,NULL,,Third source: https://baike.baidu.com/item/%E5%8C%97%E5%B2%9B/372#reference-[7]-4995327-wrap,2017-07-05,LH,2018-10-25,DP
,AG0010,P0010,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0010,NULL,,,2017-07-05,LH,2018-01-25,WH
,AG0011,P0011,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0011,NULL,,Third source: SS00238 (Place of Rustication: PL0022?),2017-07-05,LH,2018-02-27,MG
,AG0012,P0012,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0012,NULL,,,2017-07-05,LH,2018-01-16,OS
,AG0013,P0013,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0013,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0014,P0014,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0014,NULL,,,2017-07-05,LH,2018-01-18,OS
,AG0015,P0015,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0015,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0016,P0016,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0016,NULL,,Third source: https://minzhuzhongguo.org/MainArtShow.aspx?AID=45123,2017-07-05,LH,2018-03-13,WH
,AG0017,P0017,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0017,NULL,,,2017-07-05,LH,2018-01-18,OS
,AG0018,P0018,en,爷爷是上海名中医，叫严苍山,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0018,NULL,爷爷是上海名中医，叫严苍山,,2017-07-05,LH,2018-01-18,OS
,AG0019,P0019,en,author of the books Xiangxin weilai 相信未來 and Zhe shi sidian bafen Beijing 《這是四點零八分的北京》both written in 1968. Very influential among zhiqing.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0019,NULL,author of the books Xiangxin weilai 相信未來 and Zhe shi sidian bafen Beijing 《這是四點零八分的北京》both written in 1968. Very influential among zhiqing.,,2017-07-05,LH,2018-02-13,OS
,AG0020,P0020,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0020,NULL,,,2017-07-05,LH,2018-10-25,DP
,AG0021,P0021,en,son of Guo Moruo and Yu Liqun,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0021,NULL,son of Guo Moruo and Yu Liqun,,2017-07-05,LH,2018-01-18,OS
,AG0022,P0022,en,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0022,NULL,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,pls add the source_2 in the text file,2017-07-05,LH,2018-01-18,OS
,AG0023,P0023,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0023,NULL,,,2017-07-05,LH,2018-02-08,OS
,AG0024,P0024,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0024,NULL,Third source: http://www.baike.com/wiki/%E5%AE%8B%E6%B5%B7%E6%B3%89,,2017-07-05,LH,2018-03-13,WH
,AG0025,P0025,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0025,NULL,,,2017-07-05,LH,2018-01-18,OS
,AG0026,P0026,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0026,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0027,P0027,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0027,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0028,P0028,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0028,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0029,P0029,en,he grew up in Beijing. Friend of Zhang Langlang,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0029,NULL,he grew up in Beijing. Friend of Zhang Langlang,,2017-07-05,LH,2018-10-25,DP
,AG0030,P0030,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0030,NULL,,,2017-07-05,LH,2018-10-25,DP
,AG0031,P0031,en,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0031,NULL,川东师范学堂第二十三任校长黄子裳之子 。 Aus Remembrance: [朱]时贤读的东西比较多，在部队中接触过一些内部资料，如《我军不利战战史》，这让他对众多问题的看法发生 了重大变化。,,2017-07-05,LH,2018-01-18,OS
,AG0032,P0032,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0032,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0033,P0033,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0033,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0034,P0034,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0034,NULL,,,2017-07-05,LH,2018-01-25,WH
,AG0035,P0035,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0035,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0036,P0036,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0036,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0037,P0037,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0037,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0038,P0038,en,He was the group leader of Huang Xiaolong.,,2020-04-02,DP,2020-04-02,DP
