!,,,,,+++,,,,,,,,,,+++,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,author,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0077,反杜林论,,zh,P0192,G05,SP0005,1958,Renmin wenxue chubanshe,1620,no,,,642,,,,2018-01-25,OS,2020-04-08,DP
:,W0077,Stories Old and New,,en,P0192,G05,SP0005,1958,Renmin wenxue chubanshe,1620,no,,,642,,,,2018-01-25,OS,2020-04-08,DP
,W0077,Fan du lin lun,,zh-Latn-pinyin,P0192,G05,SP0005,1958,Renmin wenxue chubanshe,1620,no,,,642,,,,2018-04-25,MG,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0085,Haiyang zhi ge,,zh-Latn-pinyin,P0023,G10,SP0436,1967,,19XX,,,,,,written in 1967. not officially published,,2018-04-25,MG,2020-04-08,DP
+++,PS00207,unknown,,en,P0178,G19,NULL,NULL,NULL,NULL,NULL,,,,,,,2018-02-11,OS,2018-02-11,OS
+++,PS00207,unknown,,en,P0178,G19,NULL,NULL,NULL,NULL,NULL,,,,,,,2018-02-11,OS,2018-02-11,OS
,W0087,When Lotuses Bloom Again,,en,P0071,G04,SP0436,19XX,,19XX,,,,,,never officially published?,,2018-02-11,OS,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0285,学习与批判,,zh,P0999,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,no,,,,,,,2018-11-04,WH,2020-04-08,DP
:,W0284,Zhai yi,,zh-Latn-pinyin,P0999,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,,2018-11-04,WH,2020-04-08,DP
,W0285,Xuexi yu pipan,,zh-Latn-pinyin,P0999,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,no,,,,,,,2018-11-04,WH,2020-04-08,DP
:,W0285,Critique and Study,,en,P0999,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,no,,,,,,,2018-11-04,WH,2020-04-08,DP
,W0286,Morning Glow,,en,P0999,G52,SP0006,1976,Shanghai renmin chubanshe,19XX,no,,,,,,,2018-11-04,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0286,Zhaoxia,,zh-Latn-pinyin,P0999,G52,SP0006,1976,Shanghai renmin chubanshe,19XX,no,,,,,,,2018-11-04,WH,2020-04-08,DP
+++,PS00510,Soviet Domestic Capitalist Rstoration Note (1953~1973),,en,P0700,G56,PL0002,1975,Sanlian shudian,,yes,,,,,,,2018-11-04,WH,2018-11-04,WH
,W0287,苏联国内资本主义复辟记事（1953~1973）,,zh,P0700,G56,SP0005,1975,Sanlian shudian,19XX,yes,,,,,,,2018-11-04,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0304,Xiangjiang wenyi,,zh-Latn-pinyin,I0104,G52,SP0054,1972,Hunan renmin chubanshe,19XX,no,,,,,,,2018-11-04,WH,2020-04-08,DP
+++,PS00528,Deng Xiaoping,,en,P0709,G43,PL0002,1988,Jiefangjun chubanshe,,,,,,,,,2018-11-04,WH,2018-11-04,WH
,W0305,邓小平,,zh,P0709,G43,SP0005,1988,Jiefangjun chubanshe,19XX,,,,,,,,2018-11-04,WH,2020-04-08,DP
+++,PS00528,Deng Xiaoping,,zh-Latn-pinyin,P0709,G43,PL0002,1988,Jiefangjun chubanshe,,,,,,,,,2018-11-04,WH,2018-11-04,WH
,W0306,"Moving out, lucky soup",,en,P0999,G05,SP0436,19XX,,19XX,,,,,,Translated by project member.,,2018-11-04,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0370,Yueliang pang de yi ke xiao xing,,zh-Latn-pinyin,P0778,G10,SP0436,19XX,,19XX,,,,,,,,2019-02-17,WH,2020-04-08,DP
+++,PS00594,Baiyangdian,,en,P0012,G10,,,,,,,,,,circulation started in the early 1970s probably 1972,,2019-02-17,WH,2019-02-17,WH
,W0371,白洋淀,,zh,P0012,G10,SP0436,19XX,,19XX,,,,,,circulation started in the early 1970s probably 1972,,2019-02-17,WH,2020-04-08,DP
+++,PS00594,Baiyangdian,,zh-Latn-pinyin,P0012,G10,,,,,,,,,,circulation started in the early 1970s probably 1972,,2019-02-17,WH,2019-02-17,WH
,W0372,Bridge over the Abyss,,en,P0012,G10,SP0436,19XX,,19XX,,,,,,circulation started in the early 1970s probably 1972,,2019-02-17,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0405,毛泽东选集第四卷,,zh,P0174,G24,SP0005,1950,Renmin chubanshe,19XX,,,,,,,,2018-12-30,MG,2020-04-08,DP
:,W0377,The Scar,,en,P0689,G04,SP0005,1978,Beijing chuban she,19XX,,,,,,,,2018-12-11,MG,2020-04-08,DP
:,W0377,伤痕,,zh,P0689,G04,SP0005,1978,Beijing chuban she,19XX,,,,,,,,2018-12-11,MG,2020-04-08,DP
:,W0379,辞源,,zh,P0688,G04,SP0005,1993,Jingguan jiaoyu chuban she,1912,no,,,,,,can‘t find any PRC publication earlier than 1993.,2018-12-11,MG,2020-04-08,DP
:,W0381,The Song of Ouyang Hai,,en,P0802,G04,SP0005,1965,Jiefangjun wenyi she,19XX,no,,,,,,,2019-02-11,MG,2020-04-08,DP
:,W0381,欧阳海之歌,,zh,P0802,G04,SP0005,1965,Jiefangjun wenyi she,19XX,no,,,,,,,2019-02-11,MG,2020-04-08,DP
:,W0383,苏联是社会主义国家吗,,zh,P0803,G99,SP0020,1969,Xianggang sanlian shudian,1936,no,,,,,Semi-overt distribution in China,,2019-02-11,MG,2020-04-08,DP
:,W0384,战国策,,zh,P0684,G99,SP0006,1978,Shanghai guji chubanshe,19XX,,,,,,earlier editions were published in Taipei,,2018-12-12,MG,2020-04-08,DP
:,W0387,Classical Theory of Fields,,en,P0809,G19,SP0436,19XX,,19XX,,,,,,,,2019-02-18,LH,2020-04-08,DP
:,W0389,Fortress Besieged,,en,P0810,G04,SP0005,1980,Renmin wenxue chubanshe,1947,no,,,,,,Seems that the book was not published from 1949 – 1980,2019-03-08,MG,2020-04-08,DP
:,W0389,围城,,zh,P0810,G04,SP0005,1980,Renmin wenxue chubanshe,1947,no,,,,,,Seems that the book was not published from 1949 – 1980,2019-03-08,MG,2020-04-08,DP
:,W0391,Tracks in The Snowy Forest,,en,P0812,G04,SP0005,1957,Zuojia chubanshe,19XX,no,,,,,,,2019-03-09,MG,2020-04-08,DP
