!,,,,,,,,,,,,,,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0077,反杜林论,,zh,G05,SP0005,1958,Renmin wenxue chubanshe,1620,no,,,642,,,2018-01-25,OS,2020-04-08,DP
:,W0077,Stories Old and New,,en,G05,SP0005,1958,Renmin wenxue chubanshe,1620,no,,,642,,,2018-01-25,OS,2020-04-08,DP
,W0077,Fan du lin lun,,zh-Latn-pinyin,G05,SP0005,1958,Renmin wenxue chubanshe,1620,no,,,642,,,2018-04-25,MG,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0085,Haiyang zhi ge,,zh-Latn-pinyin,G10,SP0436,1967,,19XX,,,,,,,2018-04-25,MG,2020-04-08,DP
+++,PS00207,unknown,,en,G19,NULL,NULL,NULL,NULL,NULL,,,,,,2018-02-11,OS,2018-02-11,OS
+++,PS00207,unknown,,en,G19,NULL,NULL,NULL,NULL,NULL,,,,,,2018-02-11,OS,2018-02-11,OS
,W0087,When Lotuses Bloom Again,,en,G04,SP0436,19XX,,19XX,,,,,,,2018-02-11,OS,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0285,学习与批判,,zh,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,no,,,,,,2018-11-04,WH,2020-04-08,DP
:,W0284,Zhai yi,,zh-Latn-pinyin,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,yes,,,,,,2018-11-04,WH,2020-04-08,DP
,W0285,Xuexi yu pipan,,zh-Latn-pinyin,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,no,,,,,,2018-11-04,WH,2020-04-08,DP
:,W0285,Critique and Study,,en,G52,SP0006,1973,Shanghai renmin chubanshe,19XX,no,,,,,,2018-11-04,WH,2020-04-08,DP
,W0286,Morning Glow,,en,G52,SP0006,1976,Shanghai renmin chubanshe,19XX,no,,,,,,2018-11-04,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0286,Zhaoxia,,zh-Latn-pinyin,G52,SP0006,1976,Shanghai renmin chubanshe,19XX,no,,,,,,2018-11-04,WH,2020-04-08,DP
+++,PS00510,Soviet Domestic Capitalist Rstoration Note (1953~1973),,en,G56,PL0002,1975,Sanlian shudian,,yes,,,,,,2018-11-04,WH,2018-11-04,WH
,W0287,苏联国内资本主义复辟记事（1953~1973）,,zh,G56,SP0005,1975,Sanlian shudian,19XX,yes,,,,,,2018-11-04,WH,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0304,Xiangjiang wenyi,,zh-Latn-pinyin,G52,SP0054,1972,Hunan renmin chubanshe,19XX,no,,,,,,2018-11-04,WH,2020-04-08,DP
+++,PS00528,Deng Xiaoping,,en,G43,PL0002,1988,Jiefangjun chubanshe,,,,,,,,2018-11-04,WH,2018-11-04,WH
,W0305,邓小平,,zh,G43,SP0005,1988,Jiefangjun chubanshe,19XX,,,,,,,2018-11-04,WH,2020-04-08,DP
+++,PS00528,Deng Xiaoping,,zh-Latn-pinyin,G43,PL0002,1988,Jiefangjun chubanshe,,,,,,,,2018-11-04,WH,2018-11-04,WH
