!,,,,,,:,+++,,,,,,
@@,work_id,old_id,type,type_num,language,creator,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0273,PS00493,PS,493,en,AG0626,,Translated by project member.,,2018-10-24,MG,2020-04-05,DP
+++,NULL,PS00493,NULL,NULL,zh,P0999,,,,2018-10-24,MG,2018-10-24,WH
+++,NULL,PS00493,NULL,NULL,zh,P0999,,,,2018-10-24,MG,2018-10-24,WH
+++,NULL,PS00494,NULL,NULL,en,P0661,,the poem was written in 1927,,2018-11-14,MG,2018-11-14,WH
+++,NULL,PS00494,NULL,NULL,zh,P0661,,the poem was written in 1927,,2018-11-14,MG,2018-11-14,WH
+++,NULL,PS00500,NULL,NULL,en,P0999,,,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00500,NULL,NULL,zh,P0999,,,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00500,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00501,NULL,NULL,en,P0999,,Translated by project member.,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00501,NULL,NULL,zh,P0999,,,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00501,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00502,NULL,NULL,en,P0999,,Translated by project member.,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00502,NULL,NULL,zh,P0999,,,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00502,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-03,WH,2018-11-03,WH
+++,NULL,PS00503,NULL,NULL,en,P0999,,Translated by project member.,,2018-11-03,WH,2018-11-19,WH
+++,NULL,PS00503,NULL,NULL,zh,P0999,,,,2018-11-03,WH,2018-11-19,WH
+++,NULL,PS00503,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-03,WH,2018-11-19,WH
+++,NULL,PS00504,NULL,NULL,en,P0999,,Translated by project member.,,2018-11-04,WH,2018-11-04,WH
+++,NULL,PS00504,NULL,NULL,zh,P0999,,,,2018-11-04,WH,2018-11-04,WH
+++,NULL,PS00504,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-04,WH,2018-11-04,WH
+++,NULL,PS00505,NULL,NULL,en,P0999,,,,2018-11-04,WH,2018-11-04,WH
+++,NULL,PS00505,NULL,NULL,zh,P0999,,,,2018-11-04,WH,2018-11-04,WH
+++,NULL,PS00505,NULL,NULL,zh-Latn-pinyin,P0999,,,,2018-11-04,WH,2018-11-04,WH
