!,,,,,,,,,,,,,,+++,+++,,,,,
@@,sec_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,main_narrator,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0419,漫长的假期,,zh,G03,SP0004,2009,Sanlian shudian,,,W0431,,563-585,,,,2017-07-12,OS,2020-04-08,DP
:,W0419,Endless Holidays,,en,G03,SP0005,2009,Sanlian shudian,,,W0431,,563-585,,,,2017-07-12,OS,2021-08-12,DP
,W0420,Walking on the Stream of History,,en,G03,SP0004,2006,Shehui kexue luntan,,,,,,,,,2017-07-12,OS,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0485,黑画风波,,zh,G44,SP0436,,,,,W0431,,349-358,,,,2018-01-12,MG,2020-04-08,DP
:,W0490,The Seventies,The Broken Pieces in my Heart,en,G03,SP0436,,,,,W0431,,235-256,,,,2018-02-01,OS,2020-04-08,DP
:,W0490,七十年代,我心中的碎片,zh,G03,SP0436,,,,,W0431,,235-256,,,,2018-02-01,OS,2020-04-08,DP
,W0486,The Tranquil Horizon,,en,G03,SP0436,,,,,W0431,,105-146,,,,2018-01-24,OS,2020-04-08,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0529,The Most Wanted Man in China,My Journey from Scientist to Enemy of the State,en,G03,SP0053,2016,Henry Holt,,,,,,,,,2019-02-19,LH,2020-04-08,DP
+++,SS00262,Open Love Letters,,en,G06,,1980,,,NULL,,NULL,4-67,,,,2019-03-12,LH,2019-03-12,LH
+++,SS00262,公开的情书,,zh,G06,,1980,,,NULL,,NULL,4-67,,,,2019-03-12,LH,2019-03-12,LH
+++,SS00262,Gongkai de qingshu,,zh-Latn-py,G06,,1980,,,NULL,,NULL,4-67,,,,2019-03-12,LH,2019-03-12,LH
+++,SS00263,Balzac And The Little Chinese Seamstress,,en,G04,PL0047,2000,Éditions Gallimard,,NULL,,NULL,,F,P1005,,2019-07-30,MG,2019-07-30,MG
+++,SS00263,Balzac et la Petite Tailleuse Chinoise,,fr,G04,PL0047,2000,Éditions Gallimard,,NULL,,NULL,,F,P1005,A Chinese version was published after the adaptation,2019-07-30,MG,2019-10-24,MG
+++,SS00263,巴爾扎克與小裁縫,,zh,G04,PL0047,2000,Éditions Gallimard,,NULL,,NULL,,F,P1005,,2019-07-30,MG,2019-07-30,MG
+++,SS00264,The Class Teacher,,en,G05,,,,1977,,SS00265,NULL,85-120,F,P1020,,2019-10-24,MG,2019-10-24,MG
+++,SS00264,班主任,,zh,G05,,,,1977,,SS00265,NULL,85-120,F,P1020,,2019-10-24,MG,2019-10-24,MG
+++,SS00265,Chinese Short Stories of The Twentieth Century,An Anthology in English,en,G28,PL0050,1995,Garland Publishing,,NULL,NULL,NULL,NULL,F,,,2019-10-24,MG,2019-10-24,MG
+++,SS00266,People's Literature,,en,G52,PL0002,1977,Renmin wenxue zazhishe,,no,,,,F,,,2019-11-25,MG,2019-11-25,MG
+++,SS00266,人民文学,,zh,G52,PL0002,1977,Renmin wenxue zazhishe,,no,,,,F,,,2019-11-25,MG,2019-11-25,MG
+++,SS00266,Renmin wenxue,,zh-Latn-pinyin,G52,PL0002,1977,Renmin wenxue zazhishe,,no,,,,F,,,2019-11-25,MG,2019-11-25,MG
+++,SS00267,The Class Teacher,,en,G05,,1977,,1977,,SS00266,No 11,,F,P1020,,2019-11-25,MG,2019-11-25,MG
+++,SS00267,班主任,,zh,G05,,1977,,1977,,SS00266,No 11,,F,P1020,,2019-11-25,MG,2019-11-25,MG
:,W0512,Vermilion Gate,,en,G03,SP0005,2000,Little: Brown and Company,,,,,,,,,2018-03-17,MG,2020-04-08,DP
:,W0513,Thirty Years in a Red House,A Memoir of Childhood and Youth in Communist China,en,G03,SP0436,1998,University of Massachusetts Press,,,,,,,,,2018-03-27,MG,2020-04-08,DP
:,W0514,Let the Thought Brake the Cage,,en,G03,SP0436,,,,,W0431,,165-186,,,,2018-04-09,MG,2020-04-08,DP
:,W0514,让思想冲破牢笼,,zh,G03,SP0436,,,,,W0431,,165-186,,,,2018-04-09,MG,2020-04-08,DP
:,W0515,My Father and I,,en,G03,SP0436,,,,,http://mjlsh.usc.cuhk.edu.hk/Book.aspx?cid=4&tid=572,,ONLINE SOURCE,,,,2018-05-03,WH,2020-04-08,DP
:,W0515,我和父亲,,zh,G03,SP0436,,,,,http://mjlsh.usc.cuhk.edu.hk/Book.aspx?cid=4&tid=572,,ONLINE SOURCE,,,,2018-05-03,WH,2020-04-08,DP
:,W0516,Youth Cannot Help,,en,G03,SP0436,,,,,W0431,,507-530,,,,2018-05-15,MG,2020-04-08,DP
:,W0516,青春无奈,,zh,G03,SP0436,,,,,W0431,,507-530,,,,2018-05-15,MG,2020-04-08,DP
:,W0516,Qingchun wunai,,zh-Latn-pinyin,G03,SP0436,,,,,W0431,,507-530,,,,2018-05-15,MG,2020-04-08,DP
+++,SS00600,Song of Youth,,en,G04,PL0002,1958,Zuojia chubanshe,1958,,,,,,P1030,,2019-12-02,MG,2020-02-06,MG
+++,SS00600,青春之歌,,zh,G04,PL0002,1958,Zuojia chubanshe,1958,,,,,,P1030,,2019-12-02,MG,2020-02-06,MG
+++,SS00600,Qingchun zhi ge,,zh-Latn-pinyin,G04,PL0002,1958,Zuojia chubanshe,1958,,,,,,P1030,,2019-12-02,MG,2020-02-06,MG
+++,SS00601,The Three-Body Problem,,en,G07,PL0036,2016,Head of Zeus Ltd.,2008,NULL,,,,,,,2020-02-14,MG,2020-02-14,MG
+++,SS00601,三体,,zh,G07,PL0036,2016,Head of Zeus Ltd.,2008,NULL,,,,,,,2020-02-14,MG,2020-02-14,MG
+++,SS00602,The King of Chess,,en,G04,,,,1984,,SS00603,,57-120,F,P1065,,2020-05-16,MG,2020-05-19,MG
+++,SS00602,棋王,,zh,G04,,,,1984,,SS00603,,57-120,F,P1065,,2020-05-16,MG,2020-05-19,MG
