!,,,,,,:,+++,+++,,,,,,
@@,work_id,old_id,type,type_num,language,creator,publication_date,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0419,SS00005,SS,5,zh,AG0103,2009,,,,2017-07-12,OS,2020-04-05,DP
+++,NULL,SS00005,NULL,NULL,zh-Latn-py,P0106,2009,,,,2017-07-12,OS,2018-01-12,MG
,W0420,SS00006,SS,6,en,AG0020,2006,,,,2017-07-12,OS,2020-04-05,DP
+++,NULL,SS00006,NULL,NULL,zh,P0020,2006,,,,2017-07-12,OS,2018-05-07,MG
,W0421,SS00007,SS,7,zh,AG0103,2013,,,,2017-07-12,OS,2020-04-05,DP
+++,NULL,SS00007,NULL,NULL,zh-Latn-py,P0106,2013,,,,2017-07-12,OS,2018-10-18,MG
,W0422,SS00009,SS,9,en,AG0017,,,,,2017-07-12,OS,2020-04-05,DP
+++,NULL,SS00009,NULL,NULL,zh,P0017,,,,,2017-07-12,OS,2018-01-22,MG
,W0423,SS00011,SS,11,zh,AG0104,2014,,,,2017-07-12,OS,2020-04-05,DP
+++,NULL,SS00011,NULL,NULL,zh-Latn-py,P0107,2014,,,,2017-07-12,OS,2017-10-24,MG
,W0424,SS00012,SS,12,zh,AG0105,,,,,2017-07-12,OS,2020-04-05,DP
+++,NULL,SS00012,NULL,NULL,zh-Latn-py,P0108,,,,,2017-07-12,OS,2017-07-12,OS
,W0425,SS00014,SS,14,en,AG0106,,,,,2017-07-19,LH,2020-04-05,DP
+++,NULL,SS00014,NULL,NULL,zh,P0109,,,,,2017-07-19,LH,2018-02-03,OS
,W0426,SS00026,SS,26,en,AG0113,2010,,The text is about the author's experience in Fishing grounds while checking out the May 16th components (清查五一六分子) happened. The author was afraid of being categorized as May 16th components by his supervisor.,,2017-07-27,LH,2020-04-05,DP
+++,NULL,SS00026,NULL,NULL,zh,P0119,2010,,The text is about the author's experience in Fishing grounds while checking out the May 16th components (清查五一六分子) happened. The author was afraid of being categorized as May 16th components by his supervisor.,,2017-07-27,LH,2017-07-27,LH
,W0427,SS00027,SS,27,en,AG0057,2011,,,,2017-07-27,LH,2020-04-05,DP
+++,NULL,SS00027,NULL,NULL,zh,P0058,2011,,,,2017-07-27,LH,2017-07-27,LH
,W0428,SS00029,SS,29,en,AG0029,2012,,Translated by Project Member,,2017-07-28,LH,2020-04-05,DP
+++,NULL,SS00029,NULL,NULL,zh,P0029,2012,,,,2017-07-28,LH,2018-02-09,OS
,W0429,SS00030,SS,30,en,AG0114,1999,,In this book Zhang Yang relates how he wrote and rewrote his shouchao novel The Second Handshake. He thus also relates his imprisonment and other experiences during the CR (also includes childhood and time after the CR),,2017-08-01,LH,2020-04-05,DP
+++,NULL,SS00030,NULL,NULL,zh,P0120,1999,,In this book  Zhang Yang relates how he wrote and rewrote his shouchao novel The Second Handshake. He thus also relates his imprisonment and other experiences during the CR (also includes childhood and time after the CR),,2017-08-01,LH,2017-10-02,DP
,W0430,SS00043,SS,43,en,AG0117,,,Translated by project member,,2017-08-08,MG,2020-04-05,DP
+++,NULL,SS00043,NULL,NULL,zh,P0132,,,,,2017-08-08,MG,2018-01-12,MG
,W0431,SS00044,SS,44,en,AG0009,2009,,,,2017-08-07,MG,2020-04-05,DP
+++,NULL,SS00044,NULL,NULL,zh,P0009,2009,,,,2017-08-07,MG,2017-08-11,MG
,W0432,SS00045,SS,45,en,AG0120,1999,,,,2017-08-11,MG,2020-04-05,DP
+++,NULL,SS00045,NULL,NULL,zh,P0135,1999,,,,2017-08-11,MG,2017-08-11,MG
+++,NULL,SS00061,NULL,NULL,en,P0142,2010,,,,2017-09-06,CW,2018-11-13,MG
,W0433,SS00061,SS,61,en,AG0127,2010,,,,2017-09-06,CW,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0436,SS00109,SS,109,en,AG0031,2010-07-15,,,,2017-10-09,MG,2020-04-05,DP
+++,NULL,SS00109,NULL,NULL,zh,P0031,2010-07-15,,,,2017-10-09,MG,2017-12-13,MG
,W0437,SS00110,SS,110,en,AG0121,2009,,Translated by project member,,2017-11-08,MG,2020-04-05,DP
+++,NULL,SS00110,NULL,NULL,zh,P0136,2009,,,,2017-11-08,MG,2018-01-12,MG
,W0438,SS00111,SS,111,en,AG0123,2009,,Translated by project member,,2017-11-08,MG,2020-04-05,DP
+++,NULL,SS00111,NULL,NULL,zh,P0138,2009,,,,2017-11-08,MG,2018-01-12,MG
+++,NULL,SS00112,NULL,NULL,en,P0003,,,,,2017-12-13,MG,2018-04-18,MG
,W0439,SS00112,SS,112,en,AG0003,,,,,2017-12-13,MG,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0441,SS00114,SS,114,en,AG0010,,,,,2017-12-13,MG,2020-04-05,DP
+++,NULL,SS00114,NULL,NULL,zh,P0010,,,,,2017-12-13,MG,2018-02-03,OS
,W0442,SS00115,SS,115,en,AG0120,,,,,2017-12-13,MG,2020-04-05,DP
+++,NULL,SS00115,NULL,NULL,zh,P0135,,,,,2017-12-13,MG,2018-02-03,OS
,W0443,SS00116,SS,116,en,AG0033,2010-08-15,,,,2017-12-13,MG,2020-04-05,DP
+++,NULL,SS00116,NULL,NULL,zh,P0033,2010-08-15,,,,2017-12-13,MG,2017-12-13,MG
,W0444,SS00117,SS,117,en,AG0058,2010-06-15,,,,2017-12-13,MG,2020-04-05,DP
+++,NULL,SS00117,NULL,NULL,zh,P0059,2010-06-15,,,,2017-12-13,MG,2017-12-13,MG
,W0445,SS00118,SS,118,en,AG0035,2010,,,,2017-12-13,MG,2020-04-05,DP
+++,NULL,SS00118,NULL,NULL,zh,P0035,2010,,,,2017-12-13,MG,2017-12-13,MG
,W0446,SS00119,SS,119,en,AG0041,2010-01-31,,,,2017-12-13,MG,2020-04-05,DP
+++,NULL,SS00119,NULL,NULL,zh,P0041,2010-01-31,,,,2017-12-13,MG,2017-12-13,MG
+++,NULL,SS00120,NULL,NULL,en,P0046,2010-09-13,,,,2017-12-13,MG,2018-04-18,MG
,W0447,SS00120,SS,120,en,AG0045,2010-09-13,,,,2017-12-13,MG,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0450,SS00127,SS,127,en,AG0016,,,,,2017-12-29,OS,2020-04-05,DP
+++,NULL,SS00127,NULL,NULL,zh,P0016,,,,,2017-12-29,OS,2018-02-03,OS
,W0451,SS00128,SS,128,en,AG0063,1987,,,,2017-12-29,OS,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0453,SS00130,SS,130,en,AG0048,2010-10-30,,Translated by project member,,2017-12-27,MG,2020-04-05,DP
+++,NULL,SS00130,NULL,NULL,zh,P0049,2010-10-30,,,,2017-12-27,MG,2017-12-27,MG
,W0454,SS00131,SS,131,en,AG0188,2011-04-30,,Translated by project member,,2017-12-27,MG,2020-04-05,DP
+++,NULL,SS00131,NULL,NULL,zh,P0212,2011-04-30,,,,2017-12-27,MG,2018-01-05,MG
,W0455,SS00133,SS,133,en,AG0051,2010-11-30,,Translated by project member,,2017-12-27,MG,2020-04-05,DP
+++,NULL,SS00133,NULL,NULL,zh,P0052,2010-11-30,,,,2017-12-27,MG,2017-12-27,MG
,W0456,SS00134,SS,134,en,AG0189,2010-12-12,,Translated by project member,,2017-12-27,MG,2020-04-05,DP
+++,NULL,SS00134,NULL,NULL,zh,P0213,2010-12-12,,,,2017-12-27,MG,2018-01-05,MG
,W0457,SS00135,SS,135,en,AG0039,2010-01-31,,Translated by project member,,2017-12-27,MG,2020-04-05,DP
+++,NULL,SS00135,NULL,NULL,zh,P0039,2010-01-31,,,,2017-12-27,MG,2018-01-02,MG
,W0458,SS00136,SS,136,en,AG0190,2010-10-20,,Translated by project member,,2017-12-27,MG,2020-04-05,DP
+++,NULL,SS00136,NULL,NULL,zh,P0214,2010-10-20,,,,2017-12-27,MG,2018-10-18,MG
,W0459,SS00137,SS,137,en,AG0049,2010-11-30,,Translated by project member,,2017-12-27,MG,2020-04-05,DP
+++,NULL,SS00137,NULL,NULL,zh,P0050,2010-11-30,,,,2017-12-27,MG,2018-01-02,MG
,W0460,SS00138,SS,138,en,AG0187,2010-09-30,,,,2018-01-03,OS,2020-04-05,DP
+++,NULL,SS00138,NULL,NULL,zh,P0211,2010-09-30,,,,2018-01-03,OS,2018-01-03,OS
,W0461,SS00139,SS,139,en,AG0173,2011-08-30,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00139,NULL,NULL,zh,P0197,2011-08-30,,,,2018-01-05,MG,2018-10-18,MG
,W0462,SS00140,SS,140,en,AG0175,2011-08-30,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00140,NULL,NULL,zh,P0199,2011-08-30,,,,2018-01-05,MG,2018-10-18,MG
,W0463,SS00141,SS,141,en,AG0176,2011-08-30,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00141,NULL,NULL,zh,P0200,2011-08-30,,,,2018-01-05,MG,2018-10-18,MG
,W0464,SS00142,SS,142,en,AG0177,2011-08-30,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00142,NULL,NULL,zh,P0201,2011-08-30,,,,2018-01-05,MG,2018-10-18,MG
,W0465,SS00143,SS,143,en,AG0178,2011-09-13,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00143,NULL,NULL,zh,P0202,2011-09-13,,,,2018-01-05,MG,2018-10-18,MG
,W0466,SS00144,SS,144,en,AG0179,2011-09-13,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00144,NULL,NULL,zh,P0203,2011-09-13,,,,2018-01-05,MG,2018-10-18,MG
,W0467,SS00145,SS,145,en,AG0182,2011-09-13,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00145,NULL,NULL,zh,P0206,2011-09-13,,,,2018-01-05,MG,2018-10-18,MG
,W0468,SS00146,SS,146,en,AG0184,2011-09-13,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00146,NULL,NULL,zh,P0208,2011-09-13,,,,2018-01-05,MG,2018-10-18,MG
,W0469,SS00147,SS,147,en,AG0185,2011-09-13,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00147,NULL,NULL,zh,P0209,2011-09-13,,,,2018-01-05,MG,2018-10-18,MG
,W0470,SS00148,SS,148,en,AG0186,2011-09-13,,Translated by project member,,2018-01-05,MG,2020-04-05,DP
+++,NULL,SS00148,NULL,NULL,zh,P0210,2011-09-13,,,,2018-01-05,MG,2018-10-18,MG
,W0471,SS00149,SS,149,en,AG0115,2009,,Translated by project member,,2018-01-08,MG,2020-04-05,DP
+++,NULL,SS00149,NULL,NULL,zh,P0130,2009,,,,2018-01-08,MG,2018-01-12,MG
+++,NULL,SS00150,NULL,NULL,en,P0043,2008,,Translated by project member,,2018-01-10,MG,2018-12-02,WH
,W0472,SS00150,SS,150,en,AG0043,2008,,Translated by project member,,2018-01-10,MG,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0474,SS00152,SS,152,en,AG0124,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00152,NULL,NULL,zh,P0139,,,,,2018-01-12,MG,2018-10-18,MG
,W0475,SS00153,SS,153,en,AG0116,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00153,NULL,NULL,zh,P0131,,,,,2018-01-12,MG,2018-01-12,MG
,W0476,SS00154,SS,154,en,AG0118,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00154,NULL,NULL,zh,P0133,,,,,2018-01-12,MG,2018-01-12,MG
,W0477,SS00155,SS,155,en,AG0011,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00155,NULL,NULL,zh,P0011,,,,,2018-01-12,MG,2018-10-18,MG
,W0478,SS00156,SS,156,en,AG0191,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00156,NULL,NULL,zh,P0215,,,,,2018-01-12,MG,2018-01-12,MG
,W0479,SS00157,SS,157,en,AG0125,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00157,NULL,NULL,zh,P0140,,,,,2018-01-12,MG,2018-01-12,MG
,W0480,SS00158,SS,158,en,AG0018,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00158,NULL,NULL,zh,P0018,,,,,2018-01-12,MG,2018-10-18,MG
,W0481,SS00159,SS,159,en,AG0192,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00159,NULL,NULL,zh,P0216,,,,,2018-01-12,MG,2018-01-12,MG
,W0482,SS00160,SS,160,en,AG0134,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00160,NULL,NULL,zh,P0154,,,,,2018-01-12,MG,2018-01-12,MG
,W0483,SS00161,SS,161,en,AG0193,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00161,NULL,NULL,zh,P0217,,,,,2018-01-12,MG,2018-01-12,MG
,W0484,SS00162,SS,162,en,AG0194,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00162,NULL,NULL,zh,P0218,,,,,2018-01-12,MG,2018-01-12,MG
,W0485,SS00163,SS,163,en,AG0122,,,Translated by project member,,2018-01-12,MG,2020-04-05,DP
+++,NULL,SS00163,NULL,NULL,zh,P0137,,,,,2018-01-12,MG,2018-10-18,MG
+++,NULL,SS00170,NULL,NULL,en,P0221,,,,,2018-02-01,OS,2018-04-18,MG
+++,NULL,SS00170,NULL,NULL,zh,P0221,,,,,2018-02-01,OS,2018-02-01,OS
,W0486,SS00185,SS,185,en,AG0003,,,Translated by project member,,2018-01-24,OS,2020-04-05,DP
+++,NULL,SS00185,NULL,NULL,zh,P0003,,,,,2018-01-24,OS,2018-01-24,OS
,W0487,SS00189,SS,189,en,AG0009,,,Translated by project member,,2018-01-25,OS,2020-04-05,DP
+++,NULL,SS00189,NULL,NULL,zh,P0009,,,,,2018-01-25,OS,2018-01-25,OS
,W0488,SS00190,SS,190,en,AG0195,,,Translated by project member,,2018-01-25,OS,2020-04-05,DP
+++,NULL,SS00190,NULL,NULL,zh,P0219,,,,,2018-01-25,OS,2018-01-25,OS
,W0489,SS00192,SS,192,en,AG0196,2010,,,,2018-01-25,OS,2020-04-05,DP
+++,NULL,SS00192,NULL,NULL,zh,P0220,2010,,,,2018-01-25,OS,2018-01-25,OS
+++,NULL,SS00193,NULL,NULL,en,P0133,,,the 2nd part of the title is a reference to a poem by Baudelaire. Translated by project member,,2018-02-02,OS,2018-04-18,MG
,W0491,SS00193,SS,193,en,AG0118,,,the 2nd part of the title is a reference to a poem by Baudelaire. Translated by project member,,2018-02-02,OS,2020-04-05,DP
+++,NULL,SS00195,NULL,NULL,en,P0002,,,Translated by project member,,2018-02-03,OS,2018-04-18,MG
,W0492,SS00195,SS,195,en,AG0002,,,Translated by project member,,2018-02-03,OS,2020-04-05,DP
+++,NULL,SS00196,NULL,NULL,en,P0135,,,Translated by project member,,2018-02-03,OS,2018-04-18,MG
,W0493,SS00196,SS,196,en,AG0120,,,Translated by project member,,2018-02-03,OS,2020-04-05,DP
+++,NULL,SS00197,NULL,NULL,en,P0108,,,Translated by project member,,2018-02-03,OS,2018-02-03,OS
,W0494,SS00197,SS,197,en,AG0105,,,Translated by project member,,2018-02-03,OS,2020-04-05,DP
