!,,,,,,:,+++,,,,,,
@@,work_id,old_id,type,type_num,language,creator,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
...,...,...,...,...,...,...,...,...,...,...,...,...,...
,W0529,SS00261,SS,261,en,AG0614,,,,2019-02-19,LH,2020-04-05,DP
+++,NULL,SS00262,NULL,NULL,en,P0850,,First published in the journal October 十月,,2019-03-12,LH,2019-03-12,LH
+++,NULL,SS00262,NULL,NULL,zh,P0850,,First published in the journal October 十月,,2019-03-12,LH,2019-03-12,LH
+++,NULL,SS00262,NULL,NULL,zh-Latn-py,P0850,,First published in the journal October 十月,,2019-03-12,LH,2019-03-12,LH
+++,NULL,SS00263,NULL,NULL,en,P1003,F,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,SS00263,NULL,NULL,fr,P1003,F,,A Chinese version was published after the adaptation,2019-07-30,MG,2019-10-24,MG
+++,NULL,SS00263,NULL,NULL,zh,P1003,F,,,2019-07-30,MG,2019-07-30,MG
+++,NULL,SS00264,NULL,NULL,en,P1018,F,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,SS00264,NULL,NULL,zh,P1018,F,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,SS00265,NULL,NULL,en,P1019,F,,,2019-10-24,MG,2019-10-24,MG
+++,NULL,SS00266,NULL,NULL,en,I0103,F,,,2019-11-25,MG,2019-11-25,MG
+++,NULL,SS00266,NULL,NULL,zh,I0103,F,,,2019-11-25,MG,2019-11-25,MG
+++,NULL,SS00266,NULL,NULL,zh-Latn-pinyin,I0103,F,,,2019-11-25,MG,2019-11-25,MG
+++,NULL,SS00267,NULL,NULL,en,P1018,F,,,2019-11-25,MG,2019-11-25,MG
+++,NULL,SS00267,NULL,NULL,zh,P1018,F,,,2019-11-25,MG,2019-11-25,MG
:,W0512,SS00268,SS,268,en,AG0282,,,,2018-03-17,MG,2020-04-05,DP
:,W0513,SS00269,SS,269,en,AG0291,,,,2018-03-27,MG,2020-04-05,DP
:,W0514,SS00270,SS,270,en,AG0310,,Translated by project member,,2018-04-09,MG,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...
:,W0515,SS00271,SS,271,en,AG0033,,周孜仁 recalled his father.,,2018-05-03,WH,2020-04-05,DP
...,...,...,...,...,...,...,...,...,...,...,...,...,...
:,W0516,SS00272,SS,272,en,AG0324,,Translated by project member,,2018-05-15,MG,2020-04-05,DP
+++,NULL,SS00272,NULL,NULL,zh,P0362,,,,2018-05-15,MG,2018-05-20,MG
+++,NULL,SS00272,NULL,NULL,zh-Latn-py,P0362,,,,2018-05-15,MG,2018-05-20,MG
+++,NULL,SS00600,NULL,NULL,en,P0780,,,,2019-12-02,MG,2020-02-06,MG
+++,NULL,SS00600,NULL,NULL,zh,P0780,,,,2019-12-02,MG,2020-02-06,MG
+++,NULL,SS00600,NULL,NULL,zh-Latn-pinyin,P0780,,,,2019-12-02,MG,2020-02-06,MG
+++,NULL,SS00601,NULL,NULL,en,P1057,,,,2020-02-14,MG,2020-02-14,MG
+++,NULL,SS00601,NULL,NULL,zh,P1057,,,,2020-02-14,MG,2020-02-14,MG
+++,NULL,SS00602,NULL,NULL,en,P0412,F,,,2020-05-16,MG,2020-05-19,MG
+++,NULL,SS00602,NULL,NULL,zh,P0412,F,,,2020-05-16,MG,2020-05-19,MG
+++,NULL,SS00603,NULL,NULL,en,P0412,F,,,2020-05-16,MG,2020-05-16,MG
+++,NULL,SS00604,NULL,NULL,en,P0412,F,,,2020-05-26,MG,2020-05-26,MG
+++,NULL,SS00604,NULL,NULL,zh,P0412,F,,,2020-05-26,MG,2020-05-26,MG
+++,NULL,SS00605,NULL,NULL,en,P0412,F,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,SS00605,NULL,NULL,zh,P0412,F,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,SS00606,NULL,NULL,de,P1083,F,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,SS00606,NULL,NULL,en,P1083,F,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,SS00606,NULL,NULL,zh,P1083,F,,,2020-06-29,MG,2020-06-29,MG
