institution,member,source,page,note,created,created_by,last_modified,last_modified_by
AG0631,AG0004,W0452,611,,2018-01-30,OS,2020-04-04,DP
AG0631,AG0010,W0452,611,,2018-01-30,OS,2020-04-04,DP
AG0631,AG0012,W0452,611,,2018-01-30,OS,2020-04-04,DP
AG0631,AG0019,W0452,611,,2018-01-30,OS,2020-04-04,DP
AG0631,AG0119,W0452,611,,2018-01-30,OS,2020-04-04,DP
AG0632,AG0149,W0420,137,,2018-02-22,MG,2020-04-04,DP
AG0633,AG0146,W0497,ONLINE SOURCE,,2018-02-22,MG,2020-04-04,DP
AG0634,AG0284,W0512,,,2018-03-21,MG,2020-04-04,DP
AG0933,AG0663,W0791,141-144,,2019-08-03,MG,2022-05-09,DP
AG0933,AG0661,W0791,149-152,,2019-08-03,MG,2022-05-09,DP
AG0933,AG0659,W0791,145-148,,2019-08-03,MG,2022-05-09,DP
AG0933,AG0660,W0791,7-140;153-191,,2019-08-03,MG,2022-05-09,DP
AG0934,AG0614,W0523,175,,2019-12-05,MG,2022-05-09,DP
AG0934,AG0613,W0523,175,,2019-12-05,MG,2022-05-09,DP
AG0934,AG0506,W0523,175,,2019-12-05,MG,2022-05-09,DP
AG0935,AG0675,W0795,5-9,,2019-12-05,MG,2022-05-09,DP
AG0935,AG0676,W0795,5-9,,2019-12-05,MG,2022-05-09,DP
AG0935,AG0677,W0795,5-9,,2019-12-05,MG,2022-05-09,DP
AG0935,AG0678,W0795,5-9,,2019-12-05,MG,2022-05-09,DP
AG0936,AG0715,W0797,,,2020-02-14,MG,2022-05-09,DP
AG0937,AG0776,W0861,180ff,,2021-03-12,MG,2022-05-09,DP
AG0937,AG0778,W0861,180ff,,2021-03-12,MG,2022-05-09,DP
AG0938,AG0626,W0851,12,the father works for Future Daily,2021-04-23,MG,2022-05-09,DP
AG0943,AG0926,W0863,,,2021-07-20,MG,2022-05-09,DP
AG0943,AG0927,W0863,,,2021-07-20,MG,2022-05-09,DP
